cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	S.Score	G2M.Score	Phase	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	tissue	samplingPos	ident	ident_old
WDOU_C-B5_82	4433	31470	Epi	0.1312720455051	WDOU_C-B5	WDOU_C	11	2	1-4	10	Stomach	-0.10547667322055	-0.0010082555337573	G1	11.8131181960407	-5.1775931137887	0.993110462490866	3220481	0.8687	0.131263703091735	0.0836003176327004	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B6_12	3327	11774	Epi	0.0983523016816715	WDOU_C-B6	WDOU_C	2	4	1-4	9	Stomach	-0.0937181337042303	0.0107360223288921	G2M	-19.3077235034973	28.796753475954	0.977394608812661	1623592	0.8927	0.098335597826087	0.13442652316908	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B6_15	5479	36658	Epi	0.129446748144915	WDOU_C-B6	WDOU_C	2	7	5-8	10	Stomach	-0.0863056403247824	0.0143546783292373	G2M	12.541602966137	-5.40032412407054	0.98405034932052	3751558	0.664	0.129436154832374	0.0571541675426565	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B6_21	4547	23567	Epi	0.0707345016336403	WDOU_C-B6	WDOU_C	3	5	5-8	9	Stomach	-0.0819429852985879	-0.066251822787783	G1	-20.6887720044348	29.0398568933933	0.992217447255893	2577916	0.901	0.0707315003394433	0.10051353560354	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B6_22	5130	44542	Epi	0.127343346579556	WDOU_C-B6	WDOU_C	3	6	5-8	10	Stomach	-0.0592433971332002	-0.0604669442961989	G1	12.0808183999433	-5.36566292253547	0.988273148561619	3110368	0.8891	0.127337628808118	0.0703491100297621	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B6_80	5546	51390	Epi	0.142873822682338	WDOU_C-B6	WDOU_C	10	8	5-8	10	Stomach	-0.0840088414202753	0.0340130337763228	G2M	12.3750202273673	-6.03507533225443	0.990675471251952	4456023	0.8803	0.14286548228289	0.0658262193581908	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B7_10	4193	18772	Epi	0.0934952852804859	WDOU_C-B7	WDOU_C	2	2	1-4	9	Stomach	-0.0269857957982647	-0.0158672614675704	G1	-20.6157377881741	28.092390173171	0.988505337578779	2042638	0.8848	0.0934903047091413	0.110959921820977	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B7_69	4603	27315	Epi	0.106900970162914	WDOU_C-B7	WDOU_C	9	5	5-8	9	Stomach	-0.135680963774693	-0.101310437002034	G1	-19.8908338785049	27.2382009776742	0.988650917220051	2661113	0.8825	0.106893143463777	0.0700020611705672	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B7_92	6558	59282	Epi	0.141594413143956	WDOU_C-B7	WDOU_C	12	4	1-4	10	Stomach	0.516060271821357	0.0305478907747906	S	12.4936920422155	-6.21040749687628	0.988622510658864	6083371	0.8746	0.141594413143956	0.0465008170311362	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B8_35	5294	39280	Epi	0.147097759674134	WDOU_C-B8	WDOU_C	5	3	1-4	10	Stomach	0.0425425454696237	-0.0179066781625491	S	12.3595693348199	-5.72941243442085	0.987107756367338	3003081	0.8807	0.147090270352833	0.049989156924087	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B8_56	4636	37788	Epi	0.138751422446873	WDOU_C-B8	WDOU_C	7	8	5-8	10	Stomach	-0.110082597108598	-0.0616225701033399	G1	12.3658507357753	-5.82058075092986	0.993398228640176	3171459	0.8782	0.138733065198984	0.076962505436497	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B8_59	6229	53422	Epi	0.0361281144119354	WDOU_C-B8	WDOU_C	8	3	1-4	9	Stomach	-0.113934367192528	-0.0617021326614027	G1	-20.3697993755226	28.4366991266177	0.992458935282775	3737419	0.9077	0.0361247332759331	0.049733794128413	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B8_64	6168	64693	Epi	0.0970659163987138	WDOU_C-B8	WDOU_C	8	8	5-8	10	Stomach	-0.0559225946027827	-0.0322226360471398	G1	12.1528657873558	-5.32582198102943	0.994957702004877	4644788	0.8891	0.0970554138650591	0.0422047679899244	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-C4_72	1885	5159	Epi	0.0973056793952316	WDOU_C-C4	WDOU_C	9	8	5-8	10	Stomach	0.132660900005991	0.133741010546229	G2M	10.106125901591	-5.50496532469917	0.969504973006699	808352	0.8439	0.0972679713233869	0.0547923771618676	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-C6_50	3802	15361	Epi	0.0218806980984631	WDOU_C-C6	WDOU_C	7	2	1-4	10	Stomach	-0.0700677887485573	-0.111481834499227	G1	10.2105288778627	-3.99966102197553	0.988337958881132	2067592	0.8791	0.0218693048685238	0.0473487005443819	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-C7_31	4262	26928	Epi	0.0284462269756387	WDOU_C-C7	WDOU_C	4	7	5-8	9	Stomach	-0.151302898030512	-0.120495225316855	G1	-18.8034635461016	26.9213886289868	0.932210738674414	3368967	0.8853	0.0284430581857339	0.0552083369195124	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-C9_34	4336	25095	Epi	0.0746363817493525	WDOU_C-C9	WDOU_C	5	2	1-4	9	Stomach	-0.133096221909003	-0.102919600030527	G1	-19.2374368152757	29.0204188775559	0.962652230808172	2254106	0.8895	0.0746274603554068	0.038970806398422	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-C9_79	5562	54557	Epi	0.0948400696544771	WDOU_C-C9	WDOU_C	10	7	5-8	1	Stomach	-0.115407460415517	0.149946128931585	G2M	14.1638867267612	-5.19043126440527	0.978461969008612	2898690	0.8719	0.094836592921165	0.0412447827184873	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D1_65	6028	63856	Epi	0.0430811312460314	WDOU_C-D1	WDOU_C	9	1	1-4	9	Stomach	-0.122009214685081	-0.121972921531491	G1	-19.9649531974359	28.9424987741572	0.993124111913927	3443271	0.9056	0.0414363343094727	0.0747402842142702	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D2_18	5569	54281	Epi	0.118830486928646	WDOU_C-D2	WDOU_C	3	2	1-4	10	Stomach	0.0526759621696301	-0.0288546005227617	S	12.3492773884288	-6.02431640409732	0.993305136843767	3469328	0.9017	0.118821730560212	0.0412135382509766	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D2_63	6490	88227	Epi	0.0640528654334421	WDOU_C-D2	WDOU_C	8	7	5-8	10	Stomach	-0.0551734272689395	-0.0927201815477691	G1	12.6751662613777	-4.63780082795584	0.986508686111824	3834421	0.8998	0.0640477836588047	0.0354797241173511	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D2_69	5190	45769	Epi	0.112434180340405	WDOU_C-D2	WDOU_C	9	5	5-8	10	Stomach	-0.0763234053719881	0.479885448691843	G2M	11.4615106251569	-6.08668535903755	0.993500616663242	2745495	0.8966	0.112426811150922	0.040290620029905	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D3_49	6483	70952	Epi	0.083386189690896	WDOU_C-D3	WDOU_C	7	1	1-4	10	Stomach	-0.070746882837584	0.0467947792605269	G2M	11.8542137060555	-5.51891820853852	0.988688503164303	3491151	0.9038	0.0833791383028202	0.0354538423474755	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D3_93	5518	45104	Epi	0.0638538456421967	WDOU_C-D3	WDOU_C	12	5	5-8	10	Stomach	-0.0854427274014766	-0.0715628587584325	G1	12.3197825009635	-4.54689144398743	0.990001841178801	1597591	0.8943	0.0638510142999667	0.0337890194624869	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D4_86	5416	49783	Epi	0.017395845888072	WDOU_C-D4	WDOU_C	11	6	5-8	9	Stomach	-0.118267370707211	-0.117412968339988	G1	-20.7915120083244	28.5786332612402	0.975791242220656	3152877	0.9068	0.017395147035192	0.0473230299078688	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D5_17	4345	31464	Epi	0.138007755387452	WDOU_C-D5	WDOU_C	3	1	1-4	10	Stomach	-0.0910306559469216	-0.0897590450779863	G1	12.3792358163792	-6.20568441894485	0.99089712646881	2556721	0.8684	0.13799459717146	0.0702285439164664	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D5_57	3174	15790	Epi	0.0623258170762604	WDOU_C-D5	WDOU_C	8	1	1-4	9	Stomach	-0.0585227283851292	-0.076952582792705	G1	-18.9507427579435	28.4456383293041	0.977632192937982	1889356	0.872	0.0623179227359088	0.127912275295455	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D5_82	3863	23778	Epi	0.0466397510303642	WDOU_C-D5	WDOU_C	11	2	1-4	9	Stomach	-0.0647634144401315	-0.105117724510804	G1	-20.8111787462884	27.9425143309261	0.992937180626386	2585001	0.8557	0.0466377896463266	0.105302054978121	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D6_59	6497	66326	Epi	0.0152595787029358	WDOU_C-D6	WDOU_C	8	3	1-4	9	Stomach	-0.131649653592157	-0.0632549695574257	G1	-20.694277986631	25.2254968597261	0.994409614210962	3245262	0.9116	0.0152575081413581	0.0371805835273422	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-D7_03	5855	47205	Epi	0.0464175246811576	WDOU_C-D7	WDOU_C	1	3	1-4	9	Stomach	-0.177682970366974	-0.0355876589949962	G1	-20.2542712437663	28.7934057098423	0.992941881219161	3157912	0.903	0.0464145747272535	0.0362095180367413	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WT_C-C1_36	5226	33501	Epi	0.0559137858976655	WT_C-C1	WT_C	5	4	1-4	10	Stomach	-0.140195007417493	-0.0522109120683694	G1	13.2202453035729	-3.26571291232946	0.964940958238147	1734135	0.9084	0.0559087788424226	0.045848589663806	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C3_61	5771	46342	Epi	0.0414769416690045	WT_C-C3	WT_C	8	5	5-8	9	Stomach	-0.111606868768007	-0.0897826622044197	G1	-20.1224132439227	28.7744386513339	0.993502937969762	3756544	0.8983	0.0414724667702399	0.0222308354786817	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C3_76	7257	71759	Epi	0.0652888876501575	WT_C-C3	WT_C	10	4	1-4	1	Stomach	-0.0446658819461921	-0.0281205222499089	G1	24.8567316751001	-0.388671594833933	0.992818595966151	3354216	0.8995	0.0652870680044593	0.0304746783190098	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C5_66	3026	9900	Epi	0.0318181818181818	WT_C-C5	WT_C	9	2	1-4	9	Stomach	-0.0468719390107836	0.0275163514850214	G2M	-19.3091297849079	27.7282208810935	0.987061509230638	1090161	0.8939	0.0318181818181818	0.110054553084347	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C7_54	4467	26436	Epi	0.0416603602240048	WT_C-C7	WT_C	7	6	5-8	9	Stomach	-0.0194215727061559	-0.0981731934020471	G1	-20.5797891247803	25.2254745091465	0.987419683721238	2127869	0.8894	0.0416398774630309	0.0470338215636612	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C8_02	4704	38401	Epi	0.0178129638792677	WT_C-C8	WT_C	1	2	1-4	9	Stomach	-0.0906108345599901	-0.0596718949675001	G1	-20.6378188084234	25.1767547479822	0.9925216628317	1814620	0.9016	0.0178120361448921	0.0566546025719087	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-C8_33	5036	34404	Epi	0.115306359725613	WT_C-C8	WT_C	5	1	1-4	10	Stomach	-0.082663643325794	-0.0681019859036959	G1	12.2068352875958	-5.37964574893811	0.98136060974808	1625357	0.8832	0.115299657036563	0.0906676154751238	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D3_06	2618	10463	Epi	0.0489343400554334	WT_C-D3	WT_C	1	6	5-8	10	Stomach	-0.115675648881053	-0.0241902182702755	G1	10.1733909714508	-3.97314147694998	0.993388533734355	1118754	0.8613	0.0489296636085627	0.0529161735500236	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D3_67	5079	28957	Epi	0.0540512537127858	WT_C-D3	WT_C	9	3	1-4	9	Stomach	-0.153197847958212	-0.0749170078321091	G1	-19.9309868571661	27.9838696332929	0.995761267643285	1993183	0.8832	0.0540419213370627	0.0187928172274311	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D4_95	3752	13846	Epi	0.0350332273909275	WT_C-D4	WT_C	12	7	5-8	9	Stomach	-0.146802472119074	-0.00583655917223574	G1	-20.5249288703609	24.9896905654808	0.995597495146414	2863203	0.9021	0.0350180505415162	0.0196971671458794	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D5_41	4620	23426	Epi	0.0269370330843116	WT_C-D5	WT_C	6	1	1-4	10	Stomach	-0.0936077870278325	-0.126754817265552	G1	13.2956669638336	-3.11179603848332	0.993856224098556	2012208	0.9017	0.0269312846777635	0.0166484092395716	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D5_55	3803	16202	Epi	0.0883278809950003	WT_C-D5	WT_C	7	7	5-8	9	Stomach	-0.155824085417363	-0.0579258481399343	G1	-21.5736848587331	28.5570615903287	0.989984232369387	1722858	0.9006	0.0883169783373449	0.0263284648126637	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D7_39	2480	13619	Epi	0.0388513513513514	WT_C-D7	WT_C	5	7	5-8	10	Stomach	-0.132491168172667	-0.0781246700935892	G1	10.1578666573454	-3.97963685008097	0.992771451439798	1464405	0.8853	0.0388427931566194	0.0912205790707098	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D8_43	6318	72699	Epi	0.0552170025448793	WT_C-D8	WT_C	6	3	1-4	10	Stomach	-0.129146755346051	-0.0857718036664941	G1	11.7868781853113	-4.70404714414845	0.995892629413508	3323038	0.9005	0.0552101672535211	0.0092118010901907	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D11_43	6256	57775	Epi	0.0294611483270153	WT_C-D11	WT_C	6	3	1-4	9	Stomach	-0.141247427843305	-0.111323831807836	G1	-19.7715036793378	29.4145233401091	0.995653485028241	3274209	0.91	0.0294591086109909	0.017550095741338	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D12_45	4338	20861	Epi	0.0740172579098754	WT_C-D12	WT_C	6	5	5-8	10	Stomach	-0.110237511380735	-0.0475491487942186	G1	11.6932492750046	-4.63580473005061	0.992697328153049	1926787	0.9198	0.0740137097933944	0.0964002304882079	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-D12_61	4221	22807	Epi	0.0242961143759319	WT_C-D12	WT_C	8	5	5-8	9	Stomach	-0.10723529686947	-0.0977321030239783	G1	-20.7028689330728	25.2398387919866	0.989322742990269	3305136	0.9028	0.0242897229042441	0.0456103164798883	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WD_C-B5_95	5284	34087	Epi	0.0738806408074644	WD_C-B5	WD_C	12	7	5-8	10	Stomach	-0.0133590983495258	-0.0853554101852735	G1	10.888038148862	-4.79684125729957	0.993433428102695	2322977	0.8888	0.0738589698462983	0.063407911843624	1	FALSE	TRUE	Stomach	fundus	Stomach	Epi
WD_C-C1_07	4263	19327	Epi	0.0369987063389392	WD_C-C1	WD_C	1	7	5-8	9	Stomach	-0.176481167612817	-0.164814321209271	G1	-19.0729008641128	27.2527541282829	0.987693907029359	2250285	0.9079	0.036985309331678	0.0405543522982996	1	FALSE	TRUE	Stomach	fundus	Stomach	Epi
WD_C-C8_05	4096	14061	Epi	0.0552631578947368	WD_C-C8	WD_C	1	5	5-8	9	Stomach	-0.132524010128081	-0.027083094324056	G1	-20.7615534866025	28.895593013212	0.989054549009775	1647021	0.9058	0.055251368840219	0.059327071938677	1	FALSE	TRUE	Stomach	fundus	Stomach	Epi
WD_C-C8_60	5921	31140	Epi	0.0514771997430957	WD_C-C8	WD_C	8	4	1-4	9	Stomach	-0.1707239826376	-0.0892980610085408	G1	-20.1677712985719	28.5479515277746	0.994500946799915	3596941	0.9192	0.0514755467069137	0.0299145072109638	1	FALSE	TRUE	Stomach	fundus	Stomach	Epi
WT_C-B1_62	4162	15464	Epi	0.0178548324492172	WT_C-B1	WT_C	8	6	5-8	10	Stomach	-0.0527899824144644	-0.0909908446963049	G1	10.7015592371484	-4.22272176901395	0.98256274963355	1915290	0.9034	0.0178479048111743	0.0865838253268372	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-B1_83	4457	23157	Epi	0.0339956803455724	WT_C-B1	WT_C	11	3	1-4	9	Stomach	-0.0286586512819514	-0.0517889501866164	G1	-20.9606028965733	28.8986209149721	0.987318993942832	2142295	0.8874	0.0339839364366526	0.0515612904345769	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-B5_29	4743	20536	Epi	0.0619400077911959	WT_C-B5	WT_C	4	5	5-8	9	Stomach	-0.106021568067613	-0.129390187708353	G1	-20.0302381500197	28.3854455943761	0.991876434294282	3004703	0.9138	0.06193699177095	0.0769006147015065	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-B6_75	5564	35660	Epi	0.0546581412305794	WT_C-B6	WT_C	10	3	1-4	13	Stomach	-0.0861984236343464	0.000744882741665481	G2M	12.0620878468347	1.01332166082717	0.993433120125172	4116620	0.8804	0.0546535430862847	0.0343086510916612	1	FALSE	TRUE	Stomach	body	Stomach	Epi
WT_C-B7_82	5625	27793	Epi	0.0567850588362302	WT_C-B7	WT_C	11	2	1-4	9	Stomach	-0.152497567441962	-0.0386187781512167	G1	-19.922028974588	28.2240275077387	0.993900304597496	4348429	0.896	0.0567768862663261	0.0358142540430537	1	FALSE	TRUE	Stomach	body	Stomach	Epi
XCZ_C-B1_44	6425	41043	Epi	0.11709670345735	XCZ_C-B1	XCZ_C	6	4	1-4	1	Small intestine	-0.0810743387818172	0.0348880674173441	G2M	27.7813349120501	4.807918113062	0.989916832029666	4437828	0.8948	0.11709670345735	0.0428772125516587	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
XCZ_C-B1_51	3725	14222	Epi	0.130291098298411	XCZ_C-B1	XCZ_C	7	3	1-4	9	Small intestine	-0.102583755695076	-0.0622755127498283	G1	-19.8044629185081	32.2545093720101	0.988241070202573	2476789	0.8799	0.1302727784027	0.0772960521749887	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
XCZ_C-B1_54	7171	56471	Epi	0.112449088011333	XCZ_C-B1	XCZ_C	7	6	5-8	1	Small intestine	-0.0398188687430954	-0.092244215102278	G1	22.6687035969934	1.4205078536706	0.990149283337207	5238257	0.8896	0.112433159814441	0.0278045153142768	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
XCZ_C-B1_85	4173	13415	Epi	0.0293130454240322	XCZ_C-B1	XCZ_C	11	5	5-8	11	Small intestine	-0.136980952735637	-0.0231073992432316	G1	37.5237814342123	19.4651920177225	0.971752204153922	3189859	0.8834	0.0292802860974519	0.0306186628875318	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
XCZ_C-B1_87	3607	17052	Epi	0.098703888334995	XCZ_C-B1	XCZ_C	11	7	5-8	13	Small intestine	-0.0632261102073509	0.0516357928129515	G2M	12.8461532692589	1.74817398273347	0.956299912234829	2691735	0.8713	0.0986923122031314	0.0773256577536371	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
XCZ_C-B2_02	5028	27183	Epi	0.10322628113159	XCZ_C-B2	XCZ_C	1	2	1-4	1	Small intestine	-0.0267529446773125	-0.0110902753205502	G1	19.4558341287917	-5.12987184093558	0.990390498787257	2501035	0.8642	0.103211093537352	0.0607608604763679	1	FALSE	TRUE	Small intestine	middle section	Small intestine	Epi
