myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0.823	0.919527979495634	0.646	0.919527979495634	1	0.739	NA	Bronchus	LMO7
0.822	0.70972235721419	0.644	0.70972235721419	0.917	0.52	NA	Bronchus	MTUS1
0.819	0.780724827695569	0.638	0.780724827695569	1	0.79	NA	Bronchus	ERRFI1
0.819	0.345719187361718	0.638	0.345719187361718	1	0.523	NA	Bronchus	RGL2
0.182	-0.42555947256087	0.636	-0.42555947256087	0.083	0.692	NA	Bronchus	MTFR1L
0.818	1.0625584973501	0.636	1.0625584973501	1	0.623	NA	Bronchus	GPRC5A
0.817	0.322297398271013	0.634	0.322297398271013	0.917	0.285	NA	Bronchus	CASC15
0.816	0.460575448980283	0.632	0.460575448980283	0.917	0.496	NA	Bronchus	PIAS3
0.812	0.583986773309983	0.624	0.583986773309983	0.75	0.145	NA	Bronchus	SLC34A2
0.811	0.441444250724408	0.622	0.441444250724408	0.917	0.426	NA	Bronchus	HSPB1
0.189	-0.725444363246326	0.622	-0.725444363246326	0	0.622	NA	Bronchus	CAMK2N1
0.81	0.645413572287902	0.62	0.645413572287902	1	0.899	NA	Bronchus	VEGFA
0.81	0.367622008030128	0.62	0.367622008030128	0.75	0.134	NA	Bronchus	SLC22A3
0.809	0.613763442587445	0.618	0.613763442587445	1	0.997	NA	Bronchus	H3F3B
0.808	0.535972700943925	0.616	0.535972700943925	0.917	0.334	NA	Bronchus	CLIC6
0.808	0.448799534247735	0.616	0.448799534247735	0.917	0.721	NA	Bronchus	TMED3
0.806	1.14068318139544	0.612	1.14068318139544	0.917	0.61	NA	Bronchus	CTD-3252C9.4
0.806	0.470124108835572	0.612	0.470124108835572	1	0.994	NA	Bronchus	RPS20
0.803	0.73173906230705	0.606	0.73173906230705	1	0.482	NA	Bronchus	ANXA3
0.801	1.91850765907609	0.602	1.91850765907609	1	0.543	NA	Bronchus	WFDC2
0.8	0.417526258462192	0.6	0.417526258462192	1	0.964	NA	Bronchus	RPS24
0.8	0.415873735339062	0.6	0.415873735339062	1	0.727	NA	Bronchus	CD9
0.2	-0.576203306915976	0.6	-0.576203306915976	0.417	0.87	NA	Bronchus	ADAM10
0.201	-0.68341635858783	0.598	-0.68341635858783	0.25	0.759	NA	Bronchus	BLMH
0.797	0.578828238672759	0.594	0.578828238672759	0.917	0.513	NA	Bronchus	ACSF2
0.796	0.416338832966667	0.592	0.416338832966667	0.75	0.172	NA	Bronchus	PTN
0.204	-1.0987770773772	0.592	-1.0987770773772	0	0.593	NA	Bronchus	DACH1
0.794	0.744844836896573	0.588	0.744844836896573	1	0.862	NA	Bronchus	ATF3
0.793	0.653940117725572	0.586	0.653940117725572	1	0.74	NA	Bronchus	PELI1
0.793	0.559869274937757	0.586	0.559869274937757	0.917	0.591	NA	Bronchus	SLC3A2
0.793	0.33109464295707	0.586	0.33109464295707	0.917	0.372	NA	Bronchus	ADGRV1
0.207	-1.40839943050988	0.586	-1.40839943050988	0.083	0.623	NA	Bronchus	GPC3
0.792	0.892218700375505	0.584	0.892218700375505	1	0.833	NA	Bronchus	DUSP1
0.792	0.659334849542494	0.584	0.659334849542494	1	0.693	NA	Bronchus	SLC12A2
0.792	0.488022526906299	0.584	0.488022526906299	1	0.597	NA	Bronchus	ALCAM
0.792	0.34761215804455	0.584	0.34761215804455	1	0.927	NA	Bronchus	RPS25
0.791	0.515297095893246	0.582	0.515297095893246	1	0.754	NA	Bronchus	CHKA
0.791	0.461099195659039	0.582	0.461099195659039	0.833	0.422	NA	Bronchus	RUNX1
0.79	0.532194160555184	0.58	0.532194160555184	1	0.868	NA	Bronchus	LINC01578
0.789	0.426039315342145	0.578	0.426039315342145	0.75	0.191	NA	Bronchus	SOX5
0.787	0.421091574701413	0.574	0.421091574701413	0.75	0.255	NA	Bronchus	SLC15A2
0.785	0.509636568382402	0.57	0.509636568382402	0.667	0.204	NA	Bronchus	RASSF5
0.784	0.533817413088851	0.568	0.533817413088851	0.917	0.694	NA	Bronchus	ATL2
0.783	0.554374252938268	0.566	0.554374252938268	0.833	0.433	NA	Bronchus	SELENBP1
0.783	0.471171518755711	0.566	0.471171518755711	1	0.941	NA	Bronchus	RPL41
0.781	0.69609388967146	0.562	0.69609388967146	0.917	0.744	NA	Bronchus	GOLGA8A
0.22	-0.439871579679213	0.56	-0.439871579679213	0.25	0.694	NA	Bronchus	ATP6V1B2
0.221	-0.444531585464126	0.558	-0.444531585464126	0.167	0.637	NA	Bronchus	PLPP1
0.778	0.637870230460214	0.556	0.637870230460214	0.917	0.566	NA	Bronchus	USP54
0.778	0.404573936660738	0.556	0.404573936660738	1	0.986	NA	Bronchus	RPL27A
0.222	-1.96784342197695	0.556	-1.96784342197695	0	0.556	NA	Bronchus	SYNPO
0.777	2.48550070323029	0.554	2.48550070323029	0.583	0.046	NA	Bronchus	SLPI
0.774	0.698158258682604	0.548	0.698158258682604	1	0.918	NA	Bronchus	SLC38A2
0.774	0.563508744804938	0.548	0.563508744804938	1	0.747	NA	Bronchus	ELF3
0.774	0.563032523955447	0.548	0.563032523955447	1	0.902	NA	Bronchus	ANXA5
0.774	0.453796296619677	0.548	0.453796296619677	1	0.671	NA	Bronchus	SP100
0.226	-0.486485606762896	0.548	-0.486485606762896	0	0.548	NA	Bronchus	PLXDC2
0.226	-0.569834948932839	0.548	-0.569834948932839	0.167	0.62	NA	Bronchus	BMP2K
0.772	0.548647118323737	0.544	0.548647118323737	0.917	0.562	NA	Bronchus	FGFR2
0.772	0.443266781120907	0.544	0.443266781120907	0.833	0.452	NA	Bronchus	LAMC2
0.771	0.459352455513595	0.542	0.459352455513595	1	0.648	NA	Bronchus	GPCPD1
0.771	0.381053277444392	0.542	0.381053277444392	0.917	0.454	NA	Bronchus	DSE
0.229	-0.639137124978713	0.542	-0.639137124978713	0.667	0.879	NA	Bronchus	ANKRD11
0.229	-0.889811779042289	0.542	-0.889811779042289	0.25	0.67	NA	Bronchus	COBLL1
0.229	-1.10031937045835	0.542	-1.10031937045835	0.167	0.689	NA	Bronchus	ALDH1A1
0.77	0.460126038456869	0.54	0.460126038456869	0.75	0.292	NA	Bronchus	GSAP
0.23	-0.398642479866465	0.54	-0.398642479866465	0.25	0.689	NA	Bronchus	RP11-632C17__A.1
0.23	-0.407274364213355	0.54	-0.407274364213355	0.083	0.604	NA	Bronchus	LGR4
0.23	-0.467032520391925	0.54	-0.467032520391925	0.5	0.81	NA	Bronchus	CYFIP1
0.23	-0.490092224607193	0.54	-0.490092224607193	1	0.968	NA	Bronchus	KHDRBS1
0.768	0.343105318469296	0.536	0.343105318469296	0.833	0.576	NA	Bronchus	RPS20P14
0.767	0.4221292762403	0.534	0.4221292762403	0.75	0.466	NA	Bronchus	TSTD1
0.765	0.862022571157408	0.53	0.862022571157408	1	0.933	NA	Bronchus	IER2
0.765	0.499851567882075	0.53	0.499851567882075	1	0.978	NA	Bronchus	TMSB4X
0.764	0.289258019802363	0.528	0.289258019802363	1	0.993	NA	Bronchus	GNAS
0.236	-0.45908222169319	0.528	-0.45908222169319	0.167	0.63	NA	Bronchus	ITM2C
0.762	0.3627773207406	0.524	0.3627773207406	0.667	0.19	NA	Bronchus	C19orf33
0.762	0.325127131567122	0.524	0.325127131567122	0.833	0.601	NA	Bronchus	SMG1P4
0.239	-0.339724101612875	0.522	-0.339724101612875	0.167	0.662	NA	Bronchus	ALG5
0.76	0.54773228043345	0.52	0.54773228043345	0.917	0.566	NA	Bronchus	NR4A1
0.759	0.462573409955899	0.518	0.462573409955899	1	0.86	NA	Bronchus	GSTP1
0.241	-0.616459908563101	0.518	-0.616459908563101	1	0.991	NA	Bronchus	TSPAN3
0.758	0.515002612387847	0.516	0.515002612387847	0.583	0.109	NA	Bronchus	CMAHP
0.758	0.402192249459278	0.516	0.402192249459278	1	0.793	NA	Bronchus	TES
0.758	0.272608769720924	0.516	0.272608769720924	0.833	0.347	NA	Bronchus	TLE2
0.242	-0.48116536604632	0.516	-0.48116536604632	0.417	0.819	NA	Bronchus	RTCB
0.757	0.411858781131724	0.514	0.411858781131724	0.583	0.091	NA	Bronchus	FAM189A2
0.243	-0.353294564820364	0.514	-0.353294564820364	0.25	0.729	NA	Bronchus	JPX
0.754	0.370210569444873	0.508	0.370210569444873	1	0.929	NA	Bronchus	MT-ND3
0.754	0.35350854288247	0.508	0.35350854288247	1	0.983	NA	Bronchus	RPL10
0.246	-0.462743823870781	0.508	-0.462743823870781	0.083	0.57	NA	Bronchus	FKBP15
0.247	-0.372419415363873	0.506	-0.372419415363873	0.75	0.888	NA	Bronchus	ADAR
0.752	0.379050124893161	0.504	0.379050124893161	1	0.921	NA	Bronchus	RPS27
0.249	-0.483464965101151	0.502	-0.483464965101151	1	0.994	NA	Bronchus	DDX17
0.249	-0.553710761331002	0.502	-0.553710761331002	1	0.972	NA	Bronchus	SF3B2
0.249	-0.568313267373233	0.502	-0.568313267373233	0.25	0.669	NA	Bronchus	CRIM1
0.75	0.565882302675735	0.5	0.565882302675735	0.583	0.083	NA	Bronchus	NKX2-1
0.25	-0.61837161506216	0.5	-0.61837161506216	0.083	0.553	NA	Bronchus	ELOVL6
0.749	0.42178334749631	0.498	0.42178334749631	1	0.952	NA	Bronchus	RPL35A
0.251	-0.279570768565668	0.498	-0.279570768565668	0.167	0.597	NA	Bronchus	EPC2
0.251	-0.614876296287693	0.498	-0.614876296287693	0.333	0.647	NA	Bronchus	IRF1
0.251	-0.879789239700388	0.498	-0.879789239700388	0.333	0.689	NA	Bronchus	BACE1
0.748	1.41748412183801	0.496	1.41748412183801	0.583	0.105	NA	Bronchus	SFTPB
0.748	0.695892319934829	0.496	0.695892319934829	1	0.997	NA	Bronchus	UBC
0.748	0.370674924339084	0.496	0.370674924339084	1	0.728	NA	Bronchus	MBNL1
0.252	-0.642480884709441	0.496	-0.642480884709441	0.75	0.931	NA	Bronchus	EIF3M
0.747	0.647481107988183	0.494	0.647481107988183	1	0.707	NA	Bronchus	PERP
0.747	0.354500186690475	0.494	0.354500186690475	1	0.987	NA	Bronchus	EIF1
0.254	-0.3187889071102	0.492	-0.3187889071102	0.5	0.776	NA	Bronchus	SLC30A9
0.254	-0.542112791390196	0.492	-0.542112791390196	0.083	0.535	NA	Bronchus	SLC26A2
0.254	-0.638780352273448	0.492	-0.638780352273448	0.5	0.834	NA	Bronchus	IARS
0.254	-0.885492807877827	0.492	-0.885492807877827	0.25	0.631	NA	Bronchus	TRIB2
0.745	0.743672475835419	0.49	0.743672475835418	1	0.863	NA	Bronchus	NPC2
0.745	0.447032561318516	0.49	0.447032561318516	1	0.969	NA	Bronchus	FAU
0.745	0.405226580394789	0.49	0.405226580394789	1	0.767	NA	Bronchus	C5orf42
0.744	0.715267354406889	0.488	0.715267354406889	0.833	0.572	NA	Bronchus	DLC1
0.744	0.338314482187738	0.488	0.338314482187738	0.917	0.742	NA	Bronchus	DDAH2
0.744	0.267828380779831	0.488	0.267828380779831	1	0.965	NA	Bronchus	TRA2B
0.256	-0.273302087157927	0.488	-0.273302087157927	0	0.489	NA	Bronchus	SLC37A4
0.256	-0.592347076266578	0.488	-0.592347076266578	0.5	0.768	NA	Bronchus	SLBP
0.743	0.394882441869046	0.486	0.394882441869046	1	0.702	NA	Bronchus	EFNA1
0.743	0.354097828912882	0.486	0.354097828912882	0.917	0.651	NA	Bronchus	SAV1
0.743	0.321792656181027	0.486	0.321792656181027	0.917	0.719	NA	Bronchus	RPL18
0.743	0.312710582306131	0.486	0.312710582306131	0.833	0.455	NA	Bronchus	AHR
0.257	-0.338417361956336	0.486	-0.338417361956336	0.75	0.844	NA	Bronchus	PSMB5
0.257	-0.353100841167833	0.486	-0.353100841167833	0.5	0.778	NA	Bronchus	CCNG1
0.742	0.665662560416857	0.484	0.665662560416857	0.917	0.518	NA	Bronchus	AQP3
0.742	0.420587850319958	0.484	0.420587850319958	0.917	0.54	NA	Bronchus	TMEM30B
0.258	-0.415358850865246	0.484	-0.415358850865246	0.417	0.747	NA	Bronchus	SUCLG1
0.258	-0.539767810609777	0.484	-0.539767810609777	0.5	0.863	NA	Bronchus	JAK1
0.741	0.567343517183743	0.482	0.567343517183743	0.667	0.278	NA	Bronchus	PRICKLE1
0.741	0.283625598925308	0.482	0.283625598925308	1	0.99	NA	Bronchus	NACA
0.259	-0.376322916045738	0.482	-0.376322916045738	0.25	0.624	NA	Bronchus	KLHL8
0.259	-0.498378401604791	0.482	-0.498378401604791	0.667	0.9	NA	Bronchus	LCOR
0.259	-0.518754777447039	0.482	-0.518754777447039	1	0.935	NA	Bronchus	TSC22D1
0.74	1.16004447426498	0.48	1.16004447426498	0.583	0.123	NA	Bronchus	WIF1
0.26	-0.276681201278883	0.48	-0.276681201278883	0.25	0.741	NA	Bronchus	FAM60A
0.739	0.35457066261058	0.478	0.35457066261058	0.917	0.702	NA	Bronchus	CTB-89H12.4
0.738	0.915870283491299	0.476	0.915870283491299	0.583	0.112	NA	Bronchus	CLDN18
0.738	0.325041510830485	0.476	0.325041510830485	0.833	0.443	NA	Bronchus	RASEF
0.262	-0.284777912967351	0.476	-0.284777912967351	0.167	0.571	NA	Bronchus	NFRKB
0.262	-0.358103941511151	0.476	-0.358103941511151	0.167	0.62	NA	Bronchus	ZADH2
0.737	0.592587621744252	0.474	0.592587621744252	0.583	0.126	NA	Bronchus	FILIP1
0.737	0.452215138586973	0.474	0.452215138586973	0.583	0.146	NA	Bronchus	ATP13A4
0.737	0.384140168750893	0.474	0.384140168750893	0.667	0.23	NA	Bronchus	PLEKHG4B
0.737	0.311417399858651	0.474	0.311417399858651	1	0.907	NA	Bronchus	PRDX1
0.737	0.257141558975107	0.474	0.257141558975107	1	0.913	NA	Bronchus	DNAJB6
0.263	-0.491266013200975	0.474	-0.491266013200975	0.25	0.703	NA	Bronchus	NLK
0.263	-0.713590415912879	0.474	-0.713590415912879	0.25	0.727	NA	Bronchus	AKR1B1
0.263	-0.853020426591138	0.474	-0.853020426591138	0.5	0.834	NA	Bronchus	GADD45A
0.736	0.471815496760558	0.472	0.471815496760558	0.667	0.186	NA	Bronchus	FOXA2
0.736	0.359241554394156	0.472	0.359241554394156	0.667	0.223	NA	Bronchus	NECTIN4
0.264	-0.431281007188456	0.472	-0.431281007188456	0.333	0.733	NA	Bronchus	SF3B3
0.735	0.485785408036438	0.47	0.485785408036438	1	0.848	NA	Bronchus	PPP1R15A
0.735	0.354974024617872	0.47	0.354974024617872	1	0.567	NA	Bronchus	TC2N
0.735	0.306007208065631	0.47	0.306007208065631	1	0.902	NA	Bronchus	RPL7P9
0.265	-0.354477859388315	0.47	-0.354477859388315	0.5	0.823	NA	Bronchus	HADHB
0.265	-0.375033311742849	0.47	-0.375033311742849	0.5	0.823	NA	Bronchus	ANAPC5
0.265	-0.401221521768525	0.47	-0.401221521768525	0.25	0.718	NA	Bronchus	UNC45A
0.265	-0.493416671553525	0.47	-0.493416671553525	0	0.469	NA	Bronchus	FREM1
0.265	-0.536461769844537	0.47	-0.536461769844537	0.25	0.603	NA	Bronchus	QPRT
0.265	-0.899013225190273	0.47	-0.899013225190273	0	0.471	NA	Bronchus	PAX8
0.734	0.552918000770971	0.468	0.552918000770971	0.833	0.606	NA	Bronchus	SGSM2
0.734	0.459037631935423	0.468	0.459037631935423	1	0.842	NA	Bronchus	GLTSCR2
0.734	0.333768741295739	0.468	0.333768741295739	0.833	0.547	NA	Bronchus	ADK
0.266	-0.61357151375517	0.468	-0.61357151375517	0.417	0.666	NA	Bronchus	ICMT
0.267	-0.466431641936296	0.466	-0.466431641936296	0.083	0.532	NA	Bronchus	CDR2
0.267	-0.569820593635679	0.466	-0.569820593635679	0.25	0.64	NA	Bronchus	STON2
0.267	-1.09621673112226	0.466	-1.09621673112226	0	0.466	NA	Bronchus	SMIM24
0.732	0.671546959187156	0.464	0.671546959187156	0.5	0.05	NA	Bronchus	FREM3
0.732	0.411578926143023	0.464	0.411578926143023	1	0.765	NA	Bronchus	CDH1
0.732	0.305174360902883	0.464	0.305174360902883	0.917	0.877	NA	Bronchus	TRA2A
0.731	0.692866493059411	0.462	0.692866493059411	0.667	0.293	NA	Bronchus	NR4A2
0.731	0.679997148513993	0.462	0.679997148513993	1	0.898	NA	Bronchus	ANXA2
0.731	0.331539754915814	0.462	0.331539754915814	0.917	0.628	NA	Bronchus	PTPRK
0.269	-0.570916771788356	0.462	-0.570916771788356	0.5	0.759	NA	Bronchus	MEST
0.73	0.333053873582088	0.46	0.333053873582088	1	0.921	NA	Bronchus	RPS13
0.73	0.311474512941094	0.46	0.311474512941094	1	0.981	NA	Bronchus	RPL15
0.27	-0.6415276675058	0.46	-0.6415276675058	0.833	0.945	NA	Bronchus	PTBP3
0.729	0.525170617863469	0.458	0.525170617863469	1	0.999	NA	Bronchus	UBB
0.271	-0.606029543854357	0.458	-0.606029543854357	0.75	0.846	NA	Bronchus	PSIP1
0.271	-0.713219342289828	0.458	-0.713219342289828	1	0.99	NA	Bronchus	RTN4
0.271	-0.764685168774173	0.458	-0.764685168774173	0.833	0.852	NA	Bronchus	MYH10
0.728	0.977500268040993	0.456	0.977500268040993	0.5	0.062	NA	Bronchus	PALMD
0.728	0.284950388745922	0.456	0.284950388745922	0.833	0.463	NA	Bronchus	TMCC1
0.272	-0.566236275076483	0.456	-0.566236275076483	0.75	0.953	NA	Bronchus	THOC2
0.727	0.33224167744709	0.454	0.33224167744709	0.75	0.32	NA	Bronchus	CELF2
0.727	0.281068037516982	0.454	0.281068037516982	0.667	0.23	NA	Bronchus	SEMA4A
0.726	0.366610119890566	0.452	0.366610119890566	0.917	0.752	NA	Bronchus	BTG3
0.274	-0.27711144500647	0.452	-0.27711144500647	0.25	0.68	NA	Bronchus	ARFGEF2
0.274	-0.317880554865286	0.452	-0.317880554865286	0.167	0.609	NA	Bronchus	PDCL3
0.274	-0.734355306412292	0.452	-0.734355306412292	0	0.453	NA	Bronchus	VAV3
0.274	-1.06086496909541	0.452	-1.06086496909541	0.667	0.842	NA	Bronchus	LAMB1
0.725	0.365447761114166	0.45	0.365447761114166	0.75	0.346	NA	Bronchus	EFEMP1
0.725	0.293391582886724	0.45	0.293391582886724	0.583	0.16	NA	Bronchus	KLF8
0.725	0.293139124781662	0.45	0.293139124781662	1	0.999	NA	Bronchus	HSP90AB1
0.275	-0.314856235654651	0.45	-0.314856235654651	0.417	0.718	NA	Bronchus	CIAO1
0.275	-0.32450043018054	0.45	-0.32450043018054	0.167	0.593	NA	Bronchus	PKD2
0.275	-0.40797901745939	0.45	-0.40797901745939	0.667	0.824	NA	Bronchus	PHC2
0.275	-0.451057336241419	0.45	-0.451057336241419	0.417	0.784	NA	Bronchus	RNPEP
0.724	0.492066538747275	0.448	0.492066538747275	0.833	0.626	NA	Bronchus	DAPK1
0.276	-0.296194435039782	0.448	-0.296194435039782	0.083	0.5	NA	Bronchus	CEP104
0.276	-0.828434989773296	0.448	-0.828434989773296	1	0.987	NA	Bronchus	HSPA5
0.276	-1.5862925372554	0.448	-1.5862925372554	0	0.449	NA	Bronchus	MAGI2-AS3
0.723	0.465112590578198	0.446	0.465112590578198	1	0.975	NA	Bronchus	MCL1
0.723	0.426595967367585	0.446	0.426595967367585	1	0.953	NA	Bronchus	EEF1D
0.723	0.34266907498251	0.446	0.34266907498251	1	0.962	NA	Bronchus	CCNL1
0.723	0.341719425322013	0.446	0.341719425322013	1	0.795	NA	Bronchus	ARL6IP5
0.723	0.315063486357074	0.446	0.315063486357074	1	0.824	NA	Bronchus	HBP1
0.723	0.307134494395153	0.446	0.307134494395153	1	0.963	NA	Bronchus	RPL13
0.277	-0.275787178096274	0.446	-0.275787178096274	0.25	0.62	NA	Bronchus	SELENOI
0.277	-0.483021620112429	0.446	-0.483021620112429	0.5	0.766	NA	Bronchus	SMC1A
0.278	-0.332404807794482	0.444	-0.332404807794482	0.5	0.693	NA	Bronchus	TDG
0.278	-0.375016092082124	0.444	-0.375016092082124	0.583	0.864	NA	Bronchus	NPTN
0.278	-0.392171641728618	0.444	-0.392171641728618	1	0.965	NA	Bronchus	CD164
0.278	-0.497319576908564	0.444	-0.497319576908564	0.167	0.553	NA	Bronchus	GSTM4
0.278	-0.580143675595529	0.444	-0.580143675595529	0.417	0.71	NA	Bronchus	TLE4
0.278	-0.769582988192484	0.444	-0.769582988192484	0.833	0.888	NA	Bronchus	ZFP36L2
0.279	-0.255222690434436	0.442	-0.255222690434436	0.417	0.777	NA	Bronchus	GTF2IP4
0.279	-0.473645787024223	0.442	-0.473645787024223	0.75	0.898	NA	Bronchus	LAPTM4B
0.279	-1.16507114275563	0.442	-1.16507114275563	0	0.443	NA	Bronchus	EMX2OS
0.72	0.38159021180654	0.44	0.38159021180654	0.833	0.576	NA	Bronchus	MAGI3
0.72	0.348295448524889	0.44	0.348295448524889	0.75	0.347	NA	Bronchus	FAM184A
0.72	0.264330032302233	0.44	0.264330032302233	0.917	0.597	NA	Bronchus	SLC4A7
0.28	-0.479467834597535	0.44	-0.479467834597535	0.833	0.953	NA	Bronchus	THRAP3
0.28	-0.625254634292689	0.44	-0.625254634292689	1	0.981	NA	Bronchus	MAP4
0.719	0.394641494173459	0.438	0.394641494173459	0.917	0.812	NA	Bronchus	GALNT1
0.719	0.267431541534238	0.438	0.267431541534238	0.75	0.335	NA	Bronchus	PPP1R14C
0.281	-0.25610941385135	0.438	-0.25610941385135	0.083	0.488	NA	Bronchus	FAHD1
0.281	-0.277351750899982	0.438	-0.277351750899982	0.167	0.603	NA	Bronchus	ANKRD54
0.281	-0.483483563145618	0.438	-0.483483563145618	0.083	0.505	NA	Bronchus	MYO1E
0.281	-0.610131917959809	0.438	-0.610131917959809	0	0.439	NA	Bronchus	TMEM176B
0.281	-0.652167286900656	0.438	-0.652167286900656	0.167	0.529	NA	Bronchus	BEX1
0.282	-0.339007644565227	0.436	-0.339007644565227	0.917	0.921	NA	Bronchus	ACTR2
0.282	-0.340479608615673	0.436	-0.340479608615673	0	0.435	NA	Bronchus	CPVL
0.282	-0.360506072883349	0.436	-0.360506072883349	0.5	0.78	NA	Bronchus	PSEN1
0.282	-0.516080089169956	0.436	-0.516080089169956	0.083	0.507	NA	Bronchus	SERPINE2
0.718	0.411385223700019	0.436	0.411385223700019	0.833	0.618	NA	Bronchus	SGMS2
0.283	-0.310994811433411	0.434	-0.310994811433411	0.083	0.519	NA	Bronchus	CRYL1
0.283	-0.340883147338581	0.434	-0.340883147338581	0.583	0.762	NA	Bronchus	UBXN7
0.283	-0.367854736847376	0.434	-0.367854736847376	0.75	0.831	NA	Bronchus	ZBTB44
0.283	-0.794073415249695	0.434	-0.794073415249695	0.417	0.682	NA	Bronchus	SRGAP1
0.717	1.75905562588464	0.434	1.75905562588464	0.5	0.089	NA	Bronchus	AQP4
0.717	0.411881396682039	0.434	0.411881396682039	0.5	0.078	NA	Bronchus	RP11-139H15.5
0.284	-0.259956892119604	0.432	-0.259956892119604	0.167	0.539	NA	Bronchus	COX15
0.284	-0.304460396969218	0.432	-0.304460396969218	0.417	0.697	NA	Bronchus	EAPP
0.284	-0.485522323458515	0.432	-0.485522323458515	0.333	0.727	NA	Bronchus	CWC27
0.284	-0.550744120113529	0.432	-0.550744120113529	0.333	0.619	NA	Bronchus	PTPRG
0.284	-1.78831621727145	0.432	-1.78831621727145	0.167	0.534	NA	Bronchus	AKAP12
0.716	0.575809478112845	0.432	0.575809478112845	0.75	0.407	NA	Bronchus	C1orf116
0.716	0.405655348977041	0.432	0.405655348977041	0.75	0.406	NA	Bronchus	TNS1
0.716	0.377331713039693	0.432	0.377331713039693	1	0.904	NA	Bronchus	UFC1
0.716	0.337324468919504	0.432	0.337324468919504	1	0.999	NA	Bronchus	RPL34
0.285	-0.314787608915867	0.43	-0.314787608915867	0.583	0.756	NA	Bronchus	NDUFA6
0.285	-0.431685662864035	0.43	-0.431685662864035	0.083	0.527	NA	Bronchus	DENND5B
0.285	-0.502203249223203	0.43	-0.502203249223203	0.167	0.572	NA	Bronchus	SLC39A14
0.715	0.810642746073283	0.43	0.810642746073283	0.5	0.095	NA	Bronchus	PTPRZ1
0.715	0.574387121198026	0.43	0.574387121198026	1	0.813	NA	Bronchus	SECISBP2L
0.715	0.393884217155037	0.43	0.393884217155037	1	0.984	NA	Bronchus	TMSB10
0.715	0.374940933748503	0.43	0.374940933748503	1	0.89	NA	Bronchus	LASP1
0.286	-0.360433078595793	0.428	-0.360433078595793	0.167	0.574	NA	Bronchus	STXBP5
0.286	-0.388087718791231	0.428	-0.388087718791231	0.333	0.695	NA	Bronchus	VPS53
0.714	0.412954387304176	0.428	0.412954387304176	1	0.905	NA	Bronchus	PTP4A1
0.287	-0.27244021401719	0.426	-0.27244021401719	0.083	0.548	NA	Bronchus	DNAJC9
0.287	-0.399501627656826	0.426	-0.399501627656826	1	0.971	NA	Bronchus	ATP5B
0.287	-0.46930170271273	0.426	-0.46930170271273	0.25	0.711	NA	Bronchus	CTSL
