ENSG00000223972.5	ENSG000002239725	DDX11L1
ENSG00000225630.1	ENSG000002256301	MTND2P28
ENSG00000237973.1	ENSG000002379731	MTCO1P12
ENSG00000278791.1	ENSG000002787911	MIR6723
ENSG00000229344.1	ENSG000002293441	MTCO2P12
ENSG00000240409.1	ENSG000002404091	MTATP8P1
ENSG00000248527.1	ENSG000002485271	MTATP6P1
ENSG00000198744.5	ENSG000001987445	MTCO3P12
ENSG00000268663.1	ENSG000002686631	WBP1LP6
ENSG00000273547.1	ENSG000002735471	OR4F16
ENSG00000283574.1	ENSG000002835741	RP11-206L10.17
ENSG00000229376.3	ENSG000002293763	CICP3
ENSG00000228327.3	ENSG000002283273	RP11-206L10.2
ENSG00000223181.1	ENSG000002231811	RNU6-1199P
ENSG00000229905.1	ENSG000002299051	RP11-206L10.4
ENSG00000237491.8	ENSG000002374918	RP11-206L10.9
ENSG00000230092.7	ENSG000002300927	RP11-206L10.8
ENSG00000177757.2	ENSG000001777572	FAM87B
ENSG00000228794.8	ENSG000002287948	LINC01128
ENSG00000225880.5	ENSG000002258805	LINC00115
ENSG00000230368.2	ENSG000002303682	FAM41C
ENSG00000234711.1	ENSG000002347111	TUBB8P11
ENSG00000283040.1	ENSG000002830401	FAM166AP3
ENSG00000272438.1	ENSG000002724381	RP11-54O7.16
ENSG00000230699.2	ENSG000002306992	RP11-54O7.1
ENSG00000241180.1	ENSG000002411801	RP11-54O7.2
ENSG00000223764.2	ENSG000002237642	RP11-54O7.3
ENSG00000187634.11	ENSG0000018763411	SAMD11
ENSG00000188976.10	ENSG0000018897610	NOC2L
ENSG00000187961.13	ENSG0000018796113	KLHL17
ENSG00000187583.10	ENSG0000018758310	PLEKHN1
ENSG00000187642.9	ENSG000001876429	PERM1
ENSG00000272512.1	ENSG000002725121	RP11-54O7.17
ENSG00000188290.10	ENSG0000018829010	HES4
ENSG00000187608.8	ENSG000001876088	ISG15
ENSG00000231702.2	ENSG000002317022	RP11-54O7.10
ENSG00000224969.1	ENSG000002249691	RP11-54O7.11
ENSG00000188157.14	ENSG0000018815714	AGRN
ENSG00000242590.1	ENSG000002425901	RP11-54O7.14
ENSG00000217801.9	ENSG000002178019	RP11-465B22.3
ENSG00000273443.1	ENSG000002734431	RP11-54O7.18
ENSG00000237330.2	ENSG000002373302	RNF223
ENSG00000131591.17	ENSG0000013159117	C1orf159
ENSG00000223823.1	ENSG000002238231	LINC01342
ENSG00000207730.3	ENSG000002077303	MIR200B
ENSG00000207607.3	ENSG000002076073	MIR200A
ENSG00000198976.1	ENSG000001989761	MIR429
ENSG00000272141.1	ENSG000002721411	RP11-465B22.8
ENSG00000205231.1	ENSG000002052311	TTLL10-AS1
ENSG00000162571.13	ENSG0000016257113	TTLL10
ENSG00000186891.13	ENSG0000018689113	TNFRSF18
ENSG00000186827.10	ENSG0000018682710	TNFRSF4
ENSG00000078808.16	ENSG0000007880816	SDF4
ENSG00000176022.4	ENSG000001760224	B3GALT6
ENSG00000184163.3	ENSG000001841633	C1QTNF12
ENSG00000260179.1	ENSG000002601791	RP5-902P8.12
ENSG00000160087.20	ENSG0000016008720	UBE2J2
ENSG00000230415.1	ENSG000002304151	LINC01786
ENSG00000162572.20	ENSG0000016257220	SCNN1D
ENSG00000131584.18	ENSG0000013158418	ACAP3
ENSG00000278073.1	ENSG000002780731	MIR6726
ENSG00000169972.11	ENSG0000016997211	PUSL1
ENSG00000127054.20	ENSG0000012705420	INTS11
ENSG00000283712.1	ENSG000002837121	MIR6727
ENSG00000240731.1	ENSG000002407311	RP5-890O3.9
ENSG00000224051.6	ENSG000002240516	CPTP
ENSG00000169962.4	ENSG000001699624	TAS1R3
ENSG00000107404.19	ENSG0000010740419	DVL1
ENSG00000284372.1	ENSG000002843721	MIR6808
ENSG00000162576.16	ENSG0000016257616	MXRA8
ENSG00000175756.13	ENSG0000017575613	AURKAIP1
ENSG00000223663.2	ENSG000002236632	NDUFB4P8
ENSG00000221978.11	ENSG0000022197811	CCNL2
ENSG00000224870.6	ENSG000002248706	RP4-758J18.2
ENSG00000242485.5	ENSG000002424855	MRPL20
ENSG00000264293.2	ENSG000002642932	RN7SL657P
ENSG00000272455.1	ENSG000002724551	RP4-758J18.13
ENSG00000235098.8	ENSG000002350988	ANKRD65
ENSG00000225905.1	ENSG000002259051	RP4-758J18.7
ENSG00000205116.3	ENSG000002051163	TMEM88B
ENSG00000225285.1	ENSG000002252851	LINC01770
ENSG00000179403.11	ENSG0000017940311	VWA1
ENSG00000215915.9	ENSG000002159159	ATAD3C
ENSG00000160072.19	ENSG0000016007219	ATAD3B
ENSG00000197785.13	ENSG0000019778513	ATAD3A
ENSG00000205090.8	ENSG000002050908	TMEM240
ENSG00000160075.11	ENSG0000016007511	SSU72
ENSG00000215014.4	ENSG000002150144	RP5-832C2.5
ENSG00000274481.1	ENSG000002744811	RP11-345P4.11
ENSG00000228594.3	ENSG000002285943	FNDC10
ENSG00000272106.1	ENSG000002721061	RP11-345P4.9
ENSG00000197530.12	ENSG0000019753012	MIB2
ENSG00000189409.13	ENSG0000018940913	MMP23B
ENSG00000248333.8	ENSG000002483338	CDK11B
ENSG00000272004.1	ENSG000002720041	RP11-345P4.10
ENSG00000189339.11	ENSG0000018933911	SLC35E2B
ENSG00000269737.2	ENSG000002697372	RP11-345P4.6
ENSG00000215914.4	ENSG000002159144	MMP23A
ENSG00000008128.22	ENSG0000000812822	CDK11A
ENSG00000268575.1	ENSG000002685751	RP1-283E3.8
ENSG00000227775.3	ENSG000002277753	RP1-283E3.4
ENSG00000215790.6	ENSG000002157906	SLC35E2
ENSG00000008130.15	ENSG0000000813015	NADK
ENSG00000078369.17	ENSG0000007836917	GNB1
ENSG00000231050.1	ENSG000002310501	RP1-140A9.1
ENSG00000169885.9	ENSG000001698859	CALML6
ENSG00000178821.12	ENSG0000017882112	TMEM52
ENSG00000142609.17	ENSG0000014260917	CFAP74
ENSG00000233542.1	ENSG000002335421	RP11-547D24.1
ENSG00000187730.8	ENSG000001877308	GABRD
ENSG00000226969.1	ENSG000002269691	RP11-547D24.3
ENSG00000067606.16	ENSG0000006760616	PRKCZ
ENSG00000271806.1	ENSG000002718061	RP5-892K4.1
ENSG00000182873.5	ENSG000001828735	PRKCZ-AS1
ENSG00000162585.16	ENSG0000016258516	FAAP20
ENSG00000234396.3	ENSG000002343963	RP11-181G12.4
ENSG00000157933.9	ENSG000001579339	SKI
ENSG00000116151.13	ENSG0000011615113	MORN1
ENSG00000272161.1	ENSG000002721611	RP4-713A8.1
ENSG00000269896.2	ENSG000002698962	RP4-740C4.5
ENSG00000272420.1	ENSG000002724201	RP4-740C4.7
ENSG00000157916.19	ENSG0000015791619	RER1
ENSG00000157911.9	ENSG000001579119	PEX10
ENSG00000149527.17	ENSG0000014952717	PLCH2
ENSG00000224387.1	ENSG000002243871	RP3-395M20.2
ENSG00000229393.1	ENSG000002293931	RP3-395M20.3
ENSG00000157881.13	ENSG0000015788113	PANK4
ENSG00000197921.5	ENSG000001979215	HES5
ENSG00000272449.1	ENSG000002724491	RP3-395M20.12
ENSG00000238164.6	ENSG000002381646	RP3-395M20.8
ENSG00000157873.17	ENSG0000015787317	TNFRSF14
ENSG00000225931.3	ENSG000002259313	RP3-395M20.7
ENSG00000228037.1	ENSG000002280371	RP3-395M20.9
ENSG00000157870.14	ENSG0000015787014	FAM213B
ENSG00000142606.15	ENSG0000014260615	MMEL1
ENSG00000237058.1	ENSG000002370581	RP13-436F16.1
ENSG00000215912.12	ENSG0000021591212	TTC34
ENSG00000283259.1	ENSG000002832591	ABC14-1188822O7.1
ENSG00000233234.1	ENSG000002332341	RP11-740P5.2
ENSG00000231630.1	ENSG000002316301	RP11-740P5.3
ENSG00000169717.6	ENSG000001697176	ACTRT2
ENSG00000177133.10	ENSG0000017713310	LINC00982
ENSG00000142611.16	ENSG0000014261116	PRDM16
ENSG00000283572.1	ENSG000002835721	MIR4251
ENSG00000226286.1	ENSG000002262861	RP1-163G9.2
ENSG00000279839.1	ENSG000002798391	RP11-193J6.1
ENSG00000272235.1	ENSG000002722351	RP11-22L13.1
ENSG00000130762.14	ENSG0000013076214	ARHGEF16
ENSG00000272088.1	ENSG000002720881	RP11-168F9.2
ENSG00000162591.15	ENSG0000016259115	MEGF6
ENSG00000207776.1	ENSG000002077761	MIR551A
ENSG00000238260.1	ENSG000002382601	RP11-46F15.2
ENSG00000158109.14	ENSG0000015810914	TPRG1L
ENSG00000116213.15	ENSG0000011621315	WRAP73
ENSG00000078900.14	ENSG0000007890014	TP73
ENSG00000227589.1	ENSG000002275891	RP5-1092A11.5
ENSG00000235131.1	ENSG000002351311	RP5-1092A11.2
ENSG00000227372.11	ENSG0000022737211	TP73-AS1
ENSG00000276189.1	ENSG000002761891	TP73-AS1
ENSG00000162592.9	ENSG000001625929	CCDC27
ENSG00000235169.7	ENSG000002351697	SMIM1
ENSG00000130764.9	ENSG000001307649	LRRC47
ENSG00000266075.2	ENSG000002660752	RN7SL574P
ENSG00000272153.1	ENSG000002721531	RP1-286D6.5
ENSG00000116198.12	ENSG0000011619812	CEP104
ENSG00000169598.15	ENSG0000016959815	DFFB
ENSG00000198912.10	ENSG0000019891210	C1orf174
ENSG00000236423.5	ENSG000002364235	LINC01134
ENSG00000233304.6	ENSG000002333046	LINC01346
ENSG00000226374.2	ENSG000002263742	LINC01345
ENSG00000229280.1	ENSG000002292801	EEF1DP6
ENSG00000235054.3	ENSG000002350543	LINC01777
ENSG00000227169.2	ENSG000002271692	RP1-37J18.1
ENSG00000232596.2	ENSG000002325962	LINC01646
ENSG00000196581.10	ENSG0000019658110	AJAP1
ENSG00000231510.1	ENSG000002315101	RP11-542C10.1
ENSG00000260972.1	ENSG000002609721	RP1-58B11.1
ENSG00000283356.1	ENSG000002833561	RP3-491M17.1
ENSG00000236948.2	ENSG000002369482	RP11-154H17.1
ENSG00000264341.1	ENSG000002643411	MIR4417
ENSG00000264101.1	ENSG000002641011	MIR4689
ENSG00000131697.17	ENSG0000013169717	NPHP4
ENSG00000069424.14	ENSG0000006942414	KCNAB2
ENSG00000116254.17	ENSG0000011625417	CHD5
ENSG00000116251.9	ENSG000001162519	RPL22
ENSG00000226944.1	ENSG000002269441	RP1-120G22.11
ENSG00000158286.12	ENSG0000015828612	RNF207
ENSG00000116237.15	ENSG0000011623715	ICMT
ENSG00000225077.2	ENSG000002250772	LINC00337
ENSG00000173673.7	ENSG000001736737	HES3
ENSG00000158292.6	ENSG000001582926	GPR153
ENSG00000097021.19	ENSG0000009702119	ACOT7
ENSG00000271746.1	ENSG000002717461	RP1-202O8.3
ENSG00000069812.11	ENSG0000006981211	HES2
ENSG00000187017.15	ENSG0000018701715	ESPN
ENSG00000265392.1	ENSG000002653921	MIR4252
ENSG00000231868.1	ENSG000002318681	RP1-202O8.2
ENSG00000215788.9	ENSG000002157889	TNFRSF25
ENSG00000171680.21	ENSG0000017168021	PLEKHG5
ENSG00000162408.10	ENSG0000016240810	NOL9
ENSG00000253022.1	ENSG000002530221	RNU6-731P
ENSG00000229519.2	ENSG000002295192	RP11-58A11.2
ENSG00000173662.20	ENSG0000017366220	TAS1R1
ENSG00000204859.12	ENSG0000020485912	ZBTB48
ENSG00000162413.16	ENSG0000016241316	KLHL21
ENSG00000116273.5	ENSG000001162735	PHF13
ENSG00000041988.15	ENSG0000004198815	THAP3
ENSG00000007923.15	ENSG0000000792315	DNAJC11
ENSG00000228750.6	ENSG000002287506	LINC01672
ENSG00000237436.1	ENSG000002374361	RP11-312B8.1
ENSG00000171735.18	ENSG0000017173518	CAMTA1
ENSG00000227950.1	ENSG000002279501	RP11-312B8.2
ENSG00000237365.1	ENSG000002373651	RP11-334N17.1
ENSG00000207056.1	ENSG000002070561	RNU1-8P
ENSG00000237402.1	ENSG000002374021	CAMTA1-IT1
ENSG00000237728.2	ENSG000002377282	RP3-453P22.2
ENSG00000225126.1	ENSG000002251261	RP4-549F15.1
ENSG00000270171.1	ENSG000002701711	RP11-338N10.1
ENSG00000270035.1	ENSG000002700351	RP11-338N10.2
ENSG00000269978.1	ENSG000002699781	RP11-338N10.3
ENSG00000049245.12	ENSG0000004924512	VAMP3
ENSG00000269925.1	ENSG000002699251	RP3-467L1.6
ENSG00000049246.14	ENSG0000004924614	PER3
ENSG00000236266.1	ENSG000002362661	RP3-467L1.4
ENSG00000049247.13	ENSG0000004924713	UTS2
ENSG00000049249.8	ENSG000000492498	TNFRSF9
ENSG00000270330.1	ENSG000002703301	RP5-892F13.2
ENSG00000116288.12	ENSG0000011628812	PARK7
ENSG00000200344.1	ENSG000002003441	Y_RNA
ENSG00000116285.12	ENSG0000011628512	ERRFI1
ENSG00000238290.1	ENSG000002382901	RP11-431K24.1
ENSG00000232848.1	ENSG000002328481	CTA-215D11.4
ENSG00000229305.1	ENSG000002293051	RP11-431K24.2
ENSG00000227634.2	ENSG000002276342	LINC01714
ENSG00000200975.1	ENSG000002009751	RNU1-7P
ENSG00000233645.1	ENSG000002336451	RP11-431K24.4
ENSG00000251977.1	ENSG000002519771	RNU6-991P
ENSG00000162426.14	ENSG0000016242614	SLC45A1
ENSG00000252254.1	ENSG000002522541	Y_RNA
ENSG00000142599.17	ENSG0000014259917	RERE
ENSG00000232912.5	ENSG000002329125	RP5-1115A15.1
ENSG00000221083.1	ENSG000002210831	SNORA77
ENSG00000270282.1	ENSG000002702821	RP5-1115A15.2
ENSG00000234619.1	ENSG000002346191	RPL7P11
ENSG00000224315.2	ENSG000002243152	RPL7P7
ENSG00000222511.2	ENSG000002225112	Y_RNA
ENSG00000226545.1	ENSG000002265451	RP4-633I8.3
ENSG00000228423.2	ENSG000002284232	RP4-633I8.4
ENSG00000229716.2	ENSG000002297162	RPL23AP19
ENSG00000074800.13	ENSG0000007480013	ENO1
ENSG00000274258.1	ENSG000002742581	MIR6728
ENSG00000236269.1	ENSG000002362691	ENO1-IT1
ENSG00000230679.1	ENSG000002306791	ENO1-AS1
ENSG00000201725.1	ENSG000002017251	RNU6-304P
ENSG00000238249.2	ENSG000002382492	HMGN2P17
ENSG00000232208.2	ENSG000002322082	RP3-477M7.5
ENSG00000232663.2	ENSG000002326632	RP3-477M7.6
ENSG00000131686.14	ENSG0000013168614	CA6
ENSG00000265141.2	ENSG000002651412	RN7SL451P
ENSG00000197241.3	ENSG000001972413	SLC2A7
ENSG00000142583.17	ENSG0000014258317	SLC2A5
ENSG00000252404.1	ENSG000002524041	SCARNA16
ENSG00000180758.11	ENSG0000018075811	GPR157
ENSG00000228526.6	ENSG000002285266	MIR34AHG
ENSG00000284357.1	ENSG000002843571	MIR34A
ENSG00000234546.3	ENSG000002345463	LINC01759
ENSG00000281937.1	ENSG000002819371	RP3-510D11.4
ENSG00000049239.12	ENSG0000004923912	H6PD
ENSG00000171621.13	ENSG0000017162113	SPSB1
ENSG00000252956.1	ENSG000002529561	RNA5SP40
ENSG00000235263.1	ENSG000002352631	RP13-392I16.1
ENSG00000171612.6	ENSG000001716126	SLC25A33
ENSG00000231181.1	ENSG000002311811	RP13-15M17.1
ENSG00000188807.12	ENSG0000018880712	TMEM201
ENSG00000171608.15	ENSG0000017160815	PIK3CD
ENSG00000179840.5	ENSG000001798405	PIK3CD-AS1
ENSG00000233268.3	ENSG000002332683	RP11-558F24.2
ENSG00000231789.2	ENSG000002317892	PIK3CD-AS2
ENSG00000171603.16	ENSG0000017160316	CLSTN1
ENSG00000271264.1	ENSG000002712641	MZT1P1
ENSG00000280113.2	ENSG000002801132	RP11-84A14.7
ENSG00000178585.14	ENSG0000017858514	CTNNBIP1
ENSG00000223989.1	ENSG000002239891	RP11-84A14.5
ENSG00000162441.11	ENSG0000016244111	LZIC
ENSG00000228150.1	ENSG000002281501	RP11-84A14.4
ENSG00000173614.13	ENSG0000017361413	NMNAT1
ENSG00000202415.1	ENSG000002024151	RN7SKP269
ENSG00000283611.1	ENSG000002836111	RP11-84A14.6
ENSG00000265521.1	ENSG000002655211	MIR5697
ENSG00000241326.1	ENSG000002413261	RP11-807G9.2
ENSG00000162444.11	ENSG0000016244411	RBP7
ENSG00000130939.18	ENSG0000013093918	UBE4B
ENSG00000224340.1	ENSG000002243401	RP11-496H15.2
ENSG00000233623.2	ENSG000002336232	PGAM1P11
ENSG00000201746.1	ENSG000002017461	RNU6-828P
ENSG00000054523.17	ENSG0000005452317	KIF1B
ENSG00000264881.1	ENSG000002648811	MIR1273D
ENSG00000199562.1	ENSG000001995621	RNU6-37P
ENSG00000264501.2	ENSG000002645012	RN7SL731P
ENSG00000142657.20	ENSG0000014265720	PGD
ENSG00000271989.1	ENSG000002719891	RP4-736L20.3
ENSG00000251503.8	ENSG000002515038	APITD1-CORT
ENSG00000175279.21	ENSG0000017527921	CENPS
ENSG00000241563.3	ENSG000002415633	CORT
ENSG00000160049.11	ENSG0000016004911	DFFA
ENSG00000203469.2	ENSG000002034692	RP5-1113E3.3
ENSG00000142655.12	ENSG0000014265512	PEX14
ENSG00000243267.3	ENSG000002432673	RN7SL614P
ENSG00000130940.14	ENSG0000013094014	CASZ1
ENSG00000272078.1	ENSG000002720781	RP4-734G22.3
ENSG00000225158.2	ENSG000002251582	HSPE1P24
ENSG00000175262.14	ENSG0000017526214	C1orf127
ENSG00000215785.2	ENSG000002157852	CFL1P6
ENSG00000120948.16	ENSG0000012094816	TARDBP
ENSG00000277726.4	ENSG000002777264	RP4-635E18.9
ENSG00000009724.16	ENSG0000000972416	MASP2
ENSG00000271895.2	ENSG000002718952	RP4-635E18.8
ENSG00000116649.9	ENSG000001166499	SRM
ENSG00000171824.13	ENSG0000017182413	EXOSC10
ENSG00000226849.1	ENSG000002268491	RP4-635E18.7
ENSG00000230337.1	ENSG000002303371	RP4-635E18.6
ENSG00000198793.12	ENSG0000019879312	MTOR
ENSG00000225602.5	ENSG000002256025	MTOR-AS1
ENSG00000253086.1	ENSG000002530861	RNU6-537P
ENSG00000171819.4	ENSG000001718194	ANGPTL7
ENSG00000207451.1	ENSG000002074511	RNU6-291P
ENSG00000238173.1	ENSG000002381731	RPL39P6
ENSG00000120942.13	ENSG0000012094213	UBIAD1
ENSG00000238199.1	ENSG000002381991	UBE2V2P3
ENSG00000224338.2	ENSG000002243382	MTCYBP45
ENSG00000204624.7	ENSG000002046247	DISP3
ENSG00000235643.1	ENSG000002356431	LINC01647
ENSG00000116661.9	ENSG000001166619	FBXO2
ENSG00000132879.13	ENSG0000013287913	FBXO44
ENSG00000116663.10	ENSG0000011666310	FBXO6
ENSG00000116670.14	ENSG0000011667014	MAD2L2
ENSG00000162490.6	ENSG000001624906	DRAXIN
ENSG00000177674.15	ENSG0000017767415	AGTRAP
ENSG00000215910.7	ENSG000002159107	C1orf167
ENSG00000177553.6	ENSG000001775536	RP11-56N19.5
ENSG00000177000.10	ENSG0000017700010	MTHFR
ENSG00000011021.21	ENSG0000001102121	CLCN6
ENSG00000242349.5	ENSG000002423495	NPPA-AS1
ENSG00000276470.1	ENSG000002764701	NPPA-AS1_1
ENSG00000278852.1	ENSG000002788521	NPPA-AS1_2
ENSG00000175206.10	ENSG0000017520610	NPPA
ENSG00000275915.1	ENSG000002759151	NPPA-AS1_3
ENSG00000120937.8	ENSG000001209378	NPPB
ENSG00000224904.1	ENSG000002249041	RP5-934G17.6
ENSG00000199347.1	ENSG000001993471	RNU5E-1
ENSG00000201801.1	ENSG000002018011	RNU5E-4P
ENSG00000116685.15	ENSG0000011668515	KIAA2013
ENSG00000083444.16	ENSG0000008344416	PLOD1
ENSG00000116688.16	ENSG0000011668816	MFN2
ENSG00000270914.1	ENSG000002709141	RP5-1077B9.5
ENSG00000116691.10	ENSG0000011669110	MIIP
ENSG00000202461.1	ENSG000002024611	Y_RNA
ENSG00000276869.1	ENSG000002768691	MIR6729
ENSG00000243539.3	ENSG000002435393	RN7SL649P
ENSG00000120949.14	ENSG0000012094914	TNFRSF8
ENSG00000201135.1	ENSG000002011351	RNU6-777P
ENSG00000227875.2	ENSG000002278752	RPL23AP89
ENSG00000283789.1	ENSG000002837891	MIR7846
ENSG00000028137.18	ENSG0000002813718	TNFRSF1B
ENSG00000263676.1	ENSG000002636761	MIR4632
ENSG00000225196.2	ENSG000002251962	RPL10P17
ENSG00000252969.1	ENSG000002529691	SNORA70
ENSG00000048707.13	ENSG0000004870713	VPS13D
ENSG00000239149.1	ENSG000002391491	SNORA59A
ENSG00000229484.1	ENSG000002294841	RP5-888M10.2
ENSG00000162496.8	ENSG000001624968	DHRS3
ENSG00000221340.1	ENSG000002213401	RNU6ATAC18P
ENSG00000276830.1	ENSG000002768301	MIR6730
ENSG00000272482.1	ENSG000002724821	RP11-474O21.5
ENSG00000204518.2	ENSG000002045182	AADACL4
ENSG00000226166.2	ENSG000002261662	RP11-474O21.2
ENSG00000188984.11	ENSG0000018898411	AADACL3
ENSG00000157330.9	ENSG000001573309	C1orf158
ENSG00000116726.4	ENSG000001167264	PRAMEF12
ENSG00000116721.9	ENSG000001167219	PRAMEF1
ENSG00000228338.1	ENSG000002283381	LINC01784
ENSG00000239810.3	ENSG000002398103	PRAMEF11
ENSG00000231103.2	ENSG000002311032	PRAMEF30P
ENSG00000179172.9	ENSG000001791729	HNRNPCL1
ENSG00000120952.4	ENSG000001209524	PRAMEF2
ENSG00000243073.3	ENSG000002430733	PRAMEF4
ENSG00000187545.5	ENSG000001875455	PRAMEF10
ENSG00000204510.5	ENSG000002045105	PRAMEF7
ENSG00000207434.1	ENSG000002074341	RNU6-1072P
ENSG00000234064.1	ENSG000002340641	PRAMEF29P
ENSG00000232423.6	ENSG000002324236	PRAMEF6
ENSG00000274178.2	ENSG000002741782	PRAMEF28P
ENSG00000274764.5	ENSG000002747645	PRAMEF27
ENSG00000277058.2	ENSG000002770582	HNRNPCL3
ENSG00000229571.7	ENSG000002295717	PRAMEF25
ENSG00000277862.1	ENSG000002778621	PRAMEF34P
ENSG00000236179.1	ENSG000002361791	PRAMEF35P
ENSG00000275774.2	ENSG000002757742	HNRNPCL2
ENSG00000229978.1	ENSG000002299781	PRAMEF36P
ENSG00000233336.1	ENSG000002333361	RP13-221M14.2
ENSG00000280267.4	ENSG000002802674	PRAMEF26
ENSG00000179412.10	ENSG0000017941210	HNRNPCL4
ENSG00000204505.4	ENSG000002045054	PRAMEF9
ENSG00000279169.2	ENSG000002791692	PRAMEF13
ENSG00000279804.2	ENSG000002798042	PRAMEF18
ENSG00000250894.1	ENSG000002508941	PRAMEF31P
ENSG00000270601.4	ENSG000002706014	PRAMEF5
ENSG00000231219.1	ENSG000002312191	PRAMEF32P
ENSG00000207511.1	ENSG000002075111	RNU6-771P
ENSG00000182330.10	ENSG0000018233010	PRAMEF8
ENSG00000237700.2	ENSG000002377002	PRAMEF33
ENSG00000204501.7	ENSG000002045017	PRAMEF15
ENSG00000228229.2	ENSG000002282292	RP11-219C24.10
ENSG00000204481.7	ENSG000002044817	PRAMEF14
ENSG00000204480.7	ENSG000002044807	PRAMEF19
ENSG00000204479.4	ENSG000002044794	PRAMEF17
ENSG00000204478.9	ENSG000002044789	PRAMEF20
ENSG00000162494.5	ENSG000001624945	LRRC38
ENSG00000259961.1	ENSG000002599611	RP4-597A16.2
ENSG00000215909.3	ENSG000002159093	BRWD1P1
ENSG00000162493.16	ENSG0000016249316	PDPN
ENSG00000222952.1	ENSG000002229521	RNA5SP41
ENSG00000237445.2	ENSG000002374452	CTA-520D8.2
ENSG00000253085.1	ENSG000002530851	SCARNA11
ENSG00000116731.22	ENSG0000011673122	PRDM2
ENSG00000189337.16	ENSG0000018933716	KAZN
ENSG00000252151.1	ENSG000002521511	RNU6-1265P
ENSG00000231606.1	ENSG000002316061	RP11-344F13.1
ENSG00000234593.2	ENSG000002345932	RP4-704D23.1
ENSG00000235829.1	ENSG000002358291	TBCAP2
ENSG00000175147.11	ENSG0000017514711	TMEM51-AS1
ENSG00000171729.13	ENSG0000017172913	TMEM51
ENSG00000204464.7	ENSG000002044647	C1orf195
ENSG00000215720.4	ENSG000002157204	RP1-21O18.3
ENSG00000278480.1	ENSG000002784801	RP5-903E17.2
ENSG00000142621.19	ENSG0000014262119	FHAD1
ENSG00000233485.1	ENSG000002334851	RP3-467K16.2
ENSG00000236045.1	ENSG000002360451	RP3-467K16.7
ENSG00000228140.1	ENSG000002281401	RP3-467K16.4
ENSG00000142634.12	ENSG0000014263412	EFHD2
ENSG00000162438.11	ENSG0000016243811	CTRC
ENSG00000142615.7	ENSG000001426157	CELA2A
ENSG00000215704.9	ENSG000002157049	CELA2B
ENSG00000132906.17	ENSG0000013290617	CASP9
ENSG00000116138.12	ENSG0000011613812	DNAJC16
ENSG00000251866.1	ENSG000002518661	SCARNA21
ENSG00000272510.1	ENSG000002725101	RP4-680D5.8
ENSG00000116771.5	ENSG000001167715	AGMAT
ENSG00000237301.1	ENSG000002373011	RP4-680D5.2
ENSG00000235084.3	ENSG000002350843	CHCHD2P6
ENSG00000252417.1	ENSG000002524171	RNU7-179P
ENSG00000236500.1	ENSG000002365001	CD24P1
ENSG00000197312.11	ENSG0000019731211	DDI2
ENSG00000215695.1	ENSG000002156951	RSC1A1
ENSG00000271742.1	ENSG000002717421	RP4-680D5.9
ENSG00000116786.11	ENSG0000011678611	PLEKHM2
ENSG00000237938.5	ENSG000002379385	RP11-288I21.1
ENSG00000162461.7	ENSG000001624617	SLC25A34
ENSG00000224459.1	ENSG000002244591	RP11-169K16.4
ENSG00000162460.6	ENSG000001624606	TMEM82
ENSG00000162458.12	ENSG0000016245812	FBLIM1
ENSG00000224321.1	ENSG000002243211	RPL12P14
ENSG00000233954.6	ENSG000002339546	UQCRHL
ENSG00000178715.8	ENSG000001787158	RP11-169K16.8
