	CD34+	CD56+ NK	CD4+/CD45RA+/CD25- Naive T	CD4+/CD25 T Reg	CD8+/CD45RA+ Naive Cytotoxic	CD4+/CD45RO+ Memory	CD8+ Cytotoxic T	CD19+ B	CD4+ T Helper2	CD14+ Monocyte	Dendritic
ENSG00000188157	    0.20892	    0.22248	    0.46589	    0.23110	    0.44338	    0.06178	    0.60621	    0.49668	    0.12914	    3.2781	    2.443
ENSG00000273443	    0.03482	    0.07416	    0.07765	    0.07703	    0.11085	    0.06178	    0.18186	    0.07095	    0.06457	    1.0927	    2.443
ENSG00000131591	    2.19366	    5.56190	    5.97896	    6.47071	    4.37842	    3.76881	    5.45589	    4.61205	    3.55136	    2.1854	    4.885
ENSG00000223823	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.49668	    0.06457	    0.5464	    2.443
ENSG00000205231	    0.27856	    0.14832	    0.07765	    0.15406	    0.05542	    0.06178	    0.12124	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000162571	    3.30789	    1.11238	    0.31060	    0.77032	    0.05542	    0.43249	    0.24248	    0.78050	    0.12914	    0.5464	    2.443
ENSG00000186891	   21.37944	   61.18090	    2.56241	   65.32334	    0.99761	   45.16393	    3.75850	   12.48801	   27.24864	    1.0927	    2.443
ENSG00000186827	   29.17911	   21.43186	    3.80479	  113.77662	    0.60965	  104.97061	    2.48546	    0.21286	   70.89813	    1.0927	    2.443
ENSG00000078808	   58.18411	  124.95736	   62.81787	   95.44295	   49.88068	   75.80867	   64.13696	   65.42012	   82.06878	   91.2413	   73.282
ENSG00000176022	    8.70498	   24.62068	    5.90131	    5.31522	   11.69425	    8.95865	   11.88171	    3.26391	    4.64906	   17.4834	    4.885
ENSG00000184163	    0.34820	    0.29663	    0.23295	    0.38516	    1.05304	    0.37070	    0.48497	    0.42573	    0.12914	    1.6391	    2.443
ENSG00000260179	    0.13928	    0.44495	    0.38824	    0.61626	    0.55423	    0.49427	    0.54559	    0.85145	    0.45199	    1.0927	    2.443
ENSG00000160087	   32.10398	   53.46840	   63.67201	   66.47883	   44.56008	   49.61236	   43.04087	   48.81675	   64.24740	   43.1621	   58.626
ENSG00000230415	    0.10446	    0.07416	    0.15530	    0.23110	    0.11085	    0.06178	    0.18186	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000162572	    0.73122	    0.07416	    0.31060	    0.61626	    0.60965	    0.30892	    0.48497	    0.63859	    0.25828	    3.8245	    2.443
ENSG00000131584	    8.84426	    6.52596	    9.16256	   12.01703	    7.03872	   11.86248	    7.51700	   12.20419	    9.23355	   26.2251	   12.214
ENSG00000169972	    8.46124	   14.53510	   16.15095	   19.64322	   12.63644	   13.83956	   13.45785	   12.27514	   18.20881	   20.2151	   26.870
ENSG00000127054	   48.67827	   45.16263	   47.52106	   58.46747	   37.13340	   41.82761	   39.46424	   35.69015	   58.95264	   48.6256	   63.511
ENSG00000224051	   10.79418	   13.71935	   25.39115	   38.43909	   14.74251	   20.82113	   11.33612	   17.24196	   30.99372	    6.0099	   17.099
ENSG00000169962	    0.10446	    0.07416	    0.15530	    0.15406	    0.16627	    0.24714	    0.06062	    1.06432	    0.19371	    0.5464	    2.443
ENSG00000107404	    1.28834	    0.96406	    1.32003	    2.46503	    2.05065	    3.70703	    2.42484	    2.34150	    1.09769	   13.1125	    4.885
ENSG00000162576	    0.03482	    0.07416	    0.38824	    0.23110	   12.35932	    0.49427	    7.09265	    0.07095	    0.64570	    0.5464	    2.443
ENSG00000175756	  144.18935	  181.98538	  177.66043	  218.23235	  161.89053	  191.96214	  163.25221	  165.60799	  186.09145	  472.0509	  298.013
ENSG00000221978	   19.95182	   22.98919	   34.08782	   37.12954	   24.99576	   27.37021	   26.85508	   30.58142	   34.48051	   39.3376	    9.771
ENSG00000224870	   16.67875	   24.47236	   31.05952	   30.42774	   21.78123	   20.01794	   16.91324	   22.49260	   32.34969	   13.6589	   21.985
ENSG00000242485	  113.47817	  150.24547	  126.02398	  108.92359	  135.17665	  124.12357	  116.51346	   68.54212	  121.65035	  242.0354	  188.090
ENSG00000272455	    0.17410	    0.14832	    0.15530	    0.15406	    0.27711	    0.24714	    0.06062	    0.07095	    0.12914	    1.0927	    2.443
ENSG00000235098	    2.78559	    0.07416	    0.38824	    0.15406	    0.27711	    0.06178	    0.18186	    1.27718	    0.25828	    3.2781	   46.412
ENSG00000225285	    0.66158	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    4.885
ENSG00000179403	    2.68114	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    1.0927	    4.885
ENSG00000215915	    0.73122	    2.37308	    1.39768	    1.77174	    1.93980	    1.42103	    1.51552	    0.70955	    1.87254	    2.1854	    2.443
ENSG00000160072	    3.09897	    4.15289	    7.84253	    8.08839	    5.32061	    6.05481	    5.45589	    6.38591	    6.90902	   12.0198	   12.214
ENSG00000197785	   10.44598	    7.26755	    7.06604	    8.78168	    5.43145	    7.84654	    7.51700	    6.81164	    8.20042	   15.2979	    4.885
ENSG00000160075	  115.77629	  122.95507	  200.64447	  188.34384	  172.75343	  152.97659	  159.43309	  138.71620	  192.93590	  134.4034	  153.892
ENSG00000215014	    2.26330	   12.01370	    6.67780	    9.32090	    5.04349	    6.54908	    8.48693	    4.96682	    5.94046	    3.8245	    7.328
ENSG00000228594	    1.63654	    0.88990	    0.93179	    1.92581	    0.88677	    1.66816	    1.27304	    0.63859	    1.09769	   10.3807	    2.443
ENSG00000272106	    8.18268	    3.63377	   11.10378	   10.47639	    7.87006	    6.05481	    7.51700	    7.45023	    9.62097	    3.8245	   12.214
ENSG00000197530	   30.50226	  177.09090	   68.64153	   75.72270	   62.12916	   83.16094	   76.07929	   34.12915	   77.74258	   34.9667	   41.526
ENSG00000189409	    1.04460	   38.26587	    1.00943	    2.00284	    2.05065	    1.42103	    6.00147	    0.35477	    1.61426	    1.0927	    4.885
ENSG00000248333	   12.32626	   37.30181	    5.90131	    6.08555	    5.81941	    9.45292	   16.54952	   17.10005	    6.06960	    9.2880	    7.328
ENSG00000272004	    0.24374	    0.37079	    0.31060	    0.38516	    0.38796	    0.24714	    0.24248	    0.42573	    0.25828	    1.0927	    2.443
ENSG00000189339	    3.79537	    6.00685	    5.28012	    4.08271	    4.98807	    6.79621	    6.12272	    5.81828	    5.68218	    5.4636	    4.885
ENSG00000269737	    0.03482	    0.07416	    0.07765	    0.15406	    0.05542	    0.06178	    0.06062	    0.14191	    0.51656	    0.5464	    2.443
ENSG00000008128	   22.21512	   69.85747	   16.92744	   21.02980	   13.19067	   24.71350	   36.61505	   42.28893	   14.78659	   26.2251	   17.099
ENSG00000215790	    1.46244	    2.52139	    1.47533	    1.77174	    1.21931	    1.66816	    2.00049	    2.90914	    2.38910	    1.0927	    2.443
ENSG00000008130	    2.43740	   10.82717	    3.72714	    5.46929	    3.49165	    3.76881	    4.30409	   12.20419	    3.80964	   34.9667	   26.870
ENSG00000078369	   36.14309	   34.78042	   16.61684	   21.56903	   16.62689	   37.25561	   18.61063	   30.36856	   21.24361	   76.4897	   34.198
ENSG00000231050	    0.66158	    0.74159	    0.69884	    0.23110	    0.33254	    0.24714	    0.42435	    0.49668	    0.45199	    1.0927	    2.443
ENSG00000169885	    0.06964	    0.14832	    0.23295	    0.07703	    0.11085	    0.18535	    0.06062	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000178821	    0.17410	    0.14832	    1.00943	    0.84735	    0.83134	    0.74141	    0.54559	    0.07095	    0.71027	    1.0927	    2.443
ENSG00000142609	    0.06964	    0.14832	    0.07765	    0.15406	    0.05542	    0.12357	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000187730	    0.17410	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000067606	    7.66039	    9.19568	    8.61902	   14.71316	    8.70141	   12.04783	    8.72942	    6.52782	   13.17233	    3.2781	    2.443
ENSG00000271806	    0.10446	    0.22248	    0.31060	    0.53923	    1.05304	    0.12357	    0.30310	    0.21286	    0.12914	    0.5464	    2.443
ENSG00000182873	    0.17410	    0.37079	    0.38824	    0.07703	    0.49881	    0.18535	    0.48497	    0.35477	    0.38742	    1.0927	    2.443
ENSG00000162585	  126.98831	  122.06517	  134.79830	  135.65378	  139.83218	  139.07524	  131.72932	  164.54367	  140.44029	  311.9688	  139.236
ENSG00000269554	    0.17410	    0.59327	    0.38824	    0.61626	    0.38796	    0.12357	    0.48497	    0.07095	    0.32285	    0.5464	    2.443
ENSG00000203301	    1.14906	    0.22248	    0.23295	    0.23110	    0.11085	    0.37070	    0.24248	    0.07095	    0.12914	    1.0927	    2.443
ENSG00000157933	    2.64632	    4.44952	    5.20247	    7.39510	    8.36887	   13.46886	    6.06209	    7.02450	    7.16730	    9.2880	    4.885
ENSG00000116151	    2.12402	    1.77981	    1.70827	    1.23252	    1.10846	    0.98854	    1.63677	    1.84482	    1.54969	    1.0927	    2.443
ENSG00000157916	   54.59766	   87.80387	   71.04864	   90.89805	   58.80378	   81.55456	   61.28778	   60.87903	   88.39667	  130.0325	  127.022
ENSG00000157911	   14.34581	    4.67200	    6.60015	    5.54632	    4.71095	    5.00448	    4.12222	    7.02450	    6.65074	    8.1953	    9.771
ENSG00000149527	    0.06964	    4.07873	    1.08708	    2.85019	    0.49881	    1.35924	    1.63677	    1.84482	    0.96855	    0.5464	    2.443
ENSG00000157881	    2.19366	    5.48774	    7.06604	   10.32232	    8.36887	    6.11659	    6.36520	    4.61205	   10.00839	    5.4636	    2.443
ENSG00000197921	    0.06964	    0.07416	    0.07765	    0.15406	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000272449	    3.48199	   56.28643	   43.17273	   56.23354	   31.48025	   37.07026	   36.49381	   33.06483	   35.38450	   66.6553	    9.771
ENSG00000157873	   48.08633	  105.82442	  133.86651	  169.16281	   90.61657	  131.04336	  101.47947	  141.48343	  138.18033	  131.1253	   65.954
ENSG00000225931	    0.03482	    0.22248	    0.07765	    0.07703	    0.05542	    0.18535	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000228037	    0.03482	    0.37079	    3.64949	    6.31664	    3.15911	    5.56054	    3.03105	    4.25727	    4.58449	    1.0927	    4.885
ENSG00000157870	    6.09349	    4.89447	    9.62845	   13.86580	   10.97375	    7.10513	    9.15376	    4.68300	   12.13921	    3.2781	    2.443
ENSG00000142606	    2.29812	    0.22248	    3.64949	    3.38942	    3.32538	    0.74141	    1.87925	    0.14191	    3.03480	    1.6391	    2.443
ENSG00000215912	    0.59194	    0.37079	    0.46589	    0.53923	    0.94219	    0.86497	    0.60621	    0.92241	    0.58113	    0.5464	    2.443
ENSG00000177133	    3.13379	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000142611	    2.26330	    0.81575	    0.15530	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000130762	    0.10446	    0.07416	    0.15530	    0.15406	    0.05542	    0.06178	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000162591	    6.54615	    0.22248	    3.88244	    5.31522	    1.88438	    4.13951	    1.93987	    3.19296	    4.32621	    2.1854	    2.443
ENSG00000238260	    0.17410	    0.44495	    0.15530	    0.23110	    0.16627	    0.18535	    0.12124	    0.14191	    0.32285	    1.0927	    2.443
ENSG00000158109	    4.14357	    9.19568	    6.36720	    4.85303	    6.20737	    8.40259	    6.78955	    5.17968	    5.16562	   11.4735	    9.771
ENSG00000116213	   11.87360	   13.86767	   18.09217	   23.72593	   15.68470	   17.79372	   11.39674	   16.10669	   19.88764	   14.2052	   29.313
ENSG00000078900	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.12357	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000227372	    4.17839	    3.33714	    5.90131	    4.54490	    4.37842	    3.45989	    3.15229	    5.17968	    5.55304	    3.8245	    2.443
ENSG00000235169	   25.90603	    2.00228	    5.28012	    2.00284	    5.54230	    2.71849	    3.57664	    5.17968	    3.42222	    2.1854	    2.443
ENSG00000130764	   23.88648	   21.35770	   28.73005	   31.73728	   22.39088	   23.97210	   21.45982	   20.00919	   29.12118	   21.8542	   26.870
ENSG00000272153	    0.27856	    0.07416	    0.07765	    0.07703	    0.11085	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000116198	    8.98354	   13.57104	    6.05661	    7.54916	    5.32061	    8.95865	    8.85066	   11.70751	    8.00671	    6.5563	    9.771
ENSG00000169598	    4.14357	    5.85853	    6.05661	    6.54774	    3.04826	    3.76881	    4.30409	    3.19296	    5.48847	    1.6391	    2.443
ENSG00000198912	   13.92797	   26.99376	   11.18143	   13.86580	   10.08698	    9.02043	   11.88171	   11.84941	   15.81971	    7.1026	    7.328
ENSG00000236423	    0.41784	    0.66743	    0.15530	    0.15406	    0.05542	    0.06178	    0.24248	    0.56764	    0.06457	    1.0927	    2.443
ENSG00000196581	    0.06964	    0.07416	    0.93179	    0.15406	    0.22169	    0.06178	    0.24248	    0.07095	    0.45199	    0.5464	    2.443
ENSG00000131697	    1.04460	    1.03822	    0.62119	    0.69329	    0.99761	    1.54459	    0.36373	    0.70955	    0.45199	    3.8245	    2.443
ENSG00000069424	   27.29883	   52.35602	   31.68071	   44.75573	   27.32353	   37.00847	   32.37159	   15.61001	   39.45242	   82.4996	   29.313
ENSG00000116254	    0.13928	    0.14832	    0.15530	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000116251	  878.08914	  617.96420	 1556.54761	  989.32510	 1623.11741	 1249.57655	 1122.21498	  879.19820	 1196.80953	  573.6730	  696.178
ENSG00000226944	    0.06964	    0.07416	    0.07765	    0.61626	    0.11085	    0.30892	    0.12124	    0.14191	    0.06457	    1.0927	    2.443
ENSG00000158286	    0.10446	    0.14832	    0.07765	    0.61626	    0.05542	    1.91530	    0.06062	    0.56764	    0.64570	    1.6391	    4.885
ENSG00000116237	    5.84975	    9.71479	    4.27068	    7.54916	    4.48926	    5.74589	    5.63775	    3.97346	    6.97359	    9.2880	   12.214
ENSG00000225077	    0.06964	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000158292	    0.03482	    1.48317	    0.07765	    0.07703	    0.05542	    0.12357	    0.12124	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000097021	   11.62986	   18.98462	    2.01887	    6.93290	    1.38557	    7.90832	    3.09167	    1.41909	    5.68218	    2.1854	   24.427
ENSG00000271746	    1.88028	    3.26298	    3.96009	    3.31239	    2.71573	    2.16243	    3.27353	    3.12200	    2.71195	    3.2781	    4.885
ENSG00000069812	    0.17410	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000187017	    0.06964	    0.37079	    0.46589	    3.54348	    0.44338	    2.34778	    1.93987	    0.07095	    1.67883	    0.5464	    2.443
ENSG00000215788	    1.53208	    9.26983	   52.10234	   86.81534	   34.86105	   84.45840	   35.88760	    0.35477	   86.07214	    1.0927	    4.885
ENSG00000171680	    0.06964	    0.14832	    1.08708	    1.84877	    0.38796	    1.11211	    0.54559	    0.07095	    1.03312	    0.5464	    2.443
ENSG00000162408	    5.22299	    4.67200	    5.20247	    5.16116	    3.87961	    5.56054	    5.57713	    5.60541	    4.84277	    4.3708	    2.443
ENSG00000204859	   12.08252	   10.23390	   12.19086	   11.32374	    7.81464	    8.40259	    5.94085	    7.94691	   11.42893	   19.6688	   17.099
ENSG00000162413	    4.14357	    4.44952	    6.13425	    8.62761	    4.26757	    7.22870	    4.30409	    3.40582	    6.13417	    7.6490	    4.885
ENSG00000116273	    1.32316	    2.15060	    1.94122	    2.31097	    1.16388	    1.85351	    1.93987	    2.19959	    2.06625	    2.1854	    2.443
ENSG00000041988	   13.78869	   16.61154	   20.73223	   19.64322	   11.91594	   15.38416	   10.36618	   15.82287	   19.82307	    9.2880	   12.214
ENSG00000007923	    6.75507	    7.26755	    7.76488	    6.70181	    5.54230	    5.12805	    4.91030	    6.38591	    6.19874	    8.1953	    7.328
ENSG00000228750	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.21286	    0.06457	    0.5464	    2.443
ENSG00000237436	    1.46244	    1.26070	    1.16473	    0.53923	    0.38796	    0.74141	    0.90931	    2.48341	    0.77484	    2.1854	    4.885
ENSG00000171735	   81.58311	   53.46840	   45.73514	   51.68864	   40.07082	   55.42003	   44.98074	   49.02961	   46.68429	   46.4402	   73.282
ENSG00000269978	    0.03482	    0.07416	    0.07765	    0.30813	    0.05542	    0.06178	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000049245	   21.90174	   22.09928	   13.51089	   18.17961	    8.42429	   13.22172	    9.33563	    9.15314	   16.07799	   42.6157	   26.870
ENSG00000049246	    0.52230	    2.22476	    0.85414	    1.61768	    1.10846	    1.42103	    2.24298	    1.06432	    1.42055	    2.1854	    2.443
ENSG00000236266	    0.10446	    0.14832	    0.07765	    0.23110	    0.11085	    0.12357	    0.06062	    0.28382	    0.06457	    0.5464	    4.885
ENSG00000049247	    0.17410	   15.49916	    0.07765	   10.24529	    0.38796	    1.97708	    2.60670	    0.07095	    2.25996	    1.0927	    2.443
ENSG00000049249	    0.13928	    1.63149	    0.07765	    3.69755	    0.22169	    0.55605	    1.45490	    0.07095	    0.58113	    1.0927	    2.443
ENSG00000116288	  374.59287	  390.66787	  285.12635	  369.75477	  269.96534	  305.70605	  282.85734	  270.90459	  310.97031	  394.4685	  510.531
ENSG00000116285	    0.03482	    0.88990	    0.46589	    0.46219	    0.33254	    0.18535	    0.18186	    0.14191	    0.32285	    0.5464	    2.443
ENSG00000238290	    0.03482	    0.51911	    0.07765	    0.30813	    0.05542	    0.18535	    0.06062	    0.07095	    0.12914	    1.6391	    2.443
ENSG00000162426	    0.03482	    0.59327	    1.08708	    1.77174	    0.99761	    0.49427	    0.66683	    0.92241	    0.71027	    1.0927	    2.443
ENSG00000142599	   27.64703	   11.04964	    5.51306	    6.93290	    4.76638	    9.88540	    7.63824	   23.84074	    5.68218	   23.4933	    7.328
ENSG00000232912	    0.27856	    0.29663	    0.93179	    1.54064	    0.44338	    1.23568	    0.72745	    1.56100	    1.29140	    1.6391	    2.443
ENSG00000074800	  849.91981	  346.69178	  396.70766	  537.91616	  333.14754	  365.63629	  326.44380	  251.53398	  483.37287	  495.5442	 1043.046
ENSG00000230679	    3.34271	    1.70565	    5.43542	    4.93006	    3.93503	    4.20130	    1.69739	    2.34150	    5.10105	    2.7318	    2.443
ENSG00000131686	    0.03482	    0.07416	    7.76488	    0.84735	   20.22939	    0.37070	    9.94184	    0.07095	    2.58281	    0.5464	    2.443
ENSG00000197241	    0.03482	    0.07416	    0.15530	    0.07703	    0.16627	    0.06178	    0.18186	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000142583	   27.02027	    0.07416	    0.31060	    0.07703	    0.05542	    0.06178	    0.06062	    2.90914	    0.12914	    1.0927	    2.443
ENSG00000180758	    0.52230	    0.07416	    0.77649	    1.38658	    0.55423	    0.55605	    0.60621	    0.63859	    0.83941	    1.0927	    4.885
ENSG00000234546	    0.17410	    0.07416	    0.07765	    0.15406	    0.05542	    0.18535	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000049239	    4.42213	    4.96863	    2.71771	    3.69755	    4.15672	    5.12805	    3.45539	    6.38591	    2.58281	   16.9370	    2.443
ENSG00000171621	    0.97496	    0.37079	    1.63062	    4.31381	    0.16627	    4.07773	    0.72745	    0.78050	    2.97023	    1.0927	    2.443
ENSG00000171612	   16.81803	   12.60697	   15.76270	   11.09264	   12.91355	    7.41405	   14.73089	   15.75192	   11.49350	   15.8443	   43.969
ENSG00000188807	    3.48199	    0.88990	    0.77649	    1.38658	    0.44338	    1.11211	    0.66683	    0.92241	    0.96855	    1.6391	    4.885
ENSG00000171608	    8.53088	   28.55109	   44.80335	   27.50051	   37.18882	   28.66766	   29.15868	   18.51915	   36.67590	   30.0495	   14.656
ENSG00000179840	    0.20892	    0.66743	    1.16473	    0.77032	    1.71811	    0.43249	    1.21242	    1.49005	    0.83941	    2.7318	    2.443
ENSG00000231789	    8.46124	    0.74159	    0.85414	    1.07845	    2.66030	    1.17389	    1.69739	    1.56100	    1.03312	    1.0927	    2.443
ENSG00000171603	   26.63725	   23.21166	   15.21916	   23.34077	   13.19067	   23.23069	   23.64217	   21.42828	   21.37275	    9.2880	    7.328
ENSG00000178585	   30.81564	   54.06167	   14.52032	   13.24955	    9.42191	   11.55356	   11.94233	   10.85605	   16.65912	   60.0991	   92.824
ENSG00000162441	   26.25423	   25.58474	   21.43107	   23.80296	   19.61974	   19.02940	   22.06602	   15.82287	   22.98701	   16.3907	   26.870
ENSG00000173614	    6.26759	    4.15289	    4.50363	    3.77458	    2.21692	    3.08919	    3.21291	    4.32823	    3.22851	    2.7318	    4.885
ENSG00000162444	    1.14906	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.14191	    0.12914	  221.2739	    2.443
ENSG00000130939	   10.09778	    9.64063	   11.88026	   16.63896	    9.80987	   13.71599	   11.27550	   12.48801	   12.20378	    8.7417	    7.328
ENSG00000054523	    3.30789	    4.52368	    0.69884	    1.61768	    0.72050	    2.90384	    2.18235	    1.77386	    1.29140	    2.1854	    2.443
ENSG00000142657	   87.04984	   16.31491	   17.16038	   17.94851	   15.35217	   14.02491	   12.12419	   14.82951	   18.98365	  143.1451	   56.183
ENSG00000271989	    0.17410	    0.07416	    0.31060	    0.15406	    0.11085	    0.06178	    0.12124	    0.21286	    0.12914	    0.5464	    2.443
ENSG00000175279	    7.55593	    4.44952	    4.34833	    4.69897	    3.49165	    4.75735	    2.97043	    8.23073	    4.64906	    2.7318	    4.885
ENSG00000251503	    0.20892	    0.22248	    0.54354	    0.30813	    0.05542	    0.24714	    0.06062	    0.14191	    0.25828	    0.5464	    2.443
ENSG00000241563	    0.10446	    0.07416	    0.07765	    0.07703	    0.11085	    0.06178	    0.06062	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000160049	   27.22919	   18.09472	   15.37446	   16.79303	   14.85336	   12.72745	   17.15573	   17.02910	   16.07799	   19.6688	   14.656
ENSG00000142655	    5.57119	    8.15745	    7.22134	    9.08980	    6.42907	    5.37519	    6.12272	    4.82491	    7.68386	    4.3708	    7.328
ENSG00000130940	    0.52230	    2.29892	    0.31060	    0.84735	    0.38796	    0.92676	    0.48497	    1.63196	    0.32285	    2.1854	    2.443
ENSG00000175262	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.12357	    0.06062	    0.07095	    0.06457	    1.0927	    4.885
ENSG00000120948	   29.49249	   24.69484	   25.00291	   26.34503	   16.62689	   16.43448	   20.18678	   22.42165	   26.60294	   17.4834	   19.542
ENSG00000009724	    0.06964	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000271895	    1.70618	    1.26070	    2.56241	    1.46361	    1.21931	    1.42103	    1.21242	    2.41246	    1.80797	    2.7318	    2.443
ENSG00000116649	  118.42260	   74.23283	  113.44488	  124.17598	  116.99791	  104.97061	  107.42032	   97.20777	  123.26460	   99.9830	  136.793
ENSG00000171824	   14.48509	   14.46094	   12.65675	   12.24813	    8.92310	    9.08221	   10.00246	   13.05564	   13.30147	    8.1953	   14.656
ENSG00000226849	    0.27856	    0.07416	    0.15530	    0.15406	    0.22169	    0.06178	    0.12124	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000230337	    0.66158	    0.22248	    0.54354	    0.15406	    0.22169	    0.18535	    0.42435	    0.42573	    0.19371	    2.7318	    4.885
ENSG00000198793	    4.35249	    3.70793	    2.25181	    3.00426	    3.99045	    4.13951	    2.30360	    4.32823	    1.42055	    7.6490	    4.885
ENSG00000120942	   10.30670	   11.64291	   35.01960	   26.73019	   21.94750	   18.96761	   14.73089	   20.22206	   32.02684	    6.0099	    9.771
ENSG00000204624	    0.10446	    0.07416	    0.23295	    0.15406	    0.05542	    0.18535	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000116661	    0.06964	   12.31034	    6.13425	    8.39651	    4.60011	    4.75735	    6.42582	    7.66309	    6.06960	    1.0927	    2.443
ENSG00000132879	    4.87479	   19.87452	   25.00291	   24.72735	   14.85336	   16.00199	   16.18579	   22.70547	   20.98533	    4.3708	   19.542
ENSG00000116663	    7.31219	   43.67946	    6.52250	   10.32232	    4.82180	    6.67265	   11.57860	   12.27514	    8.26499	   33.8740	   41.526
ENSG00000116670	   28.65681	   62.88655	   34.70901	   51.14941	   32.53329	   37.68809	   35.64512	   32.28433	   42.81007	   62.8309	   48.855
