species	organ	plate	cell	ABratio	cleanReads	mpRatio	genes	nUMI	mito	ercc_ratio	avg_cor	filter	CO
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell33	0.834386713125295	867313	0.8746	7659	74498	0.0744315283631775	0.00236772380791875	0.774426477807133	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell34	0.861979612748106	952588	0.8613	7535	67705	0.0945425005538734	0.00286885402948814	0.767813203772859	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell35	0.916777577816227	720944	0.868	7925	74846	0.0735777463057478	0.00125492918494686	0.769747452542233	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell37	0.887021289900573	1016622	0.8559	8706	104687	0.119250718809403	0.00117138679650442	0.785936794063309	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell38	0.87702803924535	545030	0.8602	7567	61094	0.0818738337643631	0.00183820224719101	0.763650223501035	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell39	0.89746414597784	726116	0.8689	7589	72285	0.0796430794770699	0.00248152623041647	0.77082694157501	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell40	0.850917392851428	408564	0.8682	6842	52976	0.0797719722138327	0.00210780598711633	0.756279389609361	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell41	0.83885140159679	2208276	0.8833	9760	194770	0.0648816552857216	0.00381046019509253	0.800564711861402	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell42	0.809740087237452	106702	0.85	6000	39053	0.056205669218754	0.135061438630402	0.730348724795868	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell43	0.903074447569798	83267	0.8694	5744	35364	0.050446782038231	0.0516537629098093	0.721022528099044	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell45	0.880023357305305	1140007	0.874	8463	96316	0.0755430042775863	0.00489575170671051	0.787946126109325	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell46	0.88499156138675	1174486	0.8837	9020	134262	0.0579538514248261	0.00311235321099055	0.800649358477093	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell47	0.89276509983324	112921	0.8643	6354	49036	0.0508809853984828	0.0709689914140001	0.743420187575957	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell48	0.849562006805184	53527	0.8266	4843	23679	0.0507200472992947	0.107513932180977	0.674897222691841	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell49	0.864446178354303	119870	0.8688	6478	52076	0.0483908134265305	0.00433018686577432	0.748196787773826	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell50	0.803510845118744	95704	0.786	5553	31745	0.0555993069774768	0.157721932838302	0.710470443267221	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell51	0.928500053854163	3651262	0.8826	10309	192620	0.0661094382722459	0.00402836652276388	0.796171919415394	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell53	0.907669216935009	1874201	0.8776	9083	125904	0.0805613800991231	0.00460413706368757	0.792744788780403	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell54	0.884814669926135	1897993	0.891	9730	182796	0.0499792117989453	0.0024436929830748	0.802647701698286	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell55	0.917379859716151	3558072	0.8783	11437	377845	0.0591141870343659	0.00147946556589558	0.791336711487189	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell56	0.893621298265823	1411830	0.8788	9023	146117	0.0505074700411314	0.00589511281837442	0.787888307047053	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell57	0.857188161386771	1444555	0.89	8951	129094	0.0576711543526423	0.00558769536821011	0.785867019485507	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell58	0.867118304147963	2899918	0.8693	9816	177389	0.0789225938474201	0.00393682070033705	0.799681982382879	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell59	0.805575059682629	196087	0.8436	6461	47492	0.0563252758359303	0.0783175430787817	0.738527311483491	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell61	0.776028133950476	216048	0.8389	6851	50076	0.0642623212716671	0.0188933795338057	0.739073484354602	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell62	0.864888754492272	84179	0.8727	6021	37499	0.0459745593215819	0.0641241167084568	0.728089349259487	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell63	0.90838774221465	2177770	0.8796	9973	197664	0.0564392099724785	0.00283022084190684	0.798302094945479	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell64	0.856420447201758	59525	0.8302	4962	25991	0.0511330845292601	0.0988172453262114	0.686012379423588	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell65	0.838588912404596	1144398	0.8779	8908	118285	0.073238364965972	0.00459465554177472	0.794466662020469	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell66	0.843328737560203	1396288	0.8482	8915	109999	0.0738643078573442	0.00453847178439817	0.789804767740078	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell67	0.908466666279212	1430999	0.8761	8831	103925	0.0949338465239355	0.00386309992792348	0.792183342203877	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell69	0.88180455226932	1398554	0.8732	9332	131359	0.0872037698216338	0.00155977153274528	0.79424242273817	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell70	0.869486057503533	876450	0.8769	8594	98619	0.0568855899978706	0.00325739580641059	0.793111530258735	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell71	0.895221939660574	1403359	0.8721	9081	137517	0.0614178610644502	0.00267223346250129	0.793035418165335	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell72	0.850882155510205	794106	0.8751	8538	114436	0.06708553252473	0.00216807234546831	0.789197793455865	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell73	0.847506941862437	1898194	0.8842	9621	193873	0.065047737436363	0.00365122196833255	0.80187363841997	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell74	0.856183438041449	2519759	0.8897	10234	213501	0.0418639725340865	0.00306122878059652	0.798309369562206	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell75	0.902226957456725	1761146	0.8783	9210	131291	0.0665239810801959	0.00686051134678112	0.794489713681464	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell77	0.875656228127149	1449912	0.8771	9382	146316	0.0627204133519232	0.00308080008444163	0.796380246019995	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell78	0.855009473417243	775726	0.8848	8888	115882	0.0563504254327678	0.00366769882909289	0.795403478669859	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell79	0.884782027487555	2802666	0.8825	10936	320036	0.05590933519979	0.00193331738932664	0.796230235034691	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell80	0.837221497679188	1444470	0.8824	9785	213349	0.0556927850610971	0.00264401375151222	0.795405141653376	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell81	0.85221641377242	2206590	0.8726	9520	176162	0.0509587765806474	0.00386347152305516	0.794298052653747	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell82	0.77263959641921	88505	0.8233	5466	31322	0.0566694336249282	0.189903262220825	0.707204236081988	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell83	0.914526661305142	2531243	0.8827	9516	148289	0.0707132693591568	0.00244923244359775	0.800153236372271	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell85	0.889275835540495	2226696	0.8778	9664	159050	0.068531908204967	0.00204294308170807	0.79790164599287	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell86	0.881307421561818	1023692	0.8827	8489	95966	0.0721609736781777	0.00391559814137125	0.785906339993744	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell87	0.903968941065026	2859828	0.8749	10236	221624	0.0581886438291882	0.00227330399170502	0.799050844902724	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell88	0.85266800604843	1267467	0.8834	8797	131656	0.0702436653095947	0.00465262755360269	0.789913823992799	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell89	0.842599030824079	2041260	0.8738	9839	190520	0.0718139827839597	0.001920762036815	0.799969381483257	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell90	0.866476444747003	1839909	0.8742	8945	116910	0.052801300145411	0.00464570611858831	0.785117924675395	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell91	0.892923042314274	2263980	0.8713	10665	217672	0.0723381969201367	0.00119798048589531	0.798552406312839	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell93	0.870109053371279	1661949	0.8684	10149	178550	0.0998319798375805	0.00114308361558295	0.789073037299173	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell94	0.831388627178951	818916	0.8771	8758	105023	0.0621387696028489	0.002631409675401	0.792414448493343	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell95	0.832953414478266	1244411	0.88	8740	141904	0.0451995715413237	0.00416705037296252	0.778903715135364	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell96	0.807308281890873	44426	0.8146	4472	20013	0.0511667416179483	0.091890955296292	0.661363286669037	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell1	0.870942190376846	1811191	0.8603	9359	170753	0.0597881149965154	0.00436122480841156	0.79791037555885	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell2	0.886736444014927	2187100	0.8653	10025	187579	0.0564348887668662	0.003182819143381	0.798762950212215	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell3	0.926019823190804	2033989	0.8713	9210	120140	0.0558431829532212	0.0040379528485066	0.794082301558825	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell5	0.907879673176125	1671363	0.8642	9130	131073	0.0813668718958138	0.00292237296975711	0.796868159993778	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell6	0.899091857250685	1064188	0.8604	8979	119551	0.0685481509983187	0.00270832158845247	0.787942733286715	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell7	0.919041536421824	1487395	0.8572	8438	124909	0.0701710845495521	0.00290962038069938	0.789540276468813	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell8	0.885739404409769	811949	0.8718	8054	86264	0.0719303533339516	0.00153957429220913	0.76710483630454	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell9	0.871989206622869	2514765	0.8627	9874	193448	0.0654904677225921	0.00263429511102818	0.799242136049084	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell10	0.887718954179079	2252810	0.8612	9744	166006	0.0852258352107755	0.00422133541188553	0.797528372831164	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell11	0.924795904737558	2356692	0.8685	9441	132088	0.0794546060202289	0.00446630998965179	0.793790759667648	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell13	0.910757439127782	1403614	0.8675	8868	107182	0.0893993394413241	0.00420962073918639	0.78926768364958	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell14	0.891164694690035	1332118	0.869	8981	134465	0.0773807310452534	0.00283421562356826	0.798670299735104	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell15	0.922022241364959	2089334	0.8678	9452	175936	0.0611813386686068	0.00411971053002419	0.796771872141668	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell16	0.901034898665348	1274904	0.8695	9070	128489	0.0685817462973484	0.00248746148059507	0.783995379683839	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell17	0.855124657340355	1340168	0.8532	8924	130441	0.100704533083923	0.00141973141805898	0.791513972077435	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell18	0.887464668473596	1348579	0.8553	8649	104244	0.0875062353708607	0.00365303696778834	0.789656875668851	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell19	0.922323525119335	1759075	0.8575	9183	119349	0.0934318678832667	0.0023079291612736	0.790014687120862	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell21	0.898191123147727	1044606	0.8563	8327	90612	0.0830684677526155	0.00161540070161258	0.789163896955471	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell22	0.885794955416353	699277	0.8564	8027	83274	0.0697456589091433	0.00220107873954839	0.78414256185778	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell23	0.92372496620368	1028698	0.8576	8346	98252	0.0698713512193136	0.00281003052520469	0.785998852708363	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell24	0.865811420828774	541165	0.8537	7386	73675	0.0768238887003733	0.00196493520932459	0.772731972725575	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell25	0.864870183977674	1839187	0.8649	9090	143677	0.0632251508592189	0.00539623171656232	0.796504818902401	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell26	0.775723891005225	84888	0.8277	5478	31205	0.054991187309726	0.141460660803423	0.705259448834881	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell27	0.922049379306919	2837846	0.8663	10098	187603	0.0740659797551212	0.00332273426775244	0.798285186312116	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell29	0.912240023519312	1888998	0.8664	9155	124786	0.0707771705159233	0.00362280289055059	0.793305682887127	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell30	0.886926304666252	1463981	0.8687	9179	138494	0.0673675393879879	0.00307668405685957	0.800279341276152	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell31	0.901511254019293	125959	0.8398	6342	45695	0.0566801619433198	0.0849251214916196	0.743020400029741	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell32	0.888741702924733	1117164	0.8663	8959	127368	0.0586411029457949	0.00389012782159369	0.794272037846538	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell33	0.857853624126925	1015930	0.8499	8099	92556	0.0840464151432646	0.0025728150599998	0.782245259957069	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell34	0.867104533699827	1184240	0.8472	8633	98211	0.0871083687163352	0.00226546457770816	0.786735339130341	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell35	0.903892687475025	733708	0.8421	8103	89000	0.0980449438202247	0.00211049564413379	0.779277593550522	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell37	0.888705330290689	1097035	0.8484	8845	108510	0.0926642705741406	0.00164161216236176	0.7831131593616	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell38	0.883447346600332	541184	0.857	7561	64383	0.0736840470310486	0.00251252862876709	0.772846006431581	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell39	0.90466994817368	989438	0.8565	8227	100110	0.0618419738287883	0.0017184283762775	0.784965217487712	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell40	0.86245716075548	429606	0.8416	7433	62098	0.0868949080485684	0.00236263895742025	0.763473323296425	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell41	0.770104592871967	2030176	0.8677	9497	178878	0.0673923008978186	0.00292211643178314	0.800420270530397	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell42	0.838635311199884	2078712	0.8569	9148	132117	0.0889968739829091	0.00470382864287231	0.792548268040577	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell43	0.910950100362714	116929	0.8455	6228	45637	0.0578697109801258	0.0946526048015263	0.735526058428981	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell45	0.882598214867418	106991	0.8366	6027	39618	0.0615629259427533	0.0666011304988941	0.730263257807002	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell46	0.876371653796592	1033141	0.867	8649	104619	0.0683049924009979	0.00371711534995424	0.791378520925996	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell47	0.906092915905583	72052	0.8268	5130	28349	0.0524886239373523	0.116970026102342	0.690135617579321	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell48	0.847020587229076	953702	0.8649	8467	102981	0.0566706479836086	0.00331080866723771	0.786295561776888	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell49	0.858274821645095	2196009	0.8716	9224	154696	0.0607901949630243	0.0034726876767659	0.798364655284353	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell50	0.886216327437788	1604649	0.8637	8515	94576	0.0694679411267129	0.00872629889462851	0.782331294883547	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell51	0.920731609562413	3083199	0.8531	12097	411936	0.0644493319350579	0.000702798444782814	0.790523445324503	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell53	0.917040292952551	1722500	0.8637	8954	111726	0.0732595814761112	0.00694033241020606	0.791439803516733	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell54	0.901378615685957	2725916	0.8715	10623	239224	0.0652860916964853	0.00162410787895666	0.79633857293327	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell55	0.922989308257483	2174441	0.864	10226	231609	0.050498901165326	0.00323077017735116	0.800242412063184	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell56	0.888131262622895	1479116	0.8651	9535	167512	0.058485362242705	0.00280837504572202	0.798275472258023	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell57	0.813817805547817	115680	0.8491	6159	44427	0.0520629347018705	0.0269726850762551	0.731292942818017	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell58	0.823064405007959	156357	0.8485	6821	53946	0.0600785971156342	0.0394782608695652	0.758008566610334	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell59	0.902098009472149	1922360	0.8663	9816	160693	0.0811609715420087	0.00279462266917684	0.794015319218662	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell61	0.883503340044854	1077577	0.8615	8768	109359	0.0588703261734288	0.00247037585004004	0.792882061315335	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell62	0.766714289879581	292865	0.8179	7616	64990	0.0683028158178181	0.0018298989577532	0.763365850718368	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell63	0.902173243335692	949754	0.8585	8685	126664	0.05026684772311	0.00474933900951929	0.79107391228163	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell64	0.862282960426084	616373	0.8539	7767	93695	0.0581781311702866	0.00423100444885021	0.779191058189451	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell65	0.783562035448828	94198	0.8453	5816	38085	0.0566102139950112	0.0546596279669831	0.721156216088667	FALSE	NA
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell66	0.880084506175906	2099882	0.8556	9669	160148	0.0778904513325174	0.00268598891150651	0.797184850826583	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell67	0.920364754310743	1856620	0.8592	9150	123849	0.0805497016528192	0.00346853748282714	0.797161669738336	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_502_S27_L005	502_S27_L005_cell69	0.910868846499267	1631078	0.8549	9144	135406	0.0783495561496536	0.00257384953817463	0.798104858682773	TRUE	HEK293T cells
