tissue	ident	color	description	group
pancreas	Fibro-PAMR1+SOX6+	#6FB000	Fibroblasts (PAMR1:high;SOX6:high)	Fibroblast
pancreas	Fibro-PAMR1+SOX6-	#00B813	Fibroblasts (PAMR1:high;SOX6:low)	Fibroblast
pancreas	Fibro-THBS2	#00BD61	Fibroblasts with the high expression of THBS2	Fibroblast
pancreas	Fibro-IGFBP3	#00C08E	Fibroblasts with the high expression of IGFBP3	Fibroblast
pancreas	Fibro-ITGA8	#00C0B4	Fibroblasts with the high expression of ITGA8	Fibroblast
pancreas	Fibro-Prol	#00BDD4	Fibroblasts (Proliferative)	Fibroblast
pancreas	Glial	#00B5EE	Glial cells	Glial
pancreas	B-IGHM	#00A7FF	B cells with the high expression of IGHM	B
pancreas	B-MME	#7F96FF	B cells with the high expression of MME	B
pancreas	B-Prol	#BC81FF	B cells (Proliferative)	B
pancreas	NKT	#E26EF7	NKT cells	NKT
pancreas	T	#F863DF	T cells	T
pancreas	CACNA1A	#FF62BF	CACNA1A+ cells	CACNA1A
pancreas	Erythrocyte	#FF6A9A	Erythrocytes	Erythrocyte
liver	Epi	#F8766D	Epithelial cells (Cholangiocytes)	Epithelial
liver	Endo-DNTT	#E88526	Endothelial cells with the high expression of DNTT	Endothelial
liver	LSEC	#D39200	Liver sinusoidal endothelial cells	Endothelial
liver	Endo-Prol	#B79F00	Endothelial cells (Proliferative)	Endothelial
liver	Fibro	#93AA00	Fibroblasts	Fibroblast
liver	MPP	#5EB300	Multipotent progenitors	MPP
liver	B-MS4A1+	#00BA38	B cells with the high expression of MS4A1	B
liver	B-MS4A1-	#00BF74	B cells with the low expression of MS4A1	B
liver	B-Prol	#00C19F	B cells (Proliferative)	B
liver	DC/Macro	#00BFC4	Dendritic cells / Macrophages (Containing Kupffer cells)	DC/Macrophage
liver	Mast-Prog	#00B9E3	Mast cells (Progenitor)	Mast
liver	NKT-IL2RB	#00ADFA	NKT cells with the high expression of IL2RB	NKT
liver	NKT-SYNE1	#619CFF	NKT cells with the high expression of SYNE1	NKT
liver	NKT-Prol	#AE87FF	NKT cells (Proliferative)	NKT
liver	T	#DB72FB	T cells	T
liver	Hepatocyte	#F564E3	Hepatocytes	Hepatocyte
liver	Erythrocyte	#FF61C3	Erythrocytes	Erythrocyte
liver	Erythrocyte-Prol	#FF699C	Erythrocytes (Proliferative)	Erythrocyte
kidney	PT	#F8766D	Proximal tubule cells	Epithelial
kidney	LoH	#EE8043	Loop of Henle cells	Epithelial
kidney	LoH-Prog	#E18A00	Loop of Henle cells (Progenitor)	Epithelial
kidney	DT	#D19300	Distal tubule cells	Epithelial
kidney	PC-CLU	#BE9C00	Principal cells with the high expression of CLU	Epithelial
kidney	PC-BCAT1	#A8A400	Principal cells with the high expression of BCAT1	Epithelial
kidney	Epi-Ureter	#8CAB00	Epithelial cells (Ureter)	Epithelial
kidney	Epi-Prol	#68B100	Epithelial cells (Proliferative)	Epithelial
kidney	Podocyte-GPC3	#24B700	Podocytes with the high expression of GPC3	Epithelial
kidney	Podocyte-PLA2R1	#00BB49	Podocytes with the high expression of PLA2R1	Epithelial
kidney	CM	#00BE70	Cap mesenchyme cells	CM
kidney	Endo-TEK	#00C090	Endothelial cells with the high expression of TEK	Endothelial
kidney	Endo-FLT1	#00C1AB	Endothelial cells with the high expression of FLT1	Endothelial
kidney	Endo-Glomerular	#00BFC4	Endothelial cells (Glomerular)	Endothelial
kidney	SM	#00BBDA	Smooth muscle cells	Smooth muscle
kidney	Fibro-ALDH1A2	#00B5ED	Fibroblasts with the high expression of ALDH1A2	Fibroblast
kidney	Fibro-APCDD1	#00ACFC	Fibroblasts with the high expression of APCDD1	Fibroblast
kidney	Fibro-COL14A1	#42A0FF	Fibroblasts with the high expression of COL14A1	Fibroblast
kidney	Fibro-CYP1B1	#8B93FF	Fibroblasts with the high expression of CYP1B1	Fibroblast
kidney	Fibro-PTGER2	#B684FF	Fibroblasts with the high expression of PTGER2	Fibroblast
kidney	Fibro-GUCY1A2	#D575FE	Fibroblasts with the high expression of GUCY1A2	Fibroblast
kidney	Fibro-SFRP2	#CAFF70	Fibroblasts with the high expression of SFRP2	Fibroblast
kidney	Fibro-Prol	#EB69F0	Fibroblasts (Proliferative)	Fibroblast
kidney	Glial	#F962DD	Glial cells	Glial
kidney	Immune	#FF61C6	Immune cells	Immune
kidney	CACNA1A	#FF65AC	CACNA1A+ cells	CACNA1A
kidney	Erythrocyte	#FF6D8E	Erythrocytes	Erythrocyte
kidney	Unknown	#B3B3B3	Unknown	Unknown
bladder	Endo-ENTPD1	#C49A00	Endothelial cells with the high expression of ENTPD1	Endothelial
bladder	Endo-PODXL	#53B400	Endothelial cells with the high expression of PODXL	Endothelial
bladder	SM	#00C094	Smooth muscle cells	Smooth muscle
bladder	Fibro	#00B6EB	Fibroblasts	Fibroblast
bladder	Immune	#A58AFF	Immune cells	Immune
bladder	Erythrocyte	#FB61D7	Erythrocytes	Erythrocyte
lung	Epi	#F8766D	Epithelial cells	Epithelial
lung	Endo	#DB8E00	Endothelial cells	Endothelial
lung	SM-STC1	#AEA200	Smooth muscle cells with the high expression of STC1	Smooth muscle
lung	SM-HHIP	#64B200	Smooth muscle cells with the high expression of HHIP	Smooth muscle
lung	SM-0	#CAFF70	Smooth muscle cells (Basic)	Smooth muscle
lung	Fibro-0	#00BD5C	Fibroblasts (Basic)	Fibroblast
lung	Fibro-FOSB	#00C1A7	Fibroblasts with the high expression of FOSB	Fibroblast
lung	Fibro-TNC	#00BADE	Fibroblasts with the high expression of TNC	Fibroblast
lung	Fibro-Prol	#00A6FF	Fibroblasts (Proliferative)	Fibroblast
lung	Pericyte	#B385FF	Pericytes	Pericyte
lung	Immune	#EF67EB	Immune cells	Immune
lung	Erythrocyte	#FF63B6	Erythrocytes	Erythrocyte
lung	Unknown	#B3B3B3	Unknown	Unknown
bronchus	Epi	#F8766D	Epithelial cells	Epithelial
bronchus	Endo	#D39200	Endothelial cells	Endothelial
bronchus	SM	#93AA00	Smooth muscle cells	Smooth muscle
bronchus	Fibro	#00BA38	Fibroblasts	Fibroblast
bronchus	B-Immature	#00C19F	Immature B cells	B
bronchus	B-Mature	#00B9E3	Mature B cells	B
bronchus	DC	#619CFF	Dendritic cells	DC
bronchus	NKT	#DB72FB	NKT cells	NKT
bronchus	T	#FF61C3	T cells	T
diaphragm	Endo	#DB8E00	Endothelial cells	Endothelial
diaphragm	SM	#AEA200	Smooth muscle cells	Smooth muscle
diaphragm	SKM	#64B200	Skeletal muscle cells	Skeletal muscle
diaphragm	Fibro-SCN7A	#00BD5C	Fibroblasts with the high expression of SCN7A	Fibroblast
diaphragm	Fibro-GUCY1A3	#00C1A7	Fibroblasts with the high expression of GUCY1A3	Fibroblast
diaphragm	Fibro-SFRP2	#00BADE	Fibroblasts with the high expression of SFRP2	Fibroblast
diaphragm	Fibro-COL11A1	#00A6FF	Fibroblasts with the high expression of COL11A1	Fibroblast
diaphragm	Fibro-Prol	#B385FF	Fibroblasts (Proliferative)	Fibroblast
diaphragm	Glial	#EF67EB	Glial cells	Glial
diaphragm	Immune	#FF63B6	Immune cells	Immune
spleen	MPP	#F8766D	Multipotent progenitors	MPP
spleen	B-CD83	#D89000	B cells with the high expression of CD83	B
spleen	B-HLA-DRB5	#A3A500	B cells with the high expression of HLA-DRB5	B
spleen	B-Prol	#39B600	B cells (Proliferative)	B
spleen	DC/Macro	#00BF7D	Dendritic cells / Macrophages	DC/Macrophage
spleen	NKT	#00BFC4	NKT cells	NKT
spleen	T-GIMAP7	#00B0F6	T cells with the high expression of GIMAP7	T
spleen	T-TNFAIP3	#9590FF	T cells with the high expression of TNFAIP3	T
spleen	Erythrocyte	#E76BF3	Erythrocytes	Erythrocyte
spleen	Erythrocyte-Prol	#FF62BC	Erythrocytes (Proliferative)	Erythrocyte
bone marrow	Pro-B	#F8766D	Pro-B cells	B
bone marrow	Pre-B	#CD9600	Pre-B cells	B
bone marrow	B-Prol	#7CAE00	B cells (Proliferative)	B
bone marrow	Mast	#00BE67	Mast cells	Mast
bone marrow	Neutrophil	#00BFC4	Neutrophils	Neutrophil
bone marrow	Neutrophil-Prol	#00A9FF	Neutrophils (Proliferative)	Neutrophil
bone marrow	Erythrocyte	#C77CFF	Erythrocytes	Erythrocyte
bone marrow	Erythrocyte-Prol	#FF61CC	Erythrocytes (Proliferative)	Erythrocyte
thymus	Endo	orange	Endothelial cells	Endothelial
thymus	Fibro	#B79F00	Fibroblasts	Fibroblast
thymus	Pre-T	#00BA38	Pre-T cells	T
thymus	T-DP	#00BFC4	T cells (Double positive)	T
thymus	T-Prol	#619CFF	T cells (Proliferative)	T
thymus	T-CACNA1A	#F564E3	T cells with the high expression of CACNA1A	T
thymus	CACNA1A	dodgerblue2	CACNA1A+ cells	CACNA1A
thymus	Erythrocyte	violetred3	Erythrocytes	Erythrocyte
heart	Endo	#E7851E	Endothelial cells	Endothelial
heart	SM-ACTG2	#D09400	Smooth muscle cells with the high expression of ACTG2	Smooth muscle
heart	SM-NOTCH3	#B2A100	Smooth muscle cells with the high expression of NOTCH3	Smooth muscle
heart	Fibro-ADAMTS19	#89AC00	Fibroblasts with the high expression of ADAMTS19	Fibroblast
heart	Fibro-FMOD	#45B500	Fibroblasts with the high expression of FMOD	Fibroblast
heart	Fibro-ITM2A	#00BC51	Fibroblasts with the high expression of ITM2A	Fibroblast
heart	Fibro-HTR2A	#00C087	Fibroblasts with the high expression of HTR2A	Fibroblast
heart	Fibro-Prol	#00C0B2	Fibroblasts (Proliferative)	Fibroblast
heart	Glial	#00BCD6	Glial cells	Glial
heart	B	#00B3F2	B cells	B
heart	DC/Macro	#29A3FF	Dendritic cells / Macrophages	DC/Macrophage
heart	Mast	#9C8DFF	Mast cells	Mast
heart	NKT	#D277FF	NKT cells	NKT
heart	T	#F166E8	T cells	T
heart	CACNA1A	#FF61C7	CACNA1A+ cells	CACNA1A
heart	Erythrocyte	#FF689E	Erythrocytes	Erythrocyte
ovary	FGC	#F8766D	Fetal germ cells	FGC
ovary	FGC/Granulosa	#E68613	Fetal germ cells / Granulosa cells	FGC/Granulosa
ovary	Epi/Mes	#CD9600	Epithelial cells / Mesenchymal cells	Epithelial
ovary	Endo	#ABA300	Endothelial cells	Endothelial
ovary	Fibro-VCAN	#7CAE00	Fibroblasts with the high expression of VCAN	Fibroblast
ovary	Fibro-CCDC80	#0CB702	Fibroblasts with the high expression of CCDC80	Fibroblast
ovary	Glial	#00BE67	Glial cells	Glial
ovary	Immune	#00C19A	Immune cells	Immune
ovary	Granulosa-R+	#00BFC4	Granulosa cells (RDH10:high)	Granulosa
ovary	Granulosa-R-Ah	#00B8E7	Granulosa cells (RDH10:low;ARL5B:high)	Granulosa
ovary	Granulosa-R-Am	#00A9FF	Granulosa cells (RDH10:low;ARL5B:medium)	Granulosa
ovary	Granulosa-R-Al	#8494FF	Granulosa cells (RDH10:low;ARL5B:low)	Granulosa
ovary	Granulosa-R-CALB2	#C77CFF	Granulosa cells (RDH10:low;CALB2:high)	Granulosa
ovary	Granulosa-Prol	#ED68ED	Granulosa (Proliferative)	Granulosa
ovary	CACNA1A	#FF61CC	CACNA1A+ cells	CACNA1A
ovary	Erythrocyte	#FF68A1	Erythrocytes	Erythrocyte
testis	SSC	#F8766D	Spermatogonial stem cells	FGC
testis	Endo	#D89000	Endothelial cells	Endothelial
testis	Fibro-FOSB+	#A3A500	Fibroblasts with the high expression of FOSB	Fibroblast
testis	Fibro-FOSB-	#39B600	Fibroblasts with the low expression of FOSB	Fibroblast
testis	Fibro-Prol	#00BF7D	Fibroblasts (Proliferative)	Fibroblast
testis	Sertoli-EGR3+	#00BFC4	Sertoli cells with the high expression of EGR3	Sertoli
testis	Sertoli-EGR3-	#00B0F6	Sertoli cells with the low expression of EGR3	Sertoli
testis	Sertoli-Prol	#9590FF	Sertoli cells (Proliferative)	Sertoli
testis	Immune	#E76BF3	Immune cells	Immune
testis	Erythrocyte	#FF62BC	Erythrocytes	Erythrocyte
