tissue	ident	color	description
Diaphragm	Endo	#DB8E00	Endothelial cells
Diaphragm	SM	#AEA200	Smooth muscle cells
Diaphragm	SKM	#64B200	Skeletal muscle cells
Diaphragm	Fibro-SCN7A	#00BD5C	Fibroblasts with the high expression of SCN7A
Diaphragm	Fibro-GUCY1A3	#00C1A7	Fibroblasts with the high expression of GUCY1A3
Diaphragm	Fibro-SFRP2	#00BADE	Fibroblasts with the high expression of SFRP2
Diaphragm	Fibro-COL11A1	#00A6FF	Fibroblasts with the high expression of COL11A1
Diaphragm	Fibro-Prol	#B385FF	Fibroblasts (Proliferative)
Diaphragm	Glial	#EF67EB	Glial cells
Diaphragm	Immune	#FF63B6	Immune cells
Spleen	MPP	#F8766D	Multipotent progenitors
Spleen	B-CD83	#D89000	B cells with the high expression of CD83
Spleen	B-HLA-DRB5	#A3A500	B cells with the high expression of HLA-DRB5
Spleen	B-Prol	#39B600	B cells (Proliferative)
Spleen	DC/Macro	#00BF7D	Dendritic cells / Macrophages
Spleen	NKT	#00BFC4	NKT cells
Spleen	T-GIMAP7	#00B0F6	T cells with the high expression of GIMAP7
Spleen	T-TNFAIP3	#9590FF	T cells with the high expression of TNFAIP3
Spleen	Erythrocyte	#E76BF3	Erythrocytes
Spleen	Erythrocyte-Prol	#FF62BC	Erythrocytes (Proliferative)
Bone marrow	Pro-B	#F8766D	Pro-B cells
Bone marrow	Pre-B	#CD9600	Pre-B cells
Bone marrow	B-Prol	#7CAE00	B cells (Proliferative)
Bone marrow	Mast	#00BE67	Mast cells
Bone marrow	Neutrophil	#00BFC4	Neutrophils
Bone marrow	Neutrophil-Prol	#00A9FF	Neutrophils (Proliferative)
Bone marrow	Erythrocyte	#C77CFF	Erythrocytes
Bone marrow	Erythrocyte-Prol	#FF61CC	Erythrocytes (Proliferative)
Thymus	Fibro	#53B400	Fibroblasts
Thymus	Pre-T	#00C094	Pre-T cells
Thymus	T-DP	#00B6EB	T cells (Double positive)
Thymus	T-Prol	#A58AFF	T cells (Proliferative)
Thymus	T-CACNA1A	#FB61D7	T cells with the high expression of CACNA1A
Heart	Endo	#E7851E	Endothelial cells
Heart	SM-ACTG2	#D09400	Smooth muscle cells with the high expression of ACTG2
Heart	SM-NOTCH3	#B2A100	Smooth muscle cells with the high expression of NOTCH3
Heart	Fibro-ADAMTS19	#89AC00	Fibroblasts with the high expression of ADAMTS19
Heart	Fibro-FMOD	#45B500	Fibroblasts with the high expression of FMOD
Heart	Fibro-ITM2A	#00BC51	Fibroblasts with the high expression of ITM2A
Heart	Fibro-HTR2A	#00C087	Fibroblasts with the high expression of HTR2A
Heart	Fibro-Prol	#00C0B2	Fibroblasts (Proliferative)
Heart	Glial	#00BCD6	Glial cells
Heart	B	#00B3F2	B cells
Heart	DC/Macro	#29A3FF	Dendritic cells / Macrophages
Heart	Mast	#9C8DFF	Mast cells
Heart	NKT	#D277FF	NKT cells
Heart	T	#F166E8	T cells
Heart	CACNA1A	#FF61C7	CACNA1A+ cells
Heart	Erythrocyte	#FF689E	Erythrocytes
Ovary	FGC	#F8766D	Fetal germ cells
Ovary	FGC/Granulosa	#E68613	Fetal germ cells / Granulosa cells
Ovary	Epi/Mes	#CD9600	Epithelial cells / Mesenchymal cells
Ovary	Endo	#ABA300	Endothelial cells
Ovary	Fibro-VCAN	#7CAE00	Fibroblasts with the high expression of VCAN
Ovary	Fibro-CCDC80	#0CB702	Fibroblasts with the high expression of CCDC80
Ovary	Glial	#00BE67	Glial cells
Ovary	Immune	#00C19A	Immune cells
Ovary	Granulosa-R+	#00BFC4	Granulosa cells (RDH10:high)
Ovary	Granulosa-R-Ah	#00B8E7	Granulosa cells (RDH10:low;ARL5B:high)
Ovary	Granulosa-R-Am	#00A9FF	Granulosa cells (RDH10:low;ARL5B:medium)
Ovary	Granulosa-R-Al	#8494FF	Granulosa cells (RDH10:low;ARL5B:low)
Ovary	Granulosa-R-CALB2	#C77CFF	Granulosa cells (RDH10:low;CALB2:high)
Ovary	Granulosa-Prol	#ED68ED	Granulosa (Proliferative)
Ovary	CACNA1A	#FF61CC	CACNA1A+ cells
Ovary	Erythrocyte	#FF68A1	Erythrocytes
Testis	SSC	#F8766D	Spermatogonial stem cells
Testis	Endo	#D89000	Endothelial cells
Testis	Fibro-FOSB+	#A3A500	Fibroblasts with the high expression of FOSB
Testis	Fibro-FOSB-	#39B600	Fibroblasts with the low expression of FOSB
Testis	Fibro-Prol	#00BF7D	Fibroblasts (Proliferative)
Testis	Sertoli-EGR3+	#00BFC4	Sertoli cells with the high expression of EGR3
Testis	Sertoli-EGR3-	#00B0F6	Sertoli cells with the low expression of EGR3
Testis	Sertoli-Prol	#9590FF	Sertoli cells (Proliferative)
Testis	Immune	#E76BF3	Immune cells
Testis	Erythrocyte	#FF62BC	Erythrocytes
