	nCell	nUMI	validCell	cellRatio	filter
CFAP74	5	41	753	0.00664010624169987	FALSE
RP11-547D24.1	13	14	753	0.0172642762284197	TRUE
GABRD	30	42	753	0.0398406374501992	TRUE
RP11-547D24.3	0	0	753	0	FALSE
PRKCZ	21	24	753	0.0278884462151394	TRUE
RP5-892K4.1	4	5	753	0.00531208499335989	FALSE
PRKCZ-AS1	1	1	753	0.00132802124833997	FALSE
FAAP20	26	35	753	0.0345285524568393	TRUE
RP11-181G12.4	1	1	753	0.00132802124833997	FALSE
SKI	300	668	753	0.398406374501992	TRUE
MORN1	5	5	753	0.00664010624169987	FALSE
RP4-713A8.1	0	0	753	0	FALSE
RP4-740C4.5	12	16	753	0.0159362549800797	TRUE
RP4-740C4.7	11	11	753	0.0146082337317397	TRUE
RER1	104	139	753	0.138114209827357	TRUE
PEX10	93	318	753	0.123505976095618	TRUE
PLCH2	11	11	753	0.0146082337317397	TRUE
RP3-395M20.2	0	0	753	0	FALSE
RP3-395M20.3	0	0	753	0	FALSE
PANK4	16	30	753	0.0212483399734396	TRUE
HES5	2	2	753	0.00265604249667995	FALSE
RP3-395M20.12	0	0	753	0	FALSE
RP3-395M20.8	1	1	753	0.00132802124833997	FALSE
TNFRSF14	5	7	753	0.00664010624169987	FALSE
RP3-395M20.7	2	2	753	0.00265604249667995	FALSE
RP3-395M20.9	6	7	753	0.00796812749003984	FALSE
FAM213B	20	29	753	0.0265604249667995	TRUE
MMEL1	1	1	753	0.00132802124833997	FALSE
RP13-436F16.1	0	0	753	0	FALSE
TTC34	2	4	753	0.00265604249667995	FALSE
ABC14-1188822O7.1	0	0	753	0	FALSE
RP11-740P5.2	0	0	753	0	FALSE
RP11-740P5.3	0	0	753	0	FALSE
ACTRT2	0	0	753	0	FALSE
LINC00982	2	4	753	0.00265604249667995	FALSE
PRDM16	29	49	753	0.0385126162018592	TRUE
MIR4251	0	0	753	0	FALSE
RP1-163G9.2	0	0	753	0	FALSE
RP11-193J6.1	1	1	753	0.00132802124833997	FALSE
RP11-22L13.1	6	18	753	0.00796812749003984	FALSE
ARHGEF16	7	13	753	0.00929614873837981	FALSE
RP11-168F9.2	7	9	753	0.00929614873837981	FALSE
MEGF6	7	14	753	0.00929614873837981	FALSE
MIR551A	0	0	753	0	FALSE
RP11-46F15.2	0	0	753	0	FALSE
TPRG1L	382	823	753	0.50730411686587	TRUE
WRAP73	15	19	753	0.0199203187250996	TRUE
TP73	11	17	753	0.0146082337317397	TRUE
RP5-1092A11.5	0	0	753	0	FALSE
RP5-1092A11.2	0	0	753	0	FALSE
CCDC27	1	1	753	0.00132802124833997	FALSE
SMIM1	1	1	753	0.00132802124833997	FALSE
LRRC47	292	551	753	0.387782204515272	TRUE
RN7SL574P	16	45	753	0.0212483399734396	TRUE
RP1-286D6.5	8	20	753	0.0106241699867198	TRUE
CEP104	210	684	753	0.278884462151394	TRUE
DFFB	35	53	753	0.0464807436918991	TRUE
C1orf174	143	212	753	0.189907038512616	TRUE
LINC01134	2	3	753	0.00265604249667995	FALSE
LINC01346	0	0	753	0	FALSE
LINC01345	0	0	753	0	FALSE
EEF1DP6	3	13	753	0.00398406374501992	FALSE
LINC01777	0	0	753	0	FALSE
RP1-37J18.1	0	0	753	0	FALSE
LINC01646	0	0	753	0	FALSE
AJAP1	42	136	753	0.0557768924302789	TRUE
RP11-542C10.1	0	0	753	0	FALSE
RP1-58B11.1	0	0	753	0	FALSE
RP3-491M17.1	0	0	753	0	FALSE
RP11-154H17.1	0	0	753	0	FALSE
MIR4417	0	0	753	0	FALSE
MIR4689	0	0	753	0	FALSE
NPHP4	80	195	753	0.106241699867198	TRUE
KCNAB2	7	7	753	0.00929614873837981	FALSE
CHD5	2	9	753	0.00265604249667995	FALSE
RPL22	753	24101	753	1	TRUE
RP1-120G22.11	0	0	753	0	FALSE
RNF207	25	30	753	0.0332005312084993	TRUE
ICMT	421	2409	753	0.559096945551129	TRUE
LINC00337	0	0	753	0	FALSE
HES3	0	0	753	0	FALSE
GPR153	83	128	753	0.110225763612218	TRUE
ACOT7	78	158	753	0.103585657370518	TRUE
RP1-202O8.3	25	105	753	0.0332005312084993	TRUE
HES2	172	1692	753	0.228419654714475	TRUE
ESPN	2	2	753	0.00265604249667995	FALSE
MIR4252	0	0	753	0	FALSE
RP1-202O8.2	0	0	753	0	FALSE
TNFRSF25	16	21	753	0.0212483399734396	TRUE
PLEKHG5	10	10	753	0.0132802124833997	TRUE
NOL9	327	1142	753	0.434262948207171	TRUE
RNU6-731P	0	0	753	0	FALSE
RP11-58A11.2	1	1	753	0.00132802124833997	FALSE
TAS1R1	0	0	753	0	FALSE
ZBTB48	18	61	753	0.0239043824701195	TRUE
KLHL21	159	343	753	0.211155378486056	TRUE
PHF13	309	750	753	0.410358565737052	TRUE
THAP3	42	47	753	0.0557768924302789	TRUE
DNAJC11	82	225	753	0.108897742363878	TRUE
LINC01672	0	0	753	0	FALSE
RP11-312B8.1	3	5	753	0.00398406374501992	FALSE
CAMTA1	355	1310	753	0.471447543160691	TRUE
RP11-312B8.2	0	0	753	0	FALSE
RP11-334N17.1	0	0	753	0	FALSE
RNU1-8P	0	1	753	0	FALSE
CAMTA1-IT1	0	3	753	0	FALSE
RP3-453P22.2	0	0	753	0	FALSE
RP4-549F15.1	0	0	753	0	FALSE
RP11-338N10.1	4	48	753	0.00531208499335989	FALSE
RP11-338N10.2	0	0	753	0	FALSE
RP11-338N10.3	6	8	753	0.00796812749003984	FALSE
VAMP3	666	6247	753	0.884462151394422	TRUE
RP3-467L1.6	5	6	753	0.00664010624169987	FALSE
PER3	192	575	753	0.254980079681275	TRUE
RP3-467L1.4	4	4	753	0.00531208499335989	FALSE
UTS2	7	9	753	0.00929614873837981	FALSE
TNFRSF9	7	9	753	0.00929614873837981	FALSE
RP5-892F13.2	0	0	753	0	FALSE
PARK7	748	15274	753	0.9933598937583	TRUE
ERRFI1	602	7775	753	0.799468791500664	TRUE
RP11-431K24.1	4	5	753	0.00531208499335989	FALSE
CTA-215D11.4	0	0	753	0	FALSE
RP11-431K24.2	0	0	753	0	FALSE
LINC01714	0	0	753	0	FALSE
RNU1-7P	0	0	753	0	FALSE
RP11-431K24.4	0	0	753	0	FALSE
RNU6-991P	0	0	753	0	FALSE
SLC45A1	3	3	753	0.00398406374501992	FALSE
RERE	606	3546	753	0.804780876494024	TRUE
RP5-1115A15.1	0	0	753	0	FALSE
RP5-1115A15.2	0	0	753	0	FALSE
RPL7P11	0	0	753	0	FALSE
RPL7P7	4	4	753	0.00531208499335989	FALSE
RP4-633I8.3	0	0	753	0	FALSE
RP4-633I8.4	7	8	753	0.00929614873837981	FALSE
RPL23AP19	0	0	753	0	FALSE
ENO1	624	3455	753	0.828685258964143	TRUE
MIR6728	0	0	753	0	FALSE
ENO1-IT1	0	0	753	0	FALSE
ENO1-AS1	0	0	753	0	FALSE
RNU6-304P	0	0	753	0	FALSE
HMGN2P17	0	0	753	0	FALSE
RP3-477M7.5	0	0	753	0	FALSE
RP3-477M7.6	0	0	753	0	FALSE
CA6	0	0	753	0	FALSE
RN7SL451P	0	0	753	0	FALSE
SLC2A7	0	0	753	0	FALSE
SLC2A5	26	47	753	0.0345285524568393	TRUE
GPR157	64	95	753	0.0849933598937583	TRUE
MIR34AHG	2	4	753	0.00265604249667995	FALSE
MIR34A	0	0	753	0	FALSE
LINC01759	4	12	753	0.00531208499335989	FALSE
RP3-510D11.4	0	0	753	0	FALSE
H6PD	504	2443	753	0.669322709163347	TRUE
SPSB1	37	44	753	0.049136786188579	TRUE
RNA5SP40	0	0	753	0	FALSE
RP13-392I16.1	0	0	753	0	FALSE
SLC25A33	201	414	753	0.266932270916335	TRUE
RP13-15M17.1	0	1	753	0	FALSE
TMEM201	11	11	753	0.0146082337317397	TRUE
PIK3CD	61	80	753	0.0810092961487384	TRUE
PIK3CD-AS1	1	1	753	0.00132802124833997	FALSE
RP11-558F24.2	0	0	753	0	FALSE
PIK3CD-AS2	7	8	753	0.00929614873837981	FALSE
CLSTN1	527	1713	753	0.699867197875166	TRUE
MZT1P1	0	0	753	0	FALSE
RP11-84A14.7	0	0	753	0	FALSE
CTNNBIP1	138	235	753	0.183266932270916	TRUE
RP11-84A14.5	2	2	753	0.00265604249667995	FALSE
LZIC	326	781	753	0.432934926958831	TRUE
RP11-84A14.4	0	0	753	0	FALSE
NMNAT1	95	152	753	0.126162018592297	TRUE
RN7SKP269	1	1	753	0.00132802124833997	FALSE
RP11-84A14.6	0	0	753	0	FALSE
MIR5697	0	0	753	0	FALSE
RP11-807G9.2	0	0	753	0	FALSE
RBP7	56	103	753	0.0743691899070385	TRUE
UBE4B	448	1241	753	0.594953519256308	TRUE
RP11-496H15.2	1	1	753	0.00132802124833997	FALSE
PGAM1P11	0	0	753	0	FALSE
RNU6-828P	1	1	753	0.00132802124833997	FALSE
KIF1B	531	2837	753	0.705179282868526	TRUE
MIR1273D	2	2	753	0.00265604249667995	FALSE
RNU6-37P	12	14	753	0.0159362549800797	TRUE
RN7SL731P	0	0	753	0	FALSE
PGD	377	1439	753	0.50066401062417	TRUE
RP4-736L20.3	0	0	753	0	FALSE
APITD1-CORT	0	0	753	0	FALSE
CENPS	55	125	753	0.0730411686586985	TRUE
CORT	0	0	753	0	FALSE
DFFA	513	2311	753	0.681274900398406	TRUE
RP5-1113E3.3	11	13	753	0.0146082337317397	TRUE
PEX14	6	9	753	0.00796812749003984	FALSE
RN7SL614P	0	0	753	0	FALSE
CASZ1	53	98	753	0.0703851261620186	TRUE
RP4-734G22.3	2	3	753	0.00265604249667995	FALSE
HSPE1P24	0	0	753	0	FALSE
C1orf127	1	1	753	0.00132802124833997	FALSE
CFL1P6	0	0	753	0	FALSE
TARDBP	617	4079	753	0.819389110225764	TRUE
RP4-635E18.9	0	0	753	0	FALSE
MASP2	4	4	753	0.00531208499335989	FALSE
RP4-635E18.8	1	2	753	0.00132802124833997	FALSE
SRM	44	63	753	0.0584329349269588	TRUE
EXOSC10	278	626	753	0.369189907038513	TRUE
RP4-635E18.7	2	3	753	0.00265604249667995	FALSE
RP4-635E18.6	0	0	753	0	FALSE
MTOR	193	451	753	0.256308100929615	TRUE
MTOR-AS1	0	0	753	0	FALSE
RNU6-537P	1	1	753	0.00132802124833997	FALSE
ANGPTL7	4	21	753	0.00531208499335989	FALSE
RNU6-291P	0	0	753	0	FALSE
RPL39P6	0	0	753	0	FALSE
UBIAD1	154	278	753	0.204515272244356	TRUE
UBE2V2P3	0	0	753	0	FALSE
MTCYBP45	0	0	753	0	FALSE
DISP3	0	0	753	0	FALSE
LINC01647	0	0	753	0	FALSE
FBXO2	1	1	753	0.00132802124833997	FALSE
FBXO44	11	11	753	0.0146082337317397	TRUE
FBXO6	16	19	753	0.0212483399734396	TRUE
MAD2L2	38	67	753	0.050464807436919	TRUE
DRAXIN	6	10	753	0.00796812749003984	FALSE
AGTRAP	22	35	753	0.0292164674634794	TRUE
C1orf167	2	3	753	0.00265604249667995	FALSE
RP11-56N19.5	0	0	753	0	FALSE
MTHFR	220	699	753	0.292164674634794	TRUE
CLCN6	83	152	753	0.110225763612218	TRUE
NPPA-AS1	2	2	753	0.00265604249667995	FALSE
NPPA-AS1_1	0	0	753	0	FALSE
NPPA-AS1_2	0	0	753	0	FALSE
NPPA	1	2	753	0.00132802124833997	FALSE
NPPA-AS1_3	0	0	753	0	FALSE
NPPB	0	0	753	0	FALSE
RP5-934G17.6	0	0	753	0	FALSE
RNU5E-1	1	1	753	0.00132802124833997	FALSE
RNU5E-4P	0	0	753	0	FALSE
KIAA2013	93	142	753	0.123505976095618	TRUE
PLOD1	401	984	753	0.532536520584329	TRUE
MFN2	349	819	753	0.463479415670651	TRUE
RP5-1077B9.5	3	9	753	0.00398406374501992	FALSE
MIIP	1	2	753	0.00132802124833997	FALSE
MIR6729	0	0	753	0	FALSE
RN7SL649P	0	0	753	0	FALSE
TNFRSF8	0	0	753	0	FALSE
RNU6-777P	0	0	753	0	FALSE
RPL23AP89	1	1	753	0.00132802124833997	FALSE
MIR7846	0	0	753	0	FALSE
TNFRSF1B	77	357	753	0.102257636122178	TRUE
MIR4632	0	0	753	0	FALSE
RPL10P17	0	0	753	0	FALSE
VPS13D	342	1127	753	0.454183266932271	TRUE
SNORA59A	0	0	753	0	FALSE
RP5-888M10.2	0	0	753	0	FALSE
DHRS3	340	1288	753	0.451527224435591	TRUE
RNU6ATAC18P	0	0	753	0	FALSE
MIR6730	0	0	753	0	FALSE
RP11-474O21.5	0	0	753	0	FALSE
AADACL4	0	0	753	0	FALSE
RP11-474O21.2	0	0	753	0	FALSE
AADACL3	0	0	753	0	FALSE
C1orf158	6	18	753	0.00796812749003984	FALSE
PRAMEF12	1	1	753	0.00132802124833997	FALSE
PRAMEF1	0	0	753	0	FALSE
LINC01784	0	0	753	0	FALSE
PRAMEF11	0	0	753	0	FALSE
PRAMEF30P	0	0	753	0	FALSE
HNRNPCL1	0	0	753	0	FALSE
PRAMEF2	0	0	753	0	FALSE
PRAMEF4	0	0	753	0	FALSE
PRAMEF10	0	0	753	0	FALSE
PRAMEF7	0	0	753	0	FALSE
RNU6-1072P	0	0	753	0	FALSE
PRAMEF29P	0	0	753	0	FALSE
PRAMEF6	0	0	753	0	FALSE
PRAMEF28P	0	0	753	0	FALSE
PRAMEF27	0	0	753	0	FALSE
HNRNPCL3	0	0	753	0	FALSE
PRAMEF25	0	0	753	0	FALSE
PRAMEF34P	0	0	753	0	FALSE
PRAMEF35P	0	0	753	0	FALSE
HNRNPCL2	0	0	753	0	FALSE
PRAMEF36P	0	0	753	0	FALSE
RP13-221M14.2	0	0	753	0	FALSE
PRAMEF26	2	2	753	0.00265604249667995	FALSE
HNRNPCL4	0	0	753	0	FALSE
PRAMEF9	0	0	753	0	FALSE
PRAMEF13	0	0	753	0	FALSE
PRAMEF18	0	0	753	0	FALSE
PRAMEF31P	0	0	753	0	FALSE
PRAMEF5	0	1	753	0	FALSE
PRAMEF32P	0	0	753	0	FALSE
RNU6-771P	0	0	753	0	FALSE
PRAMEF8	0	0	753	0	FALSE
PRAMEF33	0	0	753	0	FALSE
PRAMEF15	0	0	753	0	FALSE
RP11-219C24.10	0	0	753	0	FALSE
PRAMEF14	1	1	753	0.00132802124833997	FALSE
PRAMEF19	0	0	753	0	FALSE
PRAMEF17	0	0	753	0	FALSE
PRAMEF20	0	0	753	0	FALSE
LRRC38	2	3	753	0.00265604249667995	FALSE
RP4-597A16.2	0	0	753	0	FALSE
BRWD1P1	0	0	753	0	FALSE
PDPN	313	1342	753	0.415670650730412	TRUE
RNA5SP41	0	0	753	0	FALSE
CTA-520D8.2	0	0	753	0	FALSE
PRDM2	498	2621	753	0.661354581673307	TRUE
KAZN	123	235	753	0.163346613545817	TRUE
RNU6-1265P	0	0	753	0	FALSE
RP11-344F13.1	1	1	753	0.00132802124833997	FALSE
RP4-704D23.1	0	1	753	0	FALSE
TBCAP2	0	0	753	0	FALSE
TMEM51-AS1	26	41	753	0.0345285524568393	TRUE
TMEM51	126	215	753	0.167330677290837	TRUE
C1orf195	0	0	753	0	FALSE
RP1-21O18.3	1	5	753	0.00132802124833997	FALSE
RP5-903E17.2	1	1	753	0.00132802124833997	FALSE
FHAD1	32	176	753	0.0424966799468791	TRUE
RP3-467K16.2	1	1	753	0.00132802124833997	FALSE
RP3-467K16.7	0	0	753	0	FALSE
RP3-467K16.4	1	1	753	0.00132802124833997	FALSE
EFHD2	27	40	753	0.0358565737051793	TRUE
CTRC	2	2	753	0.00265604249667995	FALSE
CELA2A	0	0	753	0	FALSE
CELA2B	0	0	753	0	FALSE
CASP9	100	158	753	0.132802124833997	TRUE
DNAJC16	138	235	753	0.183266932270916	TRUE
RP4-680D5.8	1	1	753	0.00132802124833997	FALSE
AGMAT	2	3	753	0.00265604249667995	FALSE
RP4-680D5.2	1	4	753	0.00132802124833997	FALSE
CHCHD2P6	0	0	753	0	FALSE
RNU7-179P	0	0	753	0	FALSE
CD24P1	0	0	753	0	FALSE
DDI2	316	1179	753	0.419654714475432	TRUE
RSC1A1	0	0	753	0	FALSE
RP4-680D5.9	0	0	753	0	FALSE
PLEKHM2	30	104	753	0.0398406374501992	TRUE
RP11-288I21.1	3	3	753	0.00398406374501992	FALSE
SLC25A34	3	3	753	0.00398406374501992	FALSE
RP11-169K16.4	0	0	753	0	FALSE
TMEM82	0	0	753	0	FALSE
FBLIM1	186	494	753	0.247011952191235	TRUE
RPL12P14	5	9	753	0.00664010624169987	FALSE
UQCRHL	143	245	753	0.189907038512616	TRUE
RP11-169K16.8	0	0	753	0	FALSE
FLJ37453	22	29	753	0.0292164674634794	TRUE
SPEN	666	6399	753	0.884462151394422	TRUE
RP1-134O19.3	0	0	753	0	FALSE
ZBTB17	4	8	753	0.00531208499335989	FALSE
RP11-5P18.1	0	0	753	0	FALSE
RP11-5P18.3	0	0	753	0	FALSE
RP11-5P18.11	0	0	753	0	FALSE
TBC1D3P6	0	0	753	0	FALSE
C1orf64	0	0	753	0	FALSE
RP11-5P18.5	0	0	753	0	FALSE
HSPB7	1	1	753	0.00132802124833997	FALSE
CLCNKA	0	0	753	0	FALSE
RP11-5P18.10	0	0	753	0	FALSE
CLCNKB	1	1	753	0.00132802124833997	FALSE
FAM131C	0	0	753	0	FALSE
EPHA2	235	923	753	0.312084993359894	TRUE
RP11-276H7.2	1	1	753	0.00132802124833997	FALSE
RP11-276H7.3	0	0	753	0	FALSE
ARHGEF19-AS1	0	0	753	0	FALSE
ARHGEF19	62	84	753	0.0823373173970783	TRUE
ANO7L1	1	1	753	0.00132802124833997	FALSE
RSG1	3	6	753	0.00398406374501992	FALSE
MT1XP1	3	7	753	0.00398406374501992	FALSE
FBXO42	292	1040	753	0.387782204515272	TRUE
SZRD1	244	758	753	0.324037184594954	TRUE
RP11-430L17.1	1	2	753	0.00132802124833997	FALSE
SPATA21	6	6	753	0.00796812749003984	FALSE
NECAP2	268	521	753	0.355909694555113	TRUE
LINC01772	5	6	753	0.00664010624169987	FALSE
CROCCP3	9	13	753	0.0119521912350598	TRUE
RNU1-1	16	16	753	0.0212483399734396	TRUE
RP4-798A10.7	2	2	753	0.00265604249667995	FALSE
RP4-798A10.4	1	1	753	0.00132802124833997	FALSE
LINC01783	0	0	753	0	FALSE
RNU1-6P	0	0	753	0	FALSE
FAM231B	0	0	753	0	FALSE
RP5-875O13.6	2	2	753	0.00265604249667995	FALSE
NBPF1	367	1178	753	0.48738379814077	TRUE
RP5-1182A14.5	2	4	753	0.00265604249667995	FALSE
CROCCP2	29	39	753	0.0385126162018592	TRUE
RP5-1182A14.8	0	0	753	0	FALSE
MST1P2	9	16	753	0.0119521912350598	TRUE
RP1-163M9.8	0	0	753	0	FALSE
RNU1-3	3	3	753	0.00398406374501992	FALSE
FAM231A	0	0	753	0	FALSE
RP5-875O13.7	0	0	753	0	FALSE
EIF1AXP1	62	70	753	0.0823373173970783	TRUE
ESPNP	1	2	753	0.00132802124833997	FALSE
RP1-163M9.7	0	0	753	0	FALSE
FAM231C	0	0	753	0	FALSE
RP5-1182A14.7	0	0	753	0	FALSE
CROCC	14	17	753	0.0185922974767596	TRUE
CROCCP4	0	0	753	0	FALSE
RNU1-4	10	11	753	0.0132802124833997	TRUE
MST1L	4	6	753	0.00531208499335989	FALSE
RP11-108M9.1	0	0	753	0	FALSE
RP11-108M9.2	0	0	753	0	FALSE
MIR3675	0	0	753	0	FALSE
RP11-108M9.3	0	0	753	0	FALSE
RNU1-5P	0	0	753	0	FALSE
RP11-108M9.4	38	48	753	0.050464807436919	TRUE
RP11-108M9.5	0	0	753	0	FALSE
RNU1-2	5	5	753	0.00664010624169987	FALSE
RP11-108M9.6	4	4	753	0.00531208499335989	FALSE
MFAP2	17	19	753	0.0225763612217795	TRUE
RP1-37C10.3	0	0	753	0	FALSE
ATP13A2	0	0	753	0	FALSE
SDHB	213	407	753	0.282868525896414	TRUE
PADI2	1	1	753	0.00132802124833997	FALSE
RP11-380J14.1	0	0	753	0	FALSE
RP11-380J14.4	0	0	753	0	FALSE
PADI1	6	10	753	0.00796812749003984	FALSE
PADI3	5	6	753	0.00664010624169987	FALSE
MIR3972	0	0	753	0	FALSE
PADI4	0	0	753	0	FALSE
PADI6	0	0	753	0	FALSE
RP1-20B21.4	0	1	753	0	FALSE
RCC2	397	978	753	0.527224435590969	TRUE
ARHGEF10L	177	315	753	0.235059760956175	TRUE
RP11-473A10.2	0	0	753	0	FALSE
ACTL8	0	0	753	0	FALSE
LINC01654	0	0	753	0	FALSE
IGSF21	0	0	753	0	FALSE
RP11-174G17.3	0	0	753	0	FALSE
RP11-174G17	0	0	753	0	FALSE
RP11-422P22.1	0	0	753	0	FALSE
