orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	Ident_old	tech	predicted.id	prediction.score.max
SIU_3_6-3	SIU	131464	20817	0.999999999999837	12614	Glial	atac	Glial	1
SIU_3_6-4	SIU	134157	23388	1.00000000000022	12793	FB-COL14A1	atac	FB-COL14A1	0.51957718801621
SIU_3_6-5	SIU	154781	23119	0.999999999999873	13038	1	atac	FB-ZEB1	0.850042517782138
SIU_3_6-6	SIU	128360	22756	0.999999999999921	12733	FB-COL14A1	atac	FB-COL14A1	0.65606608921984
SIU_3_6-7	SIU	62930	14667	0.999999999999995	10518	Endo	atac	Endo	1
SIU_3_6-8	SIU	49930	13220	1.00000000000001	10136	Endo	atac	Endo	0.988742314501361
SIU_3_7-1	SIU	89163	17087	0.999999999999921	11326	DC	atac	DC	0.991010155644327
SIU_3_7-2	SIU	125991	22670	0.999999999999856	12805	SM-Visceral	atac	SM-Visceral	0.957379866312405
SIU_3_7-3	SIU	81954	18085	1.00000000000009	11547	1	atac	FB-ADAMDEC1	0.582670704002904
SIU_3_7-4	SIU	111413	21062	1.00000000000001	12473	8	atac	FB-KCNN3	0.93993356438721
SIU_3_7-5	SIU	153957	24462	0.999999999999954	13148	1	atac	FB-ADAMDEC1	0.862815371302771
SIU_3_7-6	SIU	141780	25218	1.00000000000002	12803	FB-COL14A1	atac	FB-COL14A1	0.87761657230542
SIU_3_7-7	SIU	105567	20336	1.00000000000001	12195	FB-COL14A1	atac	FB-COL14A1	0.438315800125782
SIU_3_8-1	SIU	131836	22511	1.00000000000007	12491	FB-COL14A1	atac	FB-COL14A1	0.891885398742751
SIU_3_8-2	SIU	119744	22632	1.00000000000005	12603	FB-COL14A1	atac	FB-COL14A1	0.764628178194771
SIU_3_8-3	SIU	121498	22014	0.999999999999964	12497	1	atac	FB-ADAMDEC1	0.670728009717526
SIU_3_8-4	SIU	114289	22205	0.999999999999803	12394	FB-COL14A1	atac	FB-COL14A1	0.795426339369688
SIU_3_8-5	SIU	154808	25923	0.999999999999992	13131	FB-COL14A1	atac	FB-COL14A1	0.664386738227826
SIU_3_8-6	SIU	51436	12176	0.999999999999959	9549	FB-COL14A1	atac	FB-COL14A1	0.528935751662232
SIU_3_8-7	SIU	102508	20019	1.00000000000003	12285	1	atac	SM-Visceral	0.690840483165804
SIU_3_9-1	SIU	143754	22304	0.999999999999941	12718	1	atac	FB-ZEB1	0.741842161806183
SIU_3_9-2	SIU	47505	11376	0.999999999999944	9231	T	atac	T	0.430290184614274
SIU_3_9-3	SIU	113231	21781	1.00000000000001	12424	1	atac	FB-ADAMDEC1	0.516083653228315
SIU_3_9-4	SIU	118527	22810	1.00000000000008	12504	FB-COL14A1	atac	FB-COL14A1	0.824786896776136
SIU_3_9-5	SIU	132662	23533	0.999999999999698	12973	8	atac	FB-KCNN3	0.944589917704464
SIU_3_9-6	SIU	132330	21588	1.00000000000022	12759	1	atac	FB-ZEB1	0.501635016246168
