plate	seqID	species	individual	sex	week_age	sample_type	tissue	samplingPos	identity	barcodeToSample	sequence_depth_G	sampling_time	sampling_stuff	sequencing_time	library_stuff	flow_cytometer	FACS_stuff	amplification	marker	ERCC_ratio	sort_order	remark
PR10_XXL_T-7	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-8	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-9	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-10	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_X-mono-1	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-2	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-3	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-4	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-5	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-6	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-7	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-8	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-9	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-10	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-11	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-mono-12	03_blood_46	human	test-X	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	0.2	NA	NA
PR10_XXL_X-NK-1	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-2	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-3	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-4	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-5	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-6	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-7	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-8	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-9	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-10	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-11	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-NK-12	03_blood_46	human	test-X	M	NA	Adult	blood	blood	NK cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD56+	0.2	NA	NA
PR10_XXL_X-T-1	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-2	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-3	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-4	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-5	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-6	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-7	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-8	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-9	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-10	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-11	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-T-12	03_blood_46	human	test-X	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	0.2	NA	NA
PR10_XXL_X-B-2	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-3	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-4	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-5	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-6	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-7	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-8	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-9	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-10	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-11	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PR10_XXL_X-B-12	04_B_11	human	test-X	M	NA	Adult	blood	blood	B cell	12x8	0.3	NA	NA	20180829	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD19+	0.2	NA	NA
PD10_XXL_GM_sl-1	05_GM_02	human	NA	F	NA	Cell line	GM12878	GM12878	GM12878	12x8	0.03	NA	NA	20181023	mawp	BD_Aria_III_Phoenix	NA	manual 	NA	1	NA	NA
PD10_XXL_GM_sl-2	05_GM_02	human	NA	F	NA	Cell line	GM12878	GM12878	GM12878	12x8	0.03	NA	NA	20181023	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	Rotate 180 degree on the PCR instrument.
PR10_XXL_LI-1	06_ft0_04	human	F0	NA	NA	Fetal	large intestine	large intestine	mixture	12x8	0.3	NA	NA	20181109	mawp	BD_Aria_SORP_Phoenix	zhouf	machine 	NA	0.5	NA	NA
PR10_XXL_LI-20	06_ft0_04	human	F0	NA	NA	Fetal	large intestine	large intestine	mixture	12x8	0.3	NA	NA	20181109	mawp	BD_Aria_SORP_Phoenix	zhouf	machine 	NA	0.5	NA	NA
PR10_XXL_SI-1	06_ft0_04	human	F0	NA	NA	Fetal	small intestine	small intestine	mixture	12x8	0.3	NA	NA	20181109	mawp	BD_Aria_SORP_Phoenix	zhouf	machine 	NA	0.5	NA	NA
PR10_XXL_SI-20	06_ft0_04	human	F0	NA	NA	Fetal	small intestine	small intestine	mixture	12x8	0.3	NA	NA	20181109	mawp	BD_Aria_SORP_Phoenix	zhouf	machine 	NA	0.5	NA	NA
PD10_XXL_LoVo-1	07_LoVo_02	human	NA	M	NA	Cell line	LoVo	LoVo	LoVo	12x8	0.3	NA	NA	20181119	mawp	BD_Aria_III_Phoenix	zhouf	machine 	NA	0.5	NA	ERCC is old.
PD10_XXL_LoVo-2	07_LoVo_02	human	NA	M	NA	Cell line	LoVo	LoVo	LoVo	12x8	0.3	NA	NA	20181119	mawp	BD_Aria_III_Phoenix	zhouf	machine 	NA	0.5	NA	ERCC is old.
PD10_XXL_HJC_sl-1	08_ft1_05	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.06	20181204	yongj/yangm	20181213	mawp	BD_Aria_II	zhouf	machine 	NA	0.5	20181204_1	NA
PD10_XXL_SD_sl-1	08_ft1_05	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.06	20181204	yongj/yangm	20181213	mawp	BD_Aria_II	zhouf	machine 	NA	0.5	20181204_11	NA
PD10_XXL_SEZC_sl-1	08_ft1_05	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.06	20181204	yongj/yangm	20181213	mawp	BD_Aria_II	zhouf	machine 	NA	0.5	20181204_7	NA
PD10_XXL_WD_sl-1	08_ft1_05	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.06	20181204	yongj/yangm	20181213	mawp	BD_Aria_II	zhouf	machine 	NA	0.5	20181204_8	NA
PD10_XXL_XCS_sl-1	08_ft1_05	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.06	20181204	yongj/yangm	20181213	mawp	BD_Aria_II	zhouf	machine 	NA	0.5	20181204_4	NA
PR10_XXL_SD-1	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-2	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-3	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-4	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-5	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-6	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-7	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-8	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-9	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-10	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_SD-11	09_D1_45	human	F1	M	19	Fetal	esophagus	esophagus	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_11	NA
PR10_XXL_WD-1	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-2	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-3	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-4	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-5	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-6	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-7	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-8	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-9	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_WD-10	09_D1_45	human	F1	M	19	Fetal	stomach	fundus of stomach	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_8	NA
PR10_XXL_XCS-1	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-2	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-3	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-4	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-5	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-6	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-7	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-8	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-9	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-10	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-11	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCS-12	09_D1_45	human	F1	M	19	Fetal	small intestine	upper segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_4	NA
PR10_XXL_XCX-1	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
