tissue	samplingPos	class	predicted.ident	prediction.score.max	Reads	Aligned_ratio	Num_frags	Mito_ratio	FRiP	Peaks_detected	tSNE_1	tSNE_2
GS_1_6-4	Bone marrow	Bone marrow	Mast	Mast	0.846730550156879	642541	0.9843	95675	0.00793157737968597	0.678327671805592	31492	24.8954185805176	13.9897825743669
GS_1_6-5	Bone marrow	Bone marrow	Mast	Mast	0.675895670761442	1138616	0.9869	166694	0.0059293237294495	0.515675429229606	39748	36.4826047702984	20.71677866965
GS_1_6-6	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.9201035125862	694294	0.9798	97423	0.0126151763868885	0.59790809151843	29598	32.3775368026081	30.1184653391268
GS_1_6-7	Bone marrow	Bone marrow	B	Pre-B	0.438944735330241	1389566	0.9889	160771	0.0134648683131322	0.292503001163145	24511	30.9971164000415	9.03129933033959
GS_1_6-8	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.904921759714639	2620684	0.99	293585	0.00409167125362317	0.321716027726212	44104	32.6032926931492	29.7391401081074
GS_1_7-1	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.479070067207511	225353	0.9714	52248	0.0158827860048035	0.649804777216353	20829	26.6200528854814	17.1645197599743
GS_1_7-2	Bone marrow	Bone marrow	B	B-Prol	0.291492106022506	189942	0.9663	52679	0.0328582232823317	0.671652840790448	21677	28.1313146254609	14.9230017845552
GS_1_7-3	Bone marrow	Bone marrow	B	Pre-B	0.602807963122156	390058	0.9796	62740	0.00609177965298189	0.637105514823079	22310	23.3819905627548	30.095027205757
GS_1_7-4	Bone marrow	Bone marrow	B	Pro-B	0.503010082821425	213405	0.9757	52605	0.0197615076926935	0.666647657066819	21342	31.3737030964825	13.7467243584933
GS_1_7-5	Bone marrow	Bone marrow	B	Pre-B	0.383976014863926	1073685	0.9869	134062	0.00705123816754937	0.411272396353926	29226	26.5963157559482	11.6859714605836
GS_1_7-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.583940292575384	222320	0.9436	64551	0.0175763109424933	0.557357748137132	23538	31.5688105317867	13.8191940992013
GS_1_7-8	Bone marrow	Bone marrow	B	Pre-B	0.698850671086867	270168	0.9748	57925	0.0183473968338886	0.569702201122141	20416	29.8078120561948	24.9056327054345
GS_1_8-1	Bone marrow	Bone marrow	B	Pre-B	0.717309819777739	398986	0.9785	55038	0.0132405715988444	0.777008612231549	21376	20.4879132291786	29.2724691183513
GS_1_8-2	Bone marrow	Bone marrow	B	Pre-B	0.892633090131756	559176	0.9815	91653	0.0101547821418985	0.499132597950967	24363	41.3802986758203	-0.270700627649819
GS_1_8-3	Bone marrow	Bone marrow	B	B-Prol	0.411273466195914	452741	0.9844	69714	0.0200586911173705	0.468198640158361	18807	24.876100378751	9.39110004453699
GS_1_8-4	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.979600956609066	351047	0.98	66485	0.0149284859661255	0.623178160487328	24068	30.586792891323	20.7269430322211
GS_1_8-5	Bone marrow	Bone marrow	B	Pre-B	0.412362839009489	401843	0.9762	77002	0.0402263676378118	0.558362120464403	25176	31.3061337136057	14.1445538609512
GS_1_8-6	Bone marrow	Bone marrow	B	Pre-B	0.934397056972929	474450	0.9756	86283	0.0144583737359745	0.670479700520381	28972	41.675929411373	2.25438187226198
GS_1_8-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.565719069982476	608758	0.987	82689	0.041722478543434	0.358632949969162	18242	26.1230091799431	11.6045316408826
GS_1_8-8	Bone marrow	Bone marrow	B	Pre-B	0.456423811578367	334145	0.9831	65340	0.0156584431677368	0.52842056932966	22377	31.8264424303107	14.0080093367864
GS_1_9-1	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.951144617953247	1342931	0.9841	148967	0.0100562749856803	0.600763927581276	35363	33.4699521952432	34.805561040725
GS_1_9-2	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.454813029475718	203421	0.9669	39305	0.0271587743732591	0.63846838824577	15334	25.0328197523783	8.38501701400152
GS_1_9-3	Bone marrow	Bone marrow	B	B-Prol	0.581792780959392	160717	0.9743	38352	0.0258738332211285	0.678321860659157	16608	27.469604012036	10.0419126677741
GS_1_9-4	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.62626393073475	449985	0.9838	74863	0.027926632255014	0.495024244286229	22427	31.7623351577576	29.621595437021
GS_1_9-5	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.724026628658133	302162	0.9791	69303	0.0140179438215433	0.478565141480167	21672	29.5844797834458	20.1370246241956
GS_1_9-6	Bone marrow	Bone marrow	Mast	Mast	0.310438213640606	649576	0.9772	113339	0.026063646414094	0.51062740980598	31645	30.5638801938903	12.5604337569459
GS_1_9-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.291690487793118	193170	0.9741	48841	0.0218167333118843	0.620871808521529	18534	31.2871806835942	9.43042867773243
GS_1_9-8	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.959276833993862	698878	0.9848	114469	0.0094774203292554	0.47644340389101	28337	32.5309348803782	29.7896343749007
GS_1_10-1	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.65038361416584	734507	0.9505	107233	0.0132872413387	0.379472736937323	25497	27.6145159759062	17.194381207637
GS_1_10-2	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.511321221403929	342956	0.9784	54499	0.0315985384478535	0.573882089579625	17480	27.541278836005	9.53322221299041
GS_1_10-3	Bone marrow	Bone marrow	B	Pre-B	0.374316026134723	148091	0.9464	29500	0.0417723336044787	0.68128813559322	13347	24.3865153892746	9.13126296906299
GS_1_10-4	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.423856717162912	721349	0.983	99745	0.019659477474055	0.443350543886912	22466	29.3637403592996	8.61329028451249
GS_1_10-5	Bone marrow	Bone marrow	B	Pre-B	0.744373538279159	737411	0.9815	107472	0.0130989708496403	0.630917820455561	33124	42.4635062701013	-1.6621804860125
GS_1_10-6	Bone marrow	Bone marrow	B	Pre-B	0.399594188592038	155937	0.9494	35467	0.0333465361474189	0.611526207460456	14964	25.888348864752	17.6294198303561
GS_1_10-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.315421303858247	220652	0.9718	53507	0.0138304807434203	0.619545106247781	20911	29.9796290728352	14.5534932887048
GS_1_10-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.508218148259863	187048	0.9641	45862	0.02129880296161	0.58074222668004	17200	25.8433916257676	9.88633382201095
GS_1_11-1	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.495598850318192	199441	0.9604	47558	0.0246318258829662	0.726081836914925	21704	27.5963220535337	16.5398972775163
GS_1_11-2	Bone marrow	Bone marrow	B	Pre-B	0.716702855139048	473738	0.9827	71033	0.0279730521382542	0.644038686244422	25073	37.0328834324591	2.05821718683332
GS_1_11-3	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.657785984593895	402399	0.9756	65989	0.0132031068733496	0.714891875918714	25500	32.4703986780293	21.7355082479351
GS_1_11-4	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.358272122733437	269257	0.9505	59673	0.0170431022586136	0.610343036214033	22554	28.0788966216055	15.234871943169
GS_1_11-5	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.337386676548673	308234	0.9814	65326	0.0188494519592177	0.521262590698956	21406	26.6608777361776	11.2791877526916
GS_1_11-6	Bone marrow	Bone marrow	B	Pre-B	0.327797875592574	226530	0.9656	44253	0.0399600874275397	0.65285969312815	16966	28.6666049406088	8.32817854337904
GS_1_11-7	Bone marrow	Bone marrow	B	Pre-B	0.78246574934826	245159	0.981	56967	0.0137454685268593	0.540225042568505	19148	37.1867501269035	6.03208292306991
GS_1_11-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.375939287027535	244419	0.9805	58108	0.013556627873971	0.601776003304192	22424	25.9001972005822	18.7219210253312
GS_1_12-1	Bone marrow	Bone marrow	B	Pre-B	0.613710421131019	686852	0.9821	86870	0.0150251450676983	0.685967537700012	29656	26.4250684177763	23.8761670894141
GS_1_12-2	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.936644641401461	402012	0.9781	82223	0.0072026308556915	0.548350218308746	25621	31.4251418207878	31.0902509722881
GS_1_12-3	Bone marrow	Bone marrow	B	Pre-B	0.351736603178616	798340	0.9863	112984	0.0143256286512573	0.372335905968987	25480	30.4887131087738	12.6352066127876
GS_1_12-4	Bone marrow	Bone marrow	B	Pre-B	0.395125707991746	274307	0.9782	52786	0.0465092283285827	0.649225173341416	20814	39.3854473547256	4.31716816430354
GS_1_12-6	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.476562798612699	816603	0.9821	118728	0.0125048626091877	0.477553736271141	27528	31.3508872707357	31.2484516994796
GS_1_12-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.544955462573708	522885	0.983	78284	0.0160133547669099	0.412472535894947	19091	24.3025774582197	9.35120817349174
GS_1_12-8	Bone marrow	Bone marrow	B	Pre-B	0.623343871437692	402369	0.972	84352	0.0105960781256091	0.684903736722307	29554	39.4819540729878	5.33505727003986
GS_2_1-1	Bone marrow	Bone marrow	B	Pre-B	0.390385699991021	1179869	0.98	119564	0.0158404485790748	0.534249439630658	31570	16.4103748754862	13.0688573968025
GS_2_1-2	Bone marrow	Bone marrow	B	Pre-B	0.495639164111831	477078	0.974	71820	0.0104852451398033	0.65510999721526	25717	32.0802121584289	-0.785212060407192
GS_2_1-3	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.846264269610877	534422	0.966	58330	0.0242161782958286	0.729590262300703	23996	24.5635741907691	36.3362612505704
GS_2_1-4	Bone marrow	Bone marrow	B	Pre-B	0.463841053047848	849756	0.9801	150759	0.0118623419260005	0.338732679309361	29930	8.92431368989566	22.6623759516068
GS_2_1-5	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.397282158691852	249341	0.938	64172	0.0162505418800014	0.607367699308109	23308	14.7300153978497	13.0807297045556
GS_2_1-6	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.870621929003129	657289	0.966	72822	0.0188155399914871	0.778761912608827	29078	22.992582558444	35.3024858049819
GS_2_1-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.364118645108837	747417	0.9596	90511	0.0195865633074935	0.546154611041752	26030	14.7827189606711	12.2457533126356
GS_2_1-8	Bone marrow	Bone marrow	Mast	Mast	0.526288412036549	1428161	0.9779	176007	0.00820298891035531	0.420682131960661	38260	4.43352835872971	23.0870929546424
GS_2_2-1	Bone marrow	Bone marrow	B	Pre-B	0.358329772422431	447134	0.9623	73071	0.0326850890503953	0.634246144161158	26203	18.1648009358595	11.7749644329124
GS_2_2-2	Bone marrow	Bone marrow	B	Pre-B	0.56861185941486	147627	0.9089	38415	0.0267244559203246	0.694155928673695	17837	-5.73919937462027	19.0548920897631
GS_2_2-3	Bone marrow	Bone marrow	B	Pre-B	0.35936777676558	228152	0.9505	46700	0.0309116633858268	0.742655246252677	20772	14.6363009489293	12.1777573400567
GS_2_2-5	Bone marrow	Bone marrow	Mast	Mast	0.507183611396856	692098	0.9716	97702	0.0185137407364572	0.534666639372787	28626	27.4627774730653	11.2770352297009
GS_2_2-6	Bone marrow	Bone marrow	B	Pre-B	0.341814743458503	334454	0.9338	57363	0.022503278752386	0.637518958213483	21252	14.4025081750656	12.9460881226742
GS_2_2-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.372072213565842	319740	0.953	74962	0.0164889866014021	0.577372535417945	26103	1.92548957591069	22.9939236060332
GS_2_2-8	Bone marrow	Bone marrow	B	Pre-B	0.746713065259569	824282	0.9531	103554	0.0105082724698167	0.741352337910655	36106	34.2629730752623	-3.2543808588554
GS_2_3-1	Bone marrow	Bone marrow	B	Pre-B	0.482546243235679	431704	0.9644	64736	0.0217741408953405	0.711026322293623	25312	15.8837270437386	13.2151054639216
GS_2_3-2	Bone marrow	Bone marrow	B	Pre-B	0.618630506595212	273689	0.9582	56503	0.0146121560702627	0.59239332424827	21285	-1.05575031776932	17.0792082365596
GS_2_3-3	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.609829584732502	676583	0.9704	107061	0.0114696839447658	0.468022902831096	28679	16.5376678006043	13.3758452284434
GS_2_3-4	Bone marrow	Bone marrow	Mast	Mast	0.385375038649815	233340	0.9144	52693	0.0298954109496805	0.673713776023381	21635	-4.43139655822084	20.754900015632
GS_2_3-5	Bone marrow	Bone marrow	B	Pre-B	0.317015467304426	401577	0.9738	74484	0.0269208891222543	0.503289297030235	23890	2.00719696499335	24.1189325034218
GS_2_3-6	Bone marrow	Bone marrow	Mast	Mast	0.515067367711609	829149	0.9743	72577	0.0388954184470392	0.575471568127644	21456	14.8797013625849	12.9534581518927
GS_2_3-7	Bone marrow	Bone marrow	Mast	Mast	0.780134606077179	613123	0.9758	78494	0.0228180759223576	0.692486049889164	28226	34.6853460848088	21.3994801898303
GS_2_3-8	Bone marrow	Bone marrow	Mast	Mast	0.624972522702959	423754	0.97	101388	0.0219210019404778	0.596323036256756	32151	14.0943122106875	14.7133772818067
GS_2_4-1	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.900785932660923	1110722	0.9748	88657	0.010382667144476	0.727150704400104	31841	25.437885939417	35.501305439393
GS_2_4-3	Bone marrow	Bone marrow	B	Pre-B	0.794086197518726	424456	0.9595	51216	0.012667158387583	0.785184317400812	22761	35.4270994324504	-2.42732300951282
GS_2_4-4	Bone marrow	Bone marrow	Mast	Mast	0.297679726773788	443519	0.9709	88199	0.0094726062467998	0.476445311171328	26049	0.783849031859193	18.7222457497794
GS_2_4-5	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.81535649591705	515490	0.9783	71323	0.0120803025894676	0.70542461758479	27701	24.2864039573915	36.1283823705038
GS_2_4-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.454572492682969	345740	0.9735	61244	0.0300793286566577	0.564985957808112	21302	19.1519401998878	12.2692346918775
GS_2_4-8	Bone marrow	Bone marrow	B	Pre-B	0.376847607371532	236221	0.9345	60301	0.0202133223064106	0.771645578016948	25015	15.5465627544009	13.4333640197423
GS_2_5-1	Bone marrow	Bone marrow	B	Pre-B	0.5145332933648	276617	0.9635	52292	0.0270110437210326	0.77325403503404	22401	15.9168843583176	13.0545191686087
GS_2_5-2	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.889040743066419	846431	0.9785	96984	0.0113845307854897	0.705508125051555	31096	24.8888963066425	36.2911041665196
GS_2_5-4	Bone marrow	Bone marrow	B	Pre-B	0.580814197800336	623648	0.9539	83174	0.0106355068515267	0.68617596845168	28537	34.7021742762108	-2.42190204358441
GS_2_5-5	Bone marrow	Bone marrow	B	Pre-B	0.446831294009807	327191	0.9686	62422	0.0226316062983942	0.660904809201884	22867	15.5522927482457	13.5639043539566
GS_2_5-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.693055685307091	231102	0.911	40442	0.0339080978604315	0.775382028584145	19131	15.8430900924465	12.4369122161033
GS_2_5-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.435215965564537	382794	0.9723	59529	0.0237182218434881	0.604512086546053	21246	16.1103834310894	12.7884852850312
GS_2_5-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.43559498036	453045	0.9712	76615	0.0254245794355001	0.761521895190237	29648	16.1495167540555	13.7333278606984
GS_2_6-1	Bone marrow	Bone marrow	B	Pre-B	0.254055191466718	334217	0.9474	58693	0.0160035161198583	0.595318010665667	21911	-1.03893773980954	17.1416584117145
GS_2_6-2	Bone marrow	Bone marrow	B	Pre-B	0.771384242069683	235852	0.9653	49092	0.0246748420661464	0.612767864417828	19130	14.1085196237836	13.6726533491214
GS_2_6-4	Bone marrow	Bone marrow	B	Pre-B	0.698047155770219	296652	0.9428	65778	0.0186794582392777	0.774605491197665	27921	34.3598735335558	-3.34621095394129
GS_2_6-5	Bone marrow	Bone marrow	B	Pre-B	0.648963963234965	182010	0.9653	43929	0.0265718989941803	0.762343782011883	20714	14.0777216456067	12.9174154713303
GS_2_6-6	Bone marrow	Bone marrow	B	B-Prol	0.501939361198626	399325	0.9594	57025	0.0322255394929814	0.641122314774222	21835	16.2242809347036	13.0754634594565
GS_2_6-8	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.770689463094586	1678783	0.9722	151599	0.0129391554915217	0.597108160344066	39928	24.2645939935132	35.7674658515555
GS_2_7-1	Bone marrow	Bone marrow	B	Pre-B	0.417052817942567	703151	0.9631	102657	0.0136553973096829	0.586798757025824	30894	10.524871628158	26.1568179228553
GS_2_7-2	Bone marrow	Bone marrow	B	Pre-B	0.891065734791003	563501	0.975	63593	0.019311979225756	0.681663076124731	22337	32.194668283688	-0.406580643413974
GS_2_7-4	Bone marrow	Bone marrow	Mast	Mast	0.820795329959498	1132587	0.9666	136304	0.0116714588377724	0.584627010212466	38701	39.4916445490307	17.7599879468978
GS_2_7-5	Bone marrow	Bone marrow	B	Pre-B	0.704146731502101	490429	0.9697	71870	0.0110348770726129	0.729108111868652	27155	35.6655013725182	-2.98649517382899
GS_2_7-6	Bone marrow	Bone marrow	B	Pre-B	0.271731656099739	299437	0.9487	75638	0.0254937596015784	0.556651418599117	25667	14.5685790994638	13.2448062892084
GS_2_7-7	Bone marrow	Bone marrow	Mast	Mast	0.812432884983068	1147310	0.9792	119059	0.0064530349786419	0.610252059903073	34164	13.5884305958396	8.06548595837281
GS_2_8-1	Bone marrow	Bone marrow	B	Pre-B	0.719004509324389	329668	0.9412	55499	0.0281209401204677	0.766302095533253	24225	16.4000339055536	13.3900815058048
GS_2_8-3	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.423057962483874	467138	0.9603	76186	0.0223290203327172	0.503176436615651	23701	15.5193814684209	13.2789164393029
GS_2_8-4	Bone marrow	Bone marrow	B	Pre-B	0.626201213740129	181555	0.9195	52980	0.0185371149409689	0.731577953944885	23157	15.0934121855016	13.1948471595068
GS_2_8-5	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.772803065999018	651273	0.9691	93983	0.020266881531239	0.52710596597257	27000	16.9080754626112	12.4985845878859
GS_2_8-7	Bone marrow	Bone marrow	B	Pre-B	0.842655769620614	904304	0.9728	112496	0.0347414523876801	0.679544161570189	32291	34.788775288939	-0.636145055601693
GS_2_8-8	Bone marrow	Bone marrow	B	Pro-B	0.253991792422086	425023	0.9721	88425	0.0194160762805313	0.5722363584959	29571	2.09528213123359	22.7673726294
GS_2_9-1	Bone marrow	Bone marrow	B	Pre-B	0.639929504649065	556808	0.9599	74180	0.0294823225470295	0.551428956592073	23695	15.4091711261958	13.5374180005117
GS_2_9-2	Bone marrow	Bone marrow	B	Pre-B	0.546862182089962	239839	0.9669	45043	0.0526801760952365	0.699842372843727	19261	14.0794363345718	12.9106086944699
GS_2_9-3	Bone marrow	Bone marrow	B	B-Prol	0.300178678861712	240989	0.9598	56377	0.0171217641188424	0.521577948454157	19889	15.2901962269318	13.0631029102868
GS_2_9-4	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.878234354941153	1008186	0.9788	127271	0.00776791933747529	0.502816823942611	32794	25.1886167925865	35.7100796644876
GS_2_9-5	Bone marrow	Bone marrow	B	Pre-B	0.556807252336983	162326	0.9472	35162	0.0450016675004169	0.784824526477447	16959	13.673918664265	16.0151481513503
GS_2_9-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.321893245930269	264153	0.9469	42400	0.0513758302423876	0.702382075471698	19122	14.722482889116	12.9751471942865
GS_2_9-7	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.864730993326353	954649	0.9772	72005	0.0176040292601031	0.757447399486147	25999	25.9094505392502	36.5123126882598
GS_2_9-8	Bone marrow	Bone marrow	B	B-Prol	0.35277074136035	175693	0.9194	60176	0.0378617831142148	0.728812151023664	26309	2.07195454322871	22.7825368732662
GS_2_10-1	Bone marrow	Bone marrow	B	Pre-B	0.709656361830353	484343	0.9193	74150	0.0221714701483488	0.572596089008766	24434	14.0759811720878	13.6027174325121
