orig.ident	nCount_ATAC	nFeature_ATAC	predicted.id	prediction.score.max	organ	clgrp	tSNE_1	tSNE_2
SIL_2_5-8	SIL	86702	21927	Fibro-COL14A1	0.353549459197262	Small intestine	Fibroblast	-12.1985306271834	35.8691898368323
SIL_2_6-2	SIL	103373	24362	Fibro-COL14A1	0.734622920786186	Small intestine	Fibroblast	-7.4468359723981	45.5198594827321
SIL_2_6-3	SIL	124568	30830	SM-Visceral	0.733826967037734	Small intestine	Smooth muscle	-12.179249737184	35.0370091255646
SIL_2_6-4	SIL	89303	22039	SM-Vascular	0.991346296613759	Small intestine	Smooth muscle	-10.241027603397	19.7997942847538
SIL_2_6-5	SIL	124431	25906	SM-Vascular	1	Small intestine	Smooth muscle	-12.9990256742393	20.8876216094631
SIL_2_6-6	SIL	109349	22801	SM-Vascular	1	Small intestine	Smooth muscle	-10.8501569430544	19.9663037962299
SIL_2_6-8	SIL	94763	22951	Fibro-COL6A5	0.885230733919774	Small intestine	Fibroblast	-15.9974942050576	27.8647232213999
SIL_2_7-4	SIL	83366	21810	SM-Visceral	0.940841681073544	Small intestine	Smooth muscle	-11.401311888277	34.3782878568317
SIL_2_7-5	SIL	91567	22957	B	0.893760978855695	Small intestine	B	14.3286251212396	-48.3259810708439
SIL_2_7-6	SIL	73384	19927	Epi	1	Small intestine	Epithelium	28.9515640866782	26.4366941032213
SIL_2_7-7	SIL	96264	23055	Fibro-COL14A1	0.92561116198593	Small intestine	Fibroblast	-8.16052807100984	45.8695700381715
SIL_2_7-8	SIL	64438	16750	Fibro-COL14A1	0.863451252964798	Small intestine	Fibroblast	-5.6117348750884	48.1383067953522
SIL_2_8-1	SIL	89141	21686	Fibro-COL14A1	0.731901906087674	Small intestine	Fibroblast	-10.6455040809853	39.5491659794742
SIL_2_8-3	SIL	95340	23460	SM-Visceral	0.991355003267043	Small intestine	Smooth muscle	-11.5138107694897	33.7460633294284
SIL_2_8-5	SIL	191755	30218	Fibro-COL6A5	0.655431262656201	Small intestine	Fibroblast	-16.1678978557824	28.6703808792425
SIL_2_8-6	SIL	47046	12772	SM-Visceral	0.754335721060527	Small intestine	Smooth muscle	-9.05011812225029	30.8210601404807
SIL_2_9-1	SIL	115323	27941	Endo	1	Small intestine	Endothelium	-43.2488765026664	-3.47174698730372
SIL_2_9-3	SIL	45816	12530	T	0.963280491888837	Small intestine	T	21.1008320095281	-37.627241153755
SIL_2_9-4	SIL	34386	12338	Endo	0.987999025524586	Small intestine	Endothelium	-42.7456467618362	-6.28679850554543
SIL_2_9-5	SIL	109748	23452	DC/Macro	0.95842972173419	Small intestine	DC/Macrophage	26.4328330098655	-15.6874505632553
SIL_2_9-6	SIL	89516	25106	Fibro-COL14A1	0.597449147257222	Small intestine	Fibroblast	-4.13189988436212	42.0549673793941
SIL_2_9-7	SIL	109075	23610	DC/Macro	0.999999999999999	Small intestine	DC/Macrophage	27.0576662423323	-21.3394385217558
SIL_2_10-1	SIL	32773	9496	T	0.959389345702164	Small intestine	T	22.2510546916433	-38.146780045624
SIL_2_10-2	SIL	52873	13798	SM-Visceral	0.596108969793049	Small intestine	Smooth muscle	-9.07703694559185	30.9393237826449
SIL_2_10-5	SIL	97027	25530	Fibro-COL14A1	0.845292293477707	Small intestine	Fibroblast	-7.86633312609351	42.2928975534606
SIL_2_10-6	SIL	50870	14957	Fibro-CXCL14	0.580149470455102	Small intestine	Fibroblast	-13.1231647111658	27.1107511054978
SIL_2_10-8	SIL	79318	16598	Fibro-COL14A1	0.967783754594392	Small intestine	Fibroblast	-11.2438692540423	39.0331333746635
SIL_2_11-2	SIL	114724	27086	DC/Macro	1	Small intestine	DC/Macrophage	24.9847676773033	-24.1693748463885
SIL_2_11-3	SIL	62094	15651	T	0.919954428740922	Small intestine	T	20.0637753430746	-37.4538033584238
SIL_2_11-4	SIL	72128	19118	Fibro-COL6A5	0.860303876186452	Small intestine	Fibroblast	-16.9854039688917	26.7274641019778
SIL_2_11-5	SIL	163486	34479	Epi	0.915756388549497	Small intestine	Epithelium	30.1327568513419	25.5453501465525
SIL_2_11-6	SIL	72875	18169	Epi	0.984434097998534	Small intestine	Epithelium	28.5775282920635	24.6612657488635
SIL_2_11-7	SIL	90025	22962	Fibro-COL14A1	0.710797265599036	Small intestine	Fibroblast	-6.94812721664822	45.9924108381984
SIL_2_11-8	SIL	99825	23766	Fibro-COL14A1	0.92053395649995	Small intestine	Fibroblast	-7.95891068883118	39.4761080401137
SIL_2_12-1	SIL	104607	24884	SM-Visceral	0.958925733244639	Small intestine	Smooth muscle	-13.528106632967	33.0392012346964
SIL_2_12-2	SIL	89389	23650	Fibro-COL14A1	0.613303285451191	Small intestine	Fibroblast	-6.49464387005072	43.8908079194511
SIL_2_12-3	SIL	104326	20602	Endo	1	Small intestine	Endothelium	-40.8880131001037	-5.98600237913142
SIL_2_12-5	SIL	130557	33160	Epi	0.973487012529945	Small intestine	Epithelium	35.8069006704608	28.6708465323518
SIL_3_1-1	SIL	99003	24491	Epi	0.883176824261453	Small intestine	Epithelium	31.6877842689344	26.4660290342581
SIL_3_1-3	SIL	86655	24428	Fibro-COL14A1	0.689694170151366	Small intestine	Fibroblast	-5.72065717678675	43.4245239871164
SIL_3_1-4	SIL	51885	14040	Fibro-ZEB1	0.931566133765146	Small intestine	Fibroblast	-13.0936205678022	28.8559779054423
SIL_3_1-5	SIL	203107	33285	Fibro-ZEB1	0.986728421645586	Small intestine	Fibroblast	-40.5853937886973	30.6077221236519
SIL_3_1-6	SIL	68607	16857	SM-Visceral	0.825988059835987	Small intestine	Smooth muscle	-9.28525537516991	30.7478097669075
SIL_3_1-7	SIL	107708	26251	Glial	1	Small intestine	Glial	16.3358458836033	48.4719656130147
SIL_3_1-8	SIL	78260	19837	Epi	0.956699998894837	Small intestine	Epithelium	25.9418558182277	23.0308944461279
SIL_3_2-1	SIL	36951	10945	DC/Macro	0.999981975995407	Small intestine	DC/Macrophage	24.2769724205454	-14.3062454408848
SIL_3_2-2	SIL	36648	10199	SM-Visceral	0.789131914256231	Small intestine	Smooth muscle	-8.33373389227988	31.2448946222784
SIL_3_2-3	SIL	77346	21990	SM-Vascular	0.978523491271394	Small intestine	Smooth muscle	-10.4025041925604	18.2319399691219
SIL_3_2-4	SIL	106515	26526	Fibro-COL14A1	0.811233486809124	Small intestine	Fibroblast	-9.39047073242858	41.9310823939437
SIL_3_2-5	SIL	99053	23127	SM-Visceral	0.989991132735116	Small intestine	Smooth muscle	-13.1936884879742	33.1199001380789
SIL_3_2-6	SIL	28158	10110	Fibro-COL14A1	0.497898280831504	Small intestine	Fibroblast	-7.57630188955452	33.6464950726149
SIL_3_3-1	SIL	102429	21104	T-Prog	0.674960532133206	Small intestine	T	21.2229368007487	-36.5865592092226
SIL_3_3-2	SIL	55905	16278	Endo	1	Small intestine	Endothelium	-41.6100189204744	-5.32238039513198
SIL_3_3-3	SIL	33236	9615	Glial	1	Small intestine	Glial	14.9572603394308	44.4245203258855
SIL_3_3-4	SIL	129897	28199	DC/Macro	0.999999999999999	Small intestine	DC/Macrophage	25.0203911702	-24.1258248268569
SIL_3_3-5	SIL	152320	30014	Fibro-COL6A5	0.502873484451597	Small intestine	Fibroblast	-17.8022295897317	27.2024004218619
SIL_3_3-6	SIL	261165	38721	Fibro-COL14A1	0.695553464954583	Small intestine	Fibroblast	-7.20676969391298	42.9407728836956
SIL_3_3-7	SIL	123748	22326	Fibro-ZEB1	0.929366607869085	Small intestine	Fibroblast	-16.9435527960214	28.6372393364959
SIL_3_4-1	SIL	132025	33896	Epi	0.693231191432807	Small intestine	Epithelium	29.4184685907473	23.3471088018101
SIL_3_4-2	SIL	100650	26581	Endo	1	Small intestine	Endothelium	-43.2213315536009	-0.0471647278089785
SIL_3_4-5	SIL	119203	27929	Endo	1	Small intestine	Endothelium	-4.9919219182278	-23.9417683073819
SIL_3_4-6	SIL	134685	30403	DC/Macro	1	Small intestine	DC/Macrophage	25.9410870908346	-22.3425440103477
SIL_3_4-7	SIL	92811	23828	Fibro-COL6A5	0.777957117250212	Small intestine	Fibroblast	-17.5937677939511	26.8303242713278
SIL_3_5-1	SIL	101215	23796	Fibro-COL14A1	0.861308302558206	Small intestine	Fibroblast	-9.24946280507295	42.220482350335
SIL_3_5-2	SIL	180075	39630	Epi	0.959096884267218	Small intestine	Epithelium	32.9033440649571	27.470340886895
SIL_3_5-3	SIL	77793	19975	Fibro-COL14A1	0.980949190697269	Small intestine	Fibroblast	-6.7583631398332	47.2927989933923
SIL_3_5-5	SIL	148911	31296	Fibro-COL14A1	0.804124667605336	Small intestine	Fibroblast	-8.81974057851663	41.9096255740079
SIL_3_5-6	SIL	116900	24952	Glial	1	Small intestine	Glial	14.9449947112254	46.8446442655699
SIL_3_5-8	SIL	93348	24482	Fibro-COL14A1	0.752644722400548	Small intestine	Fibroblast	-6.80904881073468	46.4871339740011
SIL_3_6-2	SIL	79120	20024	Fibro-COL14A1	0.970999365042729	Small intestine	Fibroblast	-6.73976505373947	47.1050775181144
SIL_3_6-3	SIL	86002	23867	SM-Vascular	0.971504874123494	Small intestine	Smooth muscle	-13.2244443374989	20.7994416209838
SIL_3_6-4	SIL	80652	20890	SM-Visceral	0.964510052219628	Small intestine	Smooth muscle	-11.2983622007743	34.3070463645991
SIL_3_6-5	SIL	124202	24239	Endo	1	Small intestine	Endothelium	-42.8609412270068	-4.75307033960183
SIL_3_6-6	SIL	31233	10048	T	1	Small intestine	T	22.1008810897522	-37.9203811442227
SIL_3_7-2	SIL	100442	26425	Fibro-COL14A1	0.693544041036734	Small intestine	Fibroblast	-6.05883716134555	44.1193303534998
SIL_3_7-5	SIL	72575	19083	B	0.873642094703535	Small intestine	B	11.6587222534271	-51.5631981436676
SIL_3_7-6	SIL	116940	26369	SM-Visceral	0.998014973553407	Small intestine	Smooth muscle	-11.8692635082698	34.2499097866543
SIL_3_8-1	SIL	91551	22533	Endo	0.997952643138145	Small intestine	Endothelium	-42.7901609799425	-4.06654653130399
SIL_3_8-4	SIL	57863	19106	SM-Visceral	0.894199008305933	Small intestine	Smooth muscle	-5.89639766252632	42.8581919905505
SIL_3_8-5	SIL	81606	22041	SM-Visceral	0.823310756504354	Small intestine	Smooth muscle	-9.53768504885071	37.2338913398379
SIL_3_8-7	SIL	71725	18688	Fibro-COL14A1	0.955916918203944	Small intestine	Fibroblast	-7.2933832224211	46.6803914204257
SIL_3_8-8	SIL	79144	20564	Fibro-COL14A1	0.718216639928506	Small intestine	Fibroblast	-10.0348908650876	36.6933398712551
SIL_3_9-2	SIL	87928	21338	Fibro-COL14A1	0.90765383973806	Small intestine	Fibroblast	-6.8883569097445	47.2665061849715
SIL_3_9-4	SIL	85684	23323	Fibro-COL14A1	0.560650857608671	Small intestine	Fibroblast	-6.15281853722241	44.5178844420708
SIL_3_9-5	SIL	143640	32369	Fibro-COL14A1	0.3948361494432	Small intestine	Fibroblast	-6.0864934630585	42.8449790411907
SIL_3_9-7	SIL	88047	23568	Fibro-GPC3	0.528751385315807	Small intestine	Fibroblast	-6.37897399251259	43.8739958230482
SIL_3_10-2	SIL	93030	23433	Glial	0.934419995357557	Small intestine	Glial	-9.01389199159619	8.61884187932474
SIL_3_10-4	SIL	103604	26949	Epi	0.987068454863531	Small intestine	Epithelium	31.5445822334239	26.6545960904802
SIL_3_10-5	SIL	98315	24340	DC/Macro	0.73142961781974	Small intestine	DC/Macrophage	22.8898476535165	-23.6636448456827
SIL_3_10-6	SIL	85660	22142	SM-Visceral	0.981847094369372	Small intestine	Smooth muscle	-11.4070393327836	33.1567517594892
SIL_3_10-7	SIL	36398	10815	T	0.989362485895876	Small intestine	T	22.9822721466828	-38.0376902407818
SIL_3_11-1	SIL	131556	31377	DC/Macro	0.824904238549677	Small intestine	DC/Macrophage	22.587149743027	-23.8152806422627
SIL_3_11-4	SIL	109792	23813	SM-Vascular	1	Small intestine	Smooth muscle	-10.2768967085065	19.7215675325295
SIL_3_11-6	SIL	222668	37490	DC/Macro	1	Small intestine	DC/Macrophage	25.0027097979536	-24.2833080336425
SIL_3_11-8	SIL	116641	29699	Epi	0.971630062470709	Small intestine	Epithelium	36.0965079979705	28.1127007201585
SIL_3_12-2	SIL	127429	24444	SM-Vascular	1	Small intestine	Smooth muscle	-9.70635455376397	19.3310996784481
SIL_3_12-4	SIL	39231	11117	T	1	Small intestine	T	21.3803486616869	-37.9307756677959
SIL_3_12-5	SIL	140442	31754	SM-Vascular	0.990508443528175	Small intestine	Smooth muscle	-8.70092723954902	22.2857273745568
SIL_3_12-7	SIL	103637	26574	Epi	1	Small intestine	Epithelium	26.9520550344222	24.8557853533512
SIL_4_1-3	SIL	49742	12887	Endo	0.982437124722697	Small intestine	Endothelium	-42.1956302762968	-6.09118581419301
SIL_4_1-4	SIL	96462	26187	Fibro-GPC3	0.400957542305033	Small intestine	Fibroblast	-7.59103275128581	40.4881057779361
SIL_4_1-5	SIL	147869	30322	Glial	1	Small intestine	Glial	13.2433310213412	47.6391031198348
SIL_4_1-7	SIL	98835	27469	Fibro-GPC3	0.394752502200748	Small intestine	Fibroblast	-6.5583483489573	41.4895376039975
SIL_4_2-2	SIL	106789	25193	SM-Vascular	1	Small intestine	Smooth muscle	-10.2108478095465	20.2279052794122
SIL_4_2-3	SIL	93204	20674	SM-Vascular	1	Small intestine	Smooth muscle	-12.6405919968702	20.6189649153747
SIL_4_2-4	SIL	82269	21165	Fibro-GPC3	0.622132736967298	Small intestine	Fibroblast	-10.5289430083605	39.6202370274851
SIL_4_2-5	SIL	109038	22841	T	0.8974052802111	Small intestine	T	18.9315599129899	-37.3424137115631
SIL_4_2-6	SIL	34967	12625	SM-Visceral	0.435118849260072	Small intestine	Smooth muscle	-12.3852970281641	27.854103704944
SIL_4_2-7	SIL	24194	9320	Fibro-COL14A1	0.473368202638285	Small intestine	Fibroblast	-7.53284684616489	33.7074760782824
SIL_4_2-8	SIL	64277	16031	SM-Visceral	0.729199786459088	Small intestine	Smooth muscle	-9.02578927109593	34.9446789613538
SIL_4_3-5	SIL	98399	23504	Epi	0.790289372742333	Small intestine	Epithelium	0.0475878155523261	41.1100889804504
SIL_4_3-6	SIL	92864	22826	Fibro-COL14A1	0.68864182147213	Small intestine	Fibroblast	-7.2633896532818	47.0632307515901
SIL_4_3-7	SIL	93103	24130	Epi	1	Small intestine	Epithelium	28.9228109048968	26.016388633576
SIL_4_3-8	SIL	88956	19332	Fibro-COL6A5	0.782086643467171	Small intestine	Fibroblast	-14.6804642367596	29.3366426881552
SIL_4_4-1	SIL	28488	11999	Epi	0.310694893170987	Small intestine	Epithelium	5.92868541052662	8.09974489472082
SIL_4_4-3	SIL	60842	21198	Epi	0.780423911712033	Small intestine	Epithelium	30.9883145018239	25.4510045667988
SIL_4_4-4	SIL	46535	15072	SM-Visceral	0.904583064122925	Small intestine	Smooth muscle	-10.6464388110509	30.728283594073
