cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.1	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
SEZC-1_38	5706	30772	.	0.0260626543611075	SEZC-1	SEZC	5	6	5-8	8	8	21.1190962674815	-3.5920489616291	0.989415483673655	3228882	0.8768	0.0258126810428066	0.0306389400683545	0.346258251939271	FALSE	TRUE	Epi-R
SEZC-1_41	3535	21413	.	0.0502498482230421	SEZC-1	SEZC	6	1	1-4	7	7	17.3706820410184	-25.6484024750882	0.916041315532268	910528	0.8491	0.0501725263452392	0.108453645633685	0.354745945679525	FALSE	TRUE	LUM-3
SEZC-1_43	1732	7270	.	0.0799174690508941	SEZC-1	SEZC	6	3	1-4	13	13	-27.9267383657375	21.5682121838838	0.955073672317904	358696	0.8225	0.0797638660076881	0.22085445026178	0.297862959953165	FALSE	TRUE	NC
SEZC-1_45	5168	65161	.	0.0185233498565093	SEZC-1	SEZC	6	5	5-8	7	7	16.5756522701718	-19.6073421821888	0.989260791790139	2954857	0.8596	0.018502054080569	0.038578359407045	0.370444705563705	FALSE	TRUE	LUM-3
SEZC-1_46	5157	50491	.	0.0815392842288725	SEZC-1	SEZC	6	6	5-8	8	8	24.5695611791649	-4.65996619354881	0.986899492609712	2778800	0.8698	0.0811871425754289	0.0395713941781812	0.353975672523862	FALSE	TRUE	Epi-R
SEZC-1_47	4903	35088	.	0.0448016415868673	SEZC-1	SEZC	6	7	5-8	6	6	1.40200897778969	15.1029977971777	0.988447655992135	3034424	0.8746	0.0446933727575129	0.0452998643976978	0.362200694185625	FALSE	TRUE	LUM-Ms
SEZC-1_48	4179	36021	.	0.0375336609200189	SEZC-1	SEZC	6	8	5-8	7	7	17.6745492650989	-19.934205245245	0.984042513596282	1623670	0.8701	0.0374328589622903	0.0433640223122388	0.364091707291248	FALSE	TRUE	LUM-3
SEZC-1_49	4995	44852	.	0.0693614554534915	SEZC-1	SEZC	7	1	1-4	15	15	30.2630179909769	-11.8206458715877	0.979021140562239	3690125	0.8632	0.0692780474769518	0.031099657649308	0.352122073716354	FALSE	TRUE	Epi-S
SEZC-1_51	3394	14680	.	0.0371934604904632	SEZC-1	SEZC	7	3	1-4	7	7	16.1074898107089	-22.1012464088396	0.981834538360185	1165478	0.8694	0.0371403305897558	0.0688787268982705	0.351301635995119	FALSE	TRUE	LUM-3
SEZC-1_53	3958	20224	.	0.0263548259493671	SEZC-1	SEZC	7	5	5-8	2	2	1.30926619130028	26.6013316784263	0.988194281531806	2441894	0.8686	0.0262690980778709	0.0604304004719623	0.35295482759378	FALSE	TRUE	LUM-2
SEZC-1_54	4529	37414	.	0.0959533864328861	SEZC-1	SEZC	7	6	5-8	9	9	-37.6178066212702	-0.326050511065896	0.989135449399347	4330414	0.8545	0.0957129145782233	0.0310432974029089	0.337328161996874	FALSE	TRUE	Neutrophil
SEZC-1_55	4994	31270	.	0.109433962264151	SEZC-1	SEZC	7	7	5-8	8	8	24.72283679676	-5.01628792910662	0.987430873544364	3936271	0.869	0.108970480527338	0.0422020006363558	0.342249496499815	FALSE	TRUE	Epi-R
SEZC-1_56	4183	23034	.	0.0421984891898932	SEZC-1	SEZC	7	8	5-8	6	6	6.63881924921994	14.3463257647496	0.983053426542898	2142882	0.8718	0.0421381193913383	0.0372034375619571	0.368714750054707	FALSE	TRUE	LUM-Ms
SEZC-1_57	6189	101750	.	0.0427223587223587	SEZC-1	SEZC	8	1	1-4	15	15	29.6397153152411	-10.1106722437865	0.982073524106009	4275839	0.8778	0.0426130515336581	0.0206642424772523	0.363683488840554	FALSE	TRUE	Epi-S
SEZC-1_59	3970	19221	.	0.0282503511783986	SEZC-1	SEZC	8	3	1-4	2	2	1.48208357809395	25.8423918771882	0.961132546939143	822730	0.8672	0.0281288852051388	0.0625627656972781	0.357369397128881	FALSE	TRUE	LUM-2
SEZC-1_61	4649	51917	.	0.0239998459078914	SEZC-1	SEZC	8	5	5-8	6	6	5.59456424815369	16.2065157823156	0.988854135029539	2571981	0.8614	0.0239629209377464	0.0430243870314993	0.370892079174033	FALSE	TRUE	LUM-Ms
SEZC-1_62	3708	24572	.	0.0689809539313039	SEZC-1	SEZC	8	6	5-8	4	4	9.11759240327373	-29.9556062797617	0.977483320564316	1363667	0.8596	0.0686735272668341	0.118892527397179	0.348975460659143	FALSE	TRUE	Ms-A
SEZC-1_65	3955	16686	.	0.0328419033920652	SEZC-1	SEZC	9	1	1-4	1	1	12.4360250949632	10.8024385535562	0.95157708064514	1674010	0.857	0.0327731595000299	0.0706839611688597	0.362185125019724	FALSE	TRUE	LUM-0
SEZC-1_70	4369	28674	.	0.065459998605008	SEZC-1	SEZC	9	6	5-8	3	3	-25.0449705985244	-14.5204854330623	0.987184965629667	3475789	0.8752	0.0652619867181252	0.0383787307258402	0.343917668696415	FALSE	TRUE	T
SEZC-1_71	4991	39034	.	0.0547983808987037	SEZC-1	SEZC	9	7	5-8	3	3	-27.662192452723	-18.454990920242	0.990135860199289	5259432	0.875	0.0546863015799969	0.0327231904245747	0.346934096900722	FALSE	TRUE	T
SEZC-1_72	3483	16003	.	0.0494907204899081	SEZC-1	SEZC	9	8	5-8	4	4	11.428511816039	-32.9001236428846	0.981429931873123	1442033	0.8665	0.0493857953482572	0.0535620895189108	0.355960701034215	FALSE	TRUE	Ms-A
SEZC-1_73	3375	16406	.	0.0670486407411923	SEZC-1	SEZC	10	1	1-4	14	14	-21.7832188631096	-22.8475929075852	0.957768465874129	1796633	0.8488	0.0669221877471558	0.0592663119264022	0.333415180892027	FALSE	TRUE	T
SEZC-1_75	3819	15538	.	0.116874758656198	SEZC-1	SEZC	10	3	1-4	11	11	16.9771429517908	22.5916517461875	0.983263132543796	1565281	0.852	0.116068004601815	0.0712156005577204	0.33242654147763	FALSE	TRUE	PECAM1
SEZC-1_77	4369	20881	.	0.0387433552032949	SEZC-1	SEZC	10	5	5-8	6	6	2.51977052301758	15.2377082609832	0.988264058486901	2870119	0.8636	0.0386212822838593	0.0481905576774595	0.356801156608309	FALSE	TRUE	LUM-Ms
SEZC-1_78	3308	16600	.	0.0542771084337349	SEZC-1	SEZC	10	6	5-8	4	4	11.4550457887337	-30.6251137909326	0.984568529936356	1834425	0.8671	0.0541629095281034	0.0787420363355725	0.351154296288074	FALSE	TRUE	Ms-A
SEZC-1_80	3472	14712	.	0.042958129418162	SEZC-1	SEZC	10	8	5-8	4	4	11.5955532377901	-32.6318751254317	0.977970544447821	1316252	0.8593	0.0428590804285908	0.0749656602884324	0.350373296228551	FALSE	TRUE	Ms-A
SEZC-1_81	3958	32297	.	0.0445552218472304	SEZC-1	SEZC	11	1	1-4	13	13	-24.8746200052325	19.2391712172065	0.95415926349955	1465862	0.8618	0.0445001082351486	0.068092021567494	0.350690352965838	FALSE	TRUE	NC
SEZC-1_82	3051	27608	.	0.0586424224862359	SEZC-1	SEZC	11	2	1-4	6	6	2.56052863404591	15.4429777314833	0.939303120797564	1333429	0.8363	0.0585639356122264	0.0854344839273933	0.334524066061371	FALSE	TRUE	LUM-Ms
SEZC-1_85	3857	33560	.	0.0351609058402861	SEZC-1	SEZC	11	5	5-8	7	7	16.4548989126525	-23.6251637291186	0.983509966077645	1341109	0.8572	0.0350981558596074	0.0692680367597998	0.356108128635198	FALSE	TRUE	LUM-3
SEZC-1_86	3679	30328	.	0.0525586916380902	SEZC-1	SEZC	11	6	5-8	4	4	10.3715231308512	-29.3863355732109	0.98111064274263	1448305	0.857	0.0524687294272548	0.0660225981804114	0.352128425482619	FALSE	TRUE	Ms-A
SEZC-1_88	4219	36279	.	0.0461423964276854	SEZC-1	SEZC	11	8	5-8	7	7	16.7050562739021	-19.7361556306392	0.984970501393628	1343474	0.8663	0.0460776218001652	0.062134691208813	0.360433525977329	FALSE	TRUE	LUM-3
SEZC-1_89	4795	25314	.	0.0396223433673066	SEZC-1	SEZC	12	1	1-4	11	11	19.3523982732174	28.8580667468154	0.967940779254056	1688695	0.856	0.0395613931290183	0.0522811267022383	0.359053725208758	FALSE	TRUE	PECAM1
SEZC-1_90	2084	8598	.	0.0929285880437311	SEZC-1	SEZC	12	2	1-4	9	9	-39.5534421275649	-1.15012672972734	0.95474201182113	1189551	0.8355	0.0916915308698646	0.13641032664521	0.262829668086879	FALSE	TRUE	Neutrophil
SEZC-1_91	3391	13007	.	0.0608134081648343	SEZC-1	SEZC	12	3	1-4	4	4	5.62296080564577	-28.3879709924145	0.980748317142677	783938	0.859	0.0607433573951774	0.070378795524949	0.350923439470361	FALSE	TRUE	Ms-A
SEZC-1_93	5461	37736	.	0.1499894000424	SEZC-1	SEZC	12	5	5-8	8	8	23.4339406527987	0.752699408179899	0.990088462713358	2221039	0.8453	0.149672096467104	0.0330157033909991	0.348926781986786	FALSE	TRUE	Epi-R
SEZC-1_94	2961	11439	.	0.0503540519276161	SEZC-1	SEZC	12	6	5-8	2	2	2.13910394816653	26.546056626208	0.977561252597497	933135	0.8509	0.0502573946427013	0.0855962561711961	0.335442356973416	FALSE	TRUE	LUM-2
SEZC-1_95	3014	10650	.	0.115211267605634	SEZC-1	SEZC	12	7	5-8	11	11	18.0511578279591	23.9426727992109	0.981412539963362	1218062	0.8447	0.114801646706587	0.106036934728973	0.317602271640837	FALSE	TRUE	PECAM1
SEZC-1_96	4111	18696	.	0.0776636713735558	SEZC-1	SEZC	12	8	5-8	11	11	17.2386741660695	22.7112502339393	0.979515635810747	1058334	0.8563	0.07744	0.0494742955560451	0.351700518125325	FALSE	TRUE	PECAM1
SEZC-2_01	3853	14683	.	0.0286045086154056	SEZC-2	SEZC	1	1	1-4	1	1	10.4378257858022	6.54390945382993	0.959095796281591	1680289	0.8886	0.0285481239804241	0.050378468800492	0.359846946754987	FALSE	TRUE	LUM-0
SEZC-2_05	1906	7541	.	0.0592759580957433	SEZC-2	SEZC	1	5	5-8	12	12	-25.9130139297178	7.98827431871945	0.938973545905634	806432	0.8409	0.0591504565303692	0.129142632950932	0.302535327524307	FALSE	TRUE	Erythrocyte
SEZC-2_07	4367	22201	.	0.039772983198955	SEZC-2	SEZC	1	7	5-8	4	4	8.30369138266003	-31.086676613384	0.985804485086	3091105	0.8909	0.0397193108722055	0.0429515861352986	0.364650478581635	FALSE	TRUE	Ms-A
SEZC-2_11	5982	43357	.	0.0589293539682174	SEZC-2	SEZC	2	3	1-4	15	15	28.545772339297	-10.9701408801514	0.986289505351827	2819146	0.8856	0.0588248837316388	0.0260370781045639	0.363701524525745	FALSE	TRUE	Epi-S
SEZC-2_13	4020	16659	.	0.0556455969746083	SEZC-2	SEZC	2	5	5-8	13	13	-25.5843754990421	20.2700944732009	0.981731759251926	1927213	0.8817	0.0555123061261153	0.0978655492058842	0.355084222214675	FALSE	TRUE	NC
SEZC-2_16	2822	9364	.	0.058842375053396	SEZC-2	SEZC	2	8	5-8	9	9	-33.4845840383288	-1.60571515004709	0.969218476867761	1201371	0.8655	0.0584243452444067	0.0773616890121745	0.325132276788966	FALSE	TRUE	Neutrophil
SEZC-2_17	3429	10531	.	0.0417814072737632	SEZC-2	SEZC	3	1	1-4	6	6	7.19330001567433	8.78717458513104	0.956687240268522	1310587	0.8824	0.0416785071516529	0.0820409434628041	0.352340858013172	FALSE	TRUE	LUM-Ms
SEZC-2_21	2439	6866	.	0.0825808330905913	SEZC-2	SEZC	3	5	5-8	0	0	11.6184947857943	4.57058377967554	0.960217061674086	796396	0.7894	0.0822931785195936	0.149443690378329	0.328601541976598	FALSE	TRUE	LUM-1
SEZC-2_22	3867	16984	.	0.0710080075365049	SEZC-2	SEZC	3	6	5-8	3	3	-26.1761331328294	-18.775828471954	0.969615824599742	1691588	0.868	0.0707704946892788	0.06614029990525	0.351684812838458	FALSE	TRUE	T
SEZC-2_23	3434	10999	.	0.0427311573779434	SEZC-2	SEZC	3	7	5-8	7	7	7.64288778581708	-25.3963046971724	0.972782819539403	1697353	0.8789	0.0426342525399129	0.102791074004991	0.345612805052125	FALSE	TRUE	LUM-3
SEZC-2_24	3370	12207	.	0.0724174653887114	SEZC-2	SEZC	3	8	5-8	13	13	-27.31735021276	21.3493973427797	0.966155049227867	1212647	0.8715	0.0721573749081708	0.0670985467977663	0.351261448203046	FALSE	TRUE	NC
SEZC-2_25	5482	39414	.	0.068300603846349	SEZC-2	SEZC	4	1	1-4	15	15	29.6793319542231	-11.9151738102347	0.981905671745491	3673623	0.8895	0.0681087919038583	0.0240791440668146	0.359290150217822	FALSE	TRUE	Epi-S
SEZC-2_27	3539	11416	.	0.030395935529082	SEZC-2	SEZC	4	3	1-4	7	7	14.3759424591033	-23.826691319682	0.971031332962147	954989	0.8895	0.0303242156777069	0.080847270928518	0.355344911674823	FALSE	TRUE	LUM-3
SEZC-2_29	3618	12584	.	0.0470438652256834	SEZC-2	SEZC	4	5	5-8	2	2	7.18193731174594	10.1900723729741	0.970382477980571	1534460	0.877	0.0468910891089109	0.0543800740553345	0.356759209379672	FALSE	TRUE	LUM-2
SEZC-2_30	3409	11985	.	0.0769294952023363	SEZC-2	SEZC	4	6	5-8	13	13	-26.9311422373995	21.0963071206153	0.970326157514197	1352694	0.876	0.0766417290108063	0.10527242830209	0.345043860963273	FALSE	TRUE	NC
SEZC-2_31	4257	18342	.	0.0354377930432886	SEZC-2	SEZC	4	7	5-8	7	7	15.6676244479703	-24.3580352953855	0.983608755159444	2557983	0.8972	0.0353452963567156	0.0562209821605899	0.365334530724328	FALSE	TRUE	LUM-3
SEZC-2_32	3768	15599	.	0.0372459773062376	SEZC-2	SEZC	4	8	5-8	7	7	13.3608482311832	-23.7263108995802	0.980190561822494	1216437	0.8744	0.0371697268248992	0.0408797215249845	0.359188382762908	FALSE	TRUE	LUM-3
SEZC-2_35	4094	13922	.	0.0454676052291337	SEZC-2	SEZC	5	3	1-4	2	2	-0.489408150625283	22.5052291127667	0.97353525175592	1092008	0.883	0.0453958691910499	0.0737741847020042	0.359761330648504	FALSE	TRUE	LUM-2
SEZC-2_37	6376	68256	.	0.0598921706516643	SEZC-2	SEZC	5	5	5-8	15	15	29.8117946178851	-11.1611372865049	0.987620870381233	5819382	0.8771	0.0597337697444365	0.0158822610308753	0.362791717866849	FALSE	TRUE	Epi-S
SEZC-2_38	4212	23988	.	0.0328497582124396	SEZC-2	SEZC	5	6	5-8	1	1	5.99395653141168	6.38155486985331	0.980064341306314	2562983	0.8984	0.0327800657265277	0.0354260224353643	0.368215439985402	FALSE	TRUE	LUM-0
SEZC-2_39	4654	26020	.	0.0439277478862414	SEZC-2	SEZC	5	7	5-8	4	4	12.0962445222773	-31.9016530727066	0.985713312437851	3036860	0.8925	0.0438401350107395	0.0455835981679964	0.370475604224589	FALSE	TRUE	Ms-A
SEZC-2_40	3050	12871	.	0.0498795742366561	SEZC-2	SEZC	5	8	5-8	3	3	-26.2211304943723	-10.0889816471546	0.971365695612987	1113495	0.8709	0.0497443049744305	0.073082812564665	0.334885951384253	FALSE	TRUE	T
SEZC-2_42	3276	29705	.	0.045918195589968	SEZC-2	SEZC	6	2	1-4	7	7	17.961055720659	-19.9178384339812	0.931689463581393	1489760	0.8639	0.0457825663746518	0.083891853332581	0.345676126450189	FALSE	TRUE	LUM-3
SEZC-2_46	4099	25569	.	0.0331651609370722	SEZC-2	SEZC	6	6	5-8	6	6	1.35479991988716	16.2380372430798	0.970691200430658	2060411	0.88	0.033010237844992	0.0682517166957329	0.355140462839554	FALSE	TRUE	LUM-Ms
SEZC-2_47	4905	42923	.	0.0249749551522494	SEZC-2	SEZC	6	7	5-8	1	1	11.1443021070597	11.2230704341294	0.984584883526461	2974255	0.8911	0.0249412531118401	0.0443201312094437	0.377452733603157	FALSE	TRUE	LUM-0
SEZC-2_48	1718	21254	.	0.00738684482920862	SEZC-2	SEZC	6	8	5-8	12	12	-21.7824019919924	9.16402847266612	0.97463565040561	941335	0.8423	0.0073792066177853	0.0824818156860261	0.306198749152871	FALSE	TRUE	Erythrocyte
SEZC-2_50	2625	11306	.	0.0681938793560941	SEZC-2	SEZC	7	2	1-4	4	4	7.10391247268275	-31.0017886475749	0.92676240287709	1220100	0.851	0.0680074093675576	0.0948265496112286	0.327200742571007	FALSE	TRUE	Ms-A
SEZC-2_53	4751	29733	.	0.0315138062085898	SEZC-2	SEZC	7	5	5-8	7	7	15.8613035704583	-22.5188973904798	0.984152400152632	2697150	0.8948	0.0314524520828438	0.0489053864071608	0.370524233233382	FALSE	TRUE	LUM-3
SEZC-2_54	2889	13233	.	0.0442832313156503	SEZC-2	SEZC	7	6	5-8	3	3	-25.1802394855043	-13.5823390100746	0.975084269132264	1635284	0.8831	0.0441065783531537	0.0819644009349092	0.329403925793918	FALSE	TRUE	T
SEZC-2_55	2059	13738	.	0.0386519143980201	SEZC-2	SEZC	7	7	5-8	12	12	-24.8568357656655	8.18486390278697	0.968468014132457	1513482	0.8641	0.0385201305767138	0.110655479725113	0.30338463942744	FALSE	TRUE	Erythrocyte
SEZC-2_56	4612	23504	.	0.0418652144315861	SEZC-2	SEZC	7	8	5-8	10	10	-2.21378911091137	37.5632748860995	0.981613872278969	2463915	0.8922	0.0417727967396842	0.0363867038822634	0.368183195106038	FALSE	TRUE	PDGFRA
SEZC-2_57	1450	15272	.	0.0107386066003143	SEZC-2	SEZC	8	1	1-4	12	12	-21.2873454310397	9.29058297209477	0.910030574093611	773161	0.8116	0.0107161526398327	0.192742077845009	0.290622346092456	FALSE	TRUE	Erythrocyte
SEZC-2_58	2690	19203	.	0.0429099619851065	SEZC-2	SEZC	8	2	1-4	14	14	-20.7211690896557	-23.758715241137	0.939471366701652	976397	0.865	0.0427940794598805	0.108786874317142	0.321944450236657	FALSE	TRUE	T
SEZC-2_62	3286	22266	.	0.0348064313302794	SEZC-2	SEZC	8	6	5-8	4	4	11.5751814183742	-28.2469525003995	0.97242360296076	1237651	0.8745	0.0347658352772295	0.0693201297252124	0.350610573221641	FALSE	TRUE	Ms-A
SEZC-2_63	3859	28625	.	0.0456943231441048	SEZC-2	SEZC	8	7	5-8	3	3	-25.624765450588	-19.2787997610159	0.972740129364369	1883857	0.8817	0.0455684745526701	0.0670819625051208	0.350384487486693	FALSE	TRUE	T
SEZC-2_64	4772	51992	.	0.0228881366364056	SEZC-2	SEZC	8	8	5-8	16	16	-6.16790480827735	-25.9982073239161	0.988435381148848	2384505	0.8907	0.0228701016662503	0.0372011976141665	0.367249101079049	FALSE	TRUE	mitotic
SEZC-2_65	3732	18253	.	0.0329808798553662	SEZC-2	SEZC	9	1	1-4	4	4	10.878164145962	-32.7687458082203	0.954793710263035	2085203	0.8795	0.0329051653457229	0.0980681600241639	0.356210710418512	FALSE	TRUE	Ms-A
SEZC-2_66	3310	11971	.	0.0592264639545568	SEZC-2	SEZC	9	2	1-4	2	2	-4.93964566453557	27.0915197491559	0.941658332207981	1557092	0.8565	0.0590833333333333	0.0877864964512754	0.345477896466528	FALSE	TRUE	LUM-2
SEZC-2_67	4437	19351	.	0.0422717172239161	SEZC-2	SEZC	9	3	1-4	7	7	14.3027459404501	-24.8060249622324	0.979896440724046	1797688	0.888	0.0421323718774144	0.0453966639070921	0.361873356007066	FALSE	TRUE	LUM-3
SEZC-2_69	3630	15013	.	0.0306401119030174	SEZC-2	SEZC	9	5	5-8	1	1	7.40918017783442	8.2179416698653	0.981326714687591	1776574	0.8493	0.0305485456235888	0.0729886802578896	0.356262341266653	FALSE	TRUE	LUM-0
SEZC-2_70	4427	25606	.	0.0312426774974615	SEZC-2	SEZC	9	6	5-8	4	4	12.3329669251436	-31.1558525455426	0.982223500913501	3136265	0.8869	0.031190299816757	0.0350439305169331	0.37047014573659	FALSE	TRUE	Ms-A
SEZC-2_71	4971	26638	.	0.0512425857797132	SEZC-2	SEZC	9	7	5-8	13	13	-26.3187770421901	20.6304603753899	0.985362550769627	3375444	0.8906	0.051079594356921	0.0384567558938684	0.367764476684787	FALSE	TRUE	NC
SEZC-2_72	4127	16322	.	0.0540987624065678	SEZC-2	SEZC	9	8	5-8	4	4	6.08470330618529	-29.8841418756535	0.969366441239996	1644406	0.8758	0.0539797041203081	0.0393645654307405	0.356047664810976	FALSE	TRUE	Ms-A
SEZC-2_73	3827	14782	.	0.0253686916520092	SEZC-2	SEZC	10	1	1-4	6	6	4.99422605238126	14.3295396292472	0.964574816198711	1580196	0.8804	0.0252968159740961	0.0693480659219632	0.358345147761942	FALSE	TRUE	LUM-Ms
SEZC-2_74	3461	14808	.	0.0339681253376553	SEZC-2	SEZC	10	2	1-4	7	7	16.1833843712074	-23.5797989938891	0.934154305865006	1628765	0.8688	0.0338880280266792	0.0637194264958619	0.350277529604028	FALSE	TRUE	LUM-3
SEZC-2_75	3598	15563	.	0.0484482426267429	SEZC-2	SEZC	10	3	1-4	3	3	-23.3215180308907	-19.9472458060339	0.971689424905987	1085218	0.884	0.0483519302295755	0.0619378604551838	0.349901569377993	FALSE	TRUE	T
SEZC-2_77	4270	18712	.	0.0385314236853356	SEZC-2	SEZC	10	5	5-8	2	2	-1.81654178805962	18.6241732415707	0.984401441208514	2054950	0.8873	0.0384205477992113	0.0399485788379151	0.360760116498271	FALSE	TRUE	LUM-2
SEZC-2_79	3720	12715	.	0.045379473063311	SEZC-2	SEZC	10	7	5-8	6	6	2.06015663806526	13.4263779814237	0.982017375498918	2925986	0.8976	0.045113369820172	0.0812836747239453	0.341430898595578	FALSE	TRUE	LUM-Ms
SEZC-2_80	4641	21312	.	0.0565409159159159	SEZC-2	SEZC	10	8	5-8	11	11	18.6686075441433	24.9616049962774	0.98012351813729	1967244	0.8865	0.0563610851262863	0.0421354652358155	0.357679582196874	FALSE	TRUE	PECAM1
SEZC-2_83	3767	21790	.	0.0711335474988527	SEZC-2	SEZC	11	3	1-4	7	7	14.7702495015271	-19.3230729491759	0.972968901213667	949436	0.8771	0.0709999541935779	0.0818891374429216	0.348007651997186	FALSE	TRUE	LUM-3
SEZC-2_85	5001	43506	.	0.0292833172435986	SEZC-2	SEZC	11	5	5-8	6	6	4.25919102904769	14.8273885730007	0.984019898884863	1964849	0.8811	0.0292342642098258	0.0503472669612167	0.37426640352721	FALSE	TRUE	LUM-Ms
SEZC-2_86	3904	31186	.	0.0312319630603476	SEZC-2	SEZC	11	6	5-8	2	2	1.43326965635242	26.9545794392421	0.984033683262974	1854797	0.8928	0.0311291508197769	0.066119845910387	0.356282746529203	FALSE	TRUE	LUM-2
SEZC-2_87	4572	34113	.	0.0412159587254126	SEZC-2	SEZC	11	7	5-8	7	7	14.982719700956	-20.133826657277	0.982120688826916	1886046	0.888	0.0411123132255329	0.0696009767563785	0.362792288177996	FALSE	TRUE	LUM-3
SEZC-2_88	3826	27672	.	0.0380890430760335	SEZC-2	SEZC	11	8	5-8	4	4	3.30490152371485	-34.3731052395314	0.979916863932142	1140991	0.8746	0.038039555363072	0.0695497618272128	0.360337233726695	FALSE	TRUE	Ms-A
