myAUC	avg_diff	power	pct.1	pct.2	gene	Cluster
0.767	3.19117334	0.534	0.579	0.082	ETNK2	4
0.765	3.147678719	0.53	0.579	0.082	SMIM1	4
0.762	2.206261632	0.524	0.632	0.106	SLC34A3	4
0.756	2.358437635	0.512	0.579	0.094	KIAA1161	4
0.755	5.743143556	0.51	0.526	0.024	RBP4	4
0.755	2.338126387	0.51	0.579	0.094	OSGIN1	4
0.754	2.308193085	0.508	0.579	0.082	ZDHHC12	4
0.752	2.413937838	0.504	0.579	0.082	VTN	4
0.747	2.173888336	0.494	0.579	0.082	RNF186	4
0.736	2.456024296	0.472	0.526	0.082	CELP	4
0.735	2.433491239	0.47	0.526	0.059	DOK7	4
0.956	2.235176753	0.912	1	0.351	UNC5CL	5
0.947	2.073510127	0.894	1	0.526	CDHR5	5
0.931	2.040986068	0.862	1	0.464	ARID3A	5
0.893	2.444949818	0.786	0.857	0.289	TP53I13	5
0.865	2.260852022	0.73	0.857	0.155	ZFYVE27	5
0.848	2.500314729	0.696	0.857	0.34	LOC115110	5
0.839	2.086382414	0.678	0.857	0.258	CYP4F12	5
0.823	2.041657226	0.646	0.857	0.474	EPS8L2	5
0.819	2.535749089	0.638	0.714	0.165	HSD17B2	5
0.814	2.194823041	0.628	0.714	0.093	CCDC84	5
0.811	3.042235515	0.622	0.714	0.124	SERPINF2	5
0.81	2.086890228	0.62	0.857	0.258	MST1P2	5
0.809	2.747736689	0.618	0.714	0.134	TFE3	5
0.803	2.194233213	0.606	0.714	0.196	GFER	5
0.797	2.01964473	0.594	0.714	0.196	ABHD17C	5
0.795	2.329270793	0.59	0.714	0.237	LOC146880	5
0.792	2.051902175	0.584	0.857	0.402	BHLHE40	5
0.791	2.317746718	0.582	0.714	0.247	AQP11	5
0.781	2.495803521	0.562	0.714	0.216	ZER1	5
0.77	2.255702129	0.54	0.714	0.268	ABHD11	5
0.77	2.193432469	0.54	0.714	0.196	C6orf222	5
0.762	3.054824103	0.524	0.857	0.495	SEPP1	5
0.751	2.183757845	0.502	0.714	0.371	ANO9	5
0.75	2.242312457	0.5	0.714	0.289	FAM160A2	5
0.749	3.03730653	0.498	0.571	0.144	SLC51A	5
0.745	2.565753083	0.49	0.571	0.093	DGCR6	5
0.738	3.083584225	0.476	0.571	0.196	LCN12	5
0.735	2.095609755	0.47	0.571	0.196	DGKZ	5
0.732	2.275441152	0.464	0.571	0.175	C7orf26	5
0.729	2.285362769	0.458	0.571	0.196	GRB7	5
0.716	3.343545543	0.432	0.571	0.196	NICN1	5
0.715	2.689135609	0.43	0.571	0.206	USP38	5
0.707	2.279971734	0.414	0.571	0.196	ELP6	5
0.704	3.277045205	0.408	0.429	0.031	SLC5A2	5
0.704	2.892004495	0.408	0.429	0.021	KLKB1	5
0.704	2.170315896	0.408	0.571	0.216	CHTF8	5
0.99	3.876786769	0.98	1	0.51	SPINK4	6
0.99	3.119586959	0.98	1	0.286	TFF1	6
0.983	3.125471428	0.966	1	0.582	REG4	6
0.978	2.725772653	0.956	1	0.837	CLCA1	6
0.976	2.626107364	0.952	1	0.847	MUC2	6
0.976	2.55042316	0.952	1	0.929	FCGBP	6
0.969	2.53006893	0.938	1	0.143	ABCA4	6
0.968	2.120349706	0.936	1	0.765	GSN	6
0.956	2.421762477	0.912	1	0.429	ST6GALNAC1	6
0.949	2.418031353	0.898	1	0.255	GSTCD	6
0.949	2.28588117	0.898	1	0.296	LOC101929549	6
0.908	2.754971956	0.816	1	0.531	RNASE1	6
0.87	2.550523523	0.74	0.833	0.296	GRPEL2	6
0.866	2.21458591	0.732	0.833	0.378	HEPACAM2	6
0.864	2.277967428	0.728	0.833	0.286	NEURL1	6
0.853	2.342566586	0.706	0.833	0.439	BCAS1	6
0.85	2.338326161	0.7	0.833	0.388	KRT19	6
0.844	2.028574947	0.688	0.833	0.286	ZBTB24	6
0.838	2.029538144	0.676	0.833	0.296	PLEKHG6	6
0.804	2.048039146	0.608	0.833	0.388	ESR1	6
0.796	3.424699981	0.592	0.667	0.184	REP15	6
0.791	3.293837957	0.582	0.667	0.153	SPDEF	6
0.789	2.272355752	0.578	0.667	0.173	ERN2	6
0.779	2.229561062	0.558	0.833	0.571	STARD10	6
0.776	2.52392072	0.552	0.667	0.224	KLK1	6
0.776	2.044677676	0.552	0.667	0.224	TSPYL5	6
0.77	2.008216038	0.54	0.667	0.255	VAMP4	6
0.759	2.806271316	0.518	0.667	0.224	ACSS2	6
0.752	2.643035853	0.504	0.667	0.265	MT1M	6
0.75	2.481688868	0.5	0.667	0.296	FAM193B	6
0.745	5.91738576	0.49	0.5	0.02	CCDC160	6
0.74	2.347651082	0.48	0.667	0.541	ATAD5	6
0.739	3.97675106	0.478	0.5	0.031	FAM3B	6
0.735	2.011476017	0.47	0.667	0.327	MYO1F	6
0.731	2.338010309	0.462	0.667	0.439	SRP72	6
0.73	3.667521565	0.46	0.5	0.082	PAX3	6
0.727	2.629169828	0.454	0.5	0.071	MCM3AP-AS1	6
0.726	3.93365231	0.452	0.5	0.061	SYP	6
0.724	2.064516426	0.448	0.667	0.306	C8orf44	6
0.72	2.280846675	0.44	0.5	0.071	CFHR4	6
0.713	3.083888403	0.426	0.5	0.122	MSANTD2	6
0.713	2.614503722	0.426	0.5	0.112	CENPM	6
0.713	2.054959645	0.426	0.667	0.367	FUT6	6
0.711	2.976410647	0.422	0.5	0.143	STXBP5-AS1	6
0.711	2.509332371	0.422	0.5	0.122	MAGEF1	6
0.705	2.108695056	0.41	0.5	0.133	FLJ46066	6
0.896	2.007366138	0.792	1	0.489	GABRB2	7
0.827	2.227497403	0.654	0.8	0.319	PTPN13	7
0.82	2.582472894	0.64	0.7	0.074	GAD2	7
0.818	2.140958426	0.636	0.8	0.298	LAMA1	7
0.815	2.306627449	0.63	0.8	0.287	ABCA7	7
0.815	2.161007012	0.63	0.8	0.34	FADS6	7
0.809	2.219762186	0.618	0.7	0.128	BCAM	7
0.793	2.236173114	0.586	0.7	0.181	ADAMTS16	7
0.776	2.67485799	0.552	0.7	0.213	RASAL2-AS1	7
0.773	2.018307875	0.546	0.7	0.234	GNAO1	7
0.77	2.170395827	0.54	0.7	0.245	CACNB4	7
0.767	3.22308497	0.534	0.6	0.128	FOXD2	7
0.763	2.349143047	0.526	0.6	0.117	BANK1	7
0.76	2.373556831	0.52	0.6	0.117	TMEM201	7
0.76	2.22165576	0.52	0.7	0.309	TCEANC2	7
0.758	2.182572684	0.516	0.7	0.266	CCDC146	7
0.756	2.289183715	0.512	0.7	0.319	POU2AF1	7
0.753	2.903072738	0.506	0.6	0.16	LINC00368	7
0.749	2.166742006	0.498	0.6	0.149	ZNF23	7
0.748	2.282111599	0.496	0.6	0.149	LINC00299	7
0.747	2.332021782	0.494	0.6	0.117	C12orf71	7
0.745	2.000861669	0.49	0.7	0.479	TBC1D22A-AS1	7
0.744	2.81793405	0.488	0.6	0.191	LOC101927829	7
0.739	2.542511807	0.478	0.7	0.372	ZNF662	7
0.739	2.537494152	0.478	0.6	0.213	HCN1	7
0.737	2.183052799	0.474	0.8	0.511	CHM	7
0.736	2.027749667	0.472	0.6	0.181	AMER3	7
0.735	2.75842023	0.47	0.6	0.223	LINC01289	7
0.735	2.380976893	0.47	0.6	0.181	KCNT2	7
0.735	2.272804417	0.47	0.6	0.213	MX1	7
0.735	2.157038856	0.47	0.6	0.191	ZNF385B	7
0.732	2.002244621	0.464	0.7	0.468	CC2D2A	7
0.731	2.817775265	0.462	0.5	0.043	COL9A3	7
0.731	2.135509946	0.462	0.6	0.213	KIAA1524	7
0.723	2.591679104	0.446	0.6	0.266	SV2B	7
0.723	2.099798942	0.446	0.6	0.17	CHD5	7
0.722	3.050639187	0.444	0.5	0.074	KCNQ2	7
0.721	2.123091967	0.442	0.6	0.255	EZH1	7
0.719	2.480700023	0.438	0.5	0.074	C7orf66	7
0.715	2.759979479	0.43	0.5	0.074	SYT16	7
0.714	2.54720824	0.428	0.6	0.277	OGFRL1	7
0.713	2.506153523	0.426	0.5	0.096	KIF1A	7
0.712	2.899931155	0.424	0.5	0.138	OR4N3P	7
0.712	2.233539077	0.424	0.5	0.074	LINC00639	7
0.711	2.075688659	0.422	0.6	0.234	HTR1D	7
0.71	3.327657531	0.42	0.5	0.106	LHX9	7
0.709	2.034617208	0.418	0.6	0.298	EPHA10	7
0.707	2.44532131	0.414	0.6	0.277	H1FX-AS1	7
0.707	2.150299625	0.414	0.5	0.117	CSN2	7
0.706	2.48316103	0.412	0.5	0.128	C10orf126	7
0.705	2.459082589	0.41	0.5	0.106	GLIS3	7
0.702	2.244122347	0.404	0.5	0.128	EVC2	7
0.701	2.22446261	0.402	0.5	0.181	SRPX2	7
0.755	3.143387499	0.51	0.545	0.061	EPYC	8
0.73	2.706461699	0.46	0.545	0.122	CLDN18	8
0.723	2.030191365	0.446	0.591	0.146	LOC101928673	8
0.715	2.040232481	0.43	0.591	0.232	TANC1	8
0.701	2.20450265	0.402	0.455	0.061	FBLN2	8
0.964	2.597632777	0.928	1	0.184	CPZ	9
0.951	2.018445734	0.902	1	0.337	SHISA3	9
0.947	2.121527432	0.894	1	0.306	ISLR	9
0.939	2.373591594	0.878	1	0.163	GFRA2	9
0.932	2.033915885	0.864	1	0.459	DPT	9
0.9	2.046075937	0.8	1	0.52	C1QTNF3	9
0.872	2.387414974	0.744	0.833	0.133	ZBBX	9
0.866	2.724915319	0.732	0.833	0.143	LOC101927359	9
0.864	2.11977833	0.728	0.833	0.245	LOX	9
0.823	3.736838894	0.646	0.667	0.041	PRDM14	9
0.798	2.242282752	0.596	0.667	0.112	LINC00942	9
0.793	2.377550896	0.586	0.667	0.143	SLC36A4	9
0.789	2.265831601	0.578	0.667	0.112	ELANE	9
0.784	2.046350394	0.568	0.667	0.194	PPP1R18	9
0.781	2.120163648	0.562	0.667	0.122	TRIQK	9
0.765	2.024085247	0.53	0.667	0.265	ACBD4	9
0.746	5.424012928	0.492	0.5	0.01	C20orf78	9
0.745	3.922742213	0.49	0.5	0.02	P4HA2-AS1	9
0.744	3.870032425	0.488	0.5	0.01	TRIM62	9
0.743	3.764452812	0.486	0.5	0.02	LSAMP-AS1	9
0.742	2.555570981	0.484	0.5	0.01	CPA1	9
0.741	4.229404605	0.482	0.5	0.031	ACSM1	9
0.741	2.059751213	0.482	0.667	0.541	RASA1	9
0.737	3.233069225	0.474	0.5	0.031	C20orf197	9
0.736	2.092722009	0.472	0.667	0.398	AKR1D1	9
0.735	3.872215842	0.47	0.5	0.041	ITIH4-AS1	9
0.733	2.586957807	0.466	0.5	0.041	MADCAM1	9
0.732	2.998675335	0.464	0.5	0.051	KCNAB1-AS1	9
0.732	2.498654883	0.464	0.5	0.031	RFX3-AS1	9
0.73	2.624953708	0.46	0.5	0.061	RPL23AP82	9
0.73	2.470604769	0.46	0.5	0.041	ARSI	9
0.73	2.389275369	0.46	0.5	0.031	MEI4	9
0.727	2.791580205	0.454	0.5	0.051	WHAMMP3	9
0.726	2.360439976	0.452	0.5	0.041	FAM162B	9
0.725	3.073209168	0.45	0.5	0.051	TTLL3	9
0.725	2.071079757	0.45	0.5	0.051	HRAT56	9
0.724	2.886812235	0.448	0.5	0.071	LOC101929319	9
0.724	2.850426345	0.448	0.5	0.092	BEND4	9
0.724	2.097094797	0.448	0.5	0.051	PLSCR5	9
0.724	2.007416623	0.448	0.667	0.449	ASB8	9
0.721	2.558952962	0.442	0.5	0.102	FBXL7	9
0.72	2.33080051	0.44	0.5	0.071	SH3GL1P1	9
0.72	2.236716971	0.44	0.5	0.071	APCDD1	9
0.719	2.358291944	0.438	0.5	0.071	LINC00298	9
0.718	2.704088926	0.436	0.5	0.102	SACS	9
0.718	2.069740094	0.436	0.5	0.061	LOC100996583	9
0.715	2.153660916	0.43	0.5	0.071	NTF3	9
0.715	2.109163334	0.43	0.5	0.092	PCDH8	9
0.714	2.578786325	0.428	0.5	0.122	TOE1	9
0.714	2.105138401	0.428	0.5	0.082	AOX1	9
0.712	2.163385399	0.424	0.5	0.092	RGAG4	9
0.712	2.013939588	0.424	0.5	0.071	ZNF503-AS1	9
0.711	2.125831702	0.422	0.5	0.122	CHMP1B2P	9
0.71	2.321428246	0.42	0.5	0.092	HOXC11	9
0.71	2.183598561	0.42	0.5	0.092	POMGNT2	9
0.709	3.082392282	0.418	0.5	0.102	MSC	9
0.707	2.006815345	0.414	0.5	0.102	NANOS1	9
0.706	2.36878851	0.412	0.5	0.102	ZNF608	9
0.706	2.049939803	0.412	0.5	0.122	C14orf37	9
0.705	2.096401837	0.41	0.5	0.133	LINC01354	9
0.702	2.548535674	0.404	0.5	0.102	LOC100652758	9
0.702	2.105004167	0.404	0.5	0.143	RHBDD1	9
0.702	2.001645493	0.404	0.5	0.173	TRPC3	9
0.701	2.199281023	0.402	0.5	0.163	METTL1	9
