cluster	db	category	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD66	miRNA	binding	MIR744	MIR744	17/134	652/14185	0.00013760467480441	0.00390270279817614	0.00285687645114643	FAM53C/TUBA1B/TUBA1A/GLUL/NUFIP2/MAFF/MYC/KLHL15/MEX3C/DNAJB4/SAT1/IFRD1/C6orf62/EIF4A2/HSPD1/IER5/HSPA1B	17
MD66	miRNA	binding	MIR5000	MIR5000	7/134	139/14185	0.000347893059507607	0.0073609753702165	0.00538841881643361	EIF5/NUFIP2/KLHL15/MORF4L2/CDKN1A/ATF3/MCL1	7
MD66	miRNA	binding	MIR548AH	MIR548AH	15/134	594/14185	0.000487669173132421	0.00903012950850184	0.00661028156069112	EGLN3/PTP4A1/CKS2/PNRC1/NUFIP2/PPP1R15B/GTF2B/KLHL15/MYLIP/EIF4A2/RHOB/BTG2/HSPA1B/HSPA8/IER2	15
MD66	miRNA	binding	MIR571	MIR571	5/134	74/14185	0.000667149105807064	0.0115494773771535	0.00845450746525152	TMEM2/TUBB2A/GLUL/NUFIP2/UBE2S	5
MD66	miRNA	binding	MIR4796	MIR4796	10/134	310/14185	0.000718678418048823	0.0121265611551782	0.00887694728222863	EGLN3/PTP4A1/TUBB2A/EIF5/KLHL15/MYLIP/AMD1/EIF4A2/BTG2/HSPA8	10
MD66	miRNA	binding	MIR10B	MIR10B	11/134	404/14185	0.00156097253224231	0.0209727061606593	0.0153525475665741	TUBA1B/EIF5/NUFIP2/PPP1R15B/SLC2A3/CDKN1A/TRA2B/H3F3B/EIF1/HSPA1B/KLF4	11
MD66	miRNA	binding	MIR6507	MIR6507	8/134	233/14185	0.00166089156766537	0.021494839414543	0.0157347622199877	NUFIP2/GTF2B/MYC/ARL6IP1/MYLIP/RHOB/BTG2/HSPA1B	8
MD66	miRNA	binding	MIR579	MIR579	6/134	162/14185	0.00436900773431108	0.0361732131045756	0.0264797003576749	KLF10/SPTY2D1/CDKN2AIP/PNRC1/CALM1/HSPA1B	6
MD70	miRNA	binding	MIR326	MIR326	4/23	133/14185	5.69589511977856e-05	0.0107896976246647	0.00873351557477732	ACTB/ACTG1/HNRNPA1L2/HNRNPA1	4
MD71	miRNA	binding	MIR186	MIR186	14/62	1161/14185	0.000390039999163085	0.0438794999058471	0.0426991156978536	RPL36/RPS7/EEF2/RPL24/RPL14/RACK1/RPLP1/RPL27/RPL32/RPS4X/RPL4/RPL5/RPL9/EEF1A1	14
MD77	miRNA	binding	MIR3942	MIR3942	6/19	210/14185	2.26470969107059e-07	1.18897258781206e-05	1.12838167063868e-05	NBPF1/NBPF11/NBPF15/NBPF12/NBPF10/NBPF14	6
MD84	miRNA	binding	MIR186	MIR186	24/117	1161/14185	2.16173831675855e-05	0.0021999844562089	0.00154909992739378	SRSF2/SRSF6/CLK1/ARL4D/MYLIP/SRSF3/AMD1/TUBB4B/SAT1/NUFIP2/ARL5B/ATP1B3/HNRNPU/PNRC1/GLUL/JUND/EIF1/DNAJB4/HSP90AB1/HSP90AA1/RHOB/PPP1R15B/MCL1/BTG2	24
MD84	miRNA	binding	MIR10B	MIR10B	12/117	404/14185	0.000125045597673417	0.00424193142876747	0.00298691913470916	SRSF2/NUFIP2/H3F3B/NR4A3/SLC2A3/TRA2B/HLA-E/EIF1/HSPA1B/PPP1R15B/CDKN1A/KLF4	12
MD84	miRNA	binding	MIR570	MIR570	9/117	245/14185	0.000192930464808886	0.00576211609327914	0.00405734394920002	SRSF2/CALM1/MYLIP/ARL6IP1/NUFIP2/KLF10/KLHL15/HSPA1B/CDKN1A	9
MD84	miRNA	binding	MIR1299	MIR1299	5/117	89/14185	0.000837683570105837	0.014208402092949	0.0100047228008592	TFRC/ATP1B3/KLHL15/ZFP36/DPY19L3	5
MD84	miRNA	binding	MIR4729	MIR4729	6/117	138/14185	0.000982674744150888	0.0158546181281905	0.011163891509288	CALM1/NUFIP2/H3F3B/DNAJB4/HSPA1B/HSPA5	6
MD84	miRNA	binding	MIR548AH	MIR548AH	13/117	594/14185	0.00121730654888287	0.0171661108225901	0.0120873676874665	SRSF2/MYLIP/EIF4A2/NUFIP2/PNRC1/KLHL15/HSPA1B/HSPA8/RHOB/PPP1R15B/BTG2/IER2/HSPA5	13
MD84	miRNA	binding	MIR551B	MIR551B	6/117	156/14185	0.00184308073870199	0.0204907211538045	0.0144283631468489	SRSF2/ARL6IP1/AMD1/SAT1/NUFIP2/HNRNPU	6
MD84	miRNA	binding	MIR744	MIR744	13/117	652/14185	0.0027702971889052	0.0265587187023303	0.0187010908633189	EIF4A2/IER5/TUBA1A/SAT1/NUFIP2/MAFF/IFRD1/FAM53C/GLUL/KLHL15/HSPD1/DNAJB4/HSPA1B	13
MD84	miRNA	binding	MIR6507	MIR6507	7/117	233/14185	0.00317021281224013	0.0288056112345828	0.0202832207046233	MYLIP/ARL6IP1/ZFP36L1/NUFIP2/HSPA1B/RHOB/BTG2	7
MD84	miRNA	binding	MIR597	MIR597	4/117	85/14185	0.00532740038479297	0.0391563928282283	0.0275716335704198	TFRC/HNRNPU/DUSP1/HSPA5	4
MD84	miRNA	binding	MIR5003	MIR5003	6/117	197/14185	0.00581583895374903	0.0418171463902715	0.0294451800575966	HSPA2/THBS1/H3F3B/HSPD1/HSP90AB1/BTG2	6
MD84	miRNA	binding	MIR5000	MIR5000	5/117	139/14185	0.00586331802779202	0.0418970756298942	0.0295014615367438	NUFIP2/KLHL15/CDKN1A/ATF3/MCL1	5
MD84	miRNA	binding	MIR548AX	MIR548AX	4/117	89/14185	0.00626491129519257	0.0443234098585015	0.0312099436884066	TMEM70/AMD1/IER5/IER2	4
MD84	miRNA	binding	MIR7843	MIR7843	6/117	202/14185	0.00655277608244887	0.045389124382617	0.0319603573048622	ARL6IP1/BTG1/ATP1B3/CCNL1/CDKN1A/CBX6	6
MD94	miRNA	binding	MIR3173	MIR3173	4/15	187/14185	3.56338397770707e-05	0.011082124170669	0.00870215876661094	COX6C/NPM1/HNRNPA1L2/HNRNPA1	4
MD98	miRNA	binding	MIR6507	MIR6507	12/138	233/14185	2.85658748579756e-06	0.000476335963256744	0.000342414631521261	ZBTB10/ZFP36L1/TRIB1/MYC/NUFIP2/GTF2B/ARL6IP1/MYLIP/HSPA1B/TNFAIP3/RHOB/BTG2	12
MD98	miRNA	binding	MIR361	MIR361	11/138	298/14185	0.00015807289298536	0.00426905776514118	0.00306881687370285	ZBTB10/UBALD2/EMP1/CYCS/ARF4/CHORDC1/HSPA1B/HSP90AA1/SRSF3/H3F3B/KLHL15	11
MD98	miRNA	binding	MIR4729	MIR4729	7/138	138/14185	0.000398008631822743	0.00856360507825064	0.0061559569370207	NUFIP2/CALM1/HSPA5/DNAJB4/HSPA1B/TNFAIP3/H3F3B	7
MD98	miRNA	binding	MIR570	MIR570	9/138	245/14185	0.000654847422166418	0.0118284594440186	0.00850290109169176	KLF9/NUFIP2/ARL6IP1/CALM1/MYLIP/HSPA1B/KLHL15/CDKN1A/KLF10	9
MD98	miRNA	binding	MIR186	MIR186	22/138	1161/14185	0.00184922912226421	0.0234940157057187	0.0168886990514556	PPRC1/LDHA/MYC/CYCS/SPTY2D1/NUFIP2/GLUL/MYLIP/CHORDC1/DNAJB4/HSP90AB1/HSP90AA1/SRSF3/PNRC1/TUBB4B/RHOB/EIF1/JUND/ARL5B/PPP1R15B/MCL1/BTG2	22
MD98	miRNA	binding	MIR5000	MIR5000	6/138	139/14185	0.00237181485178075	0.0259344345268485	0.0186429968073534	NUFIP2/MORF4L2/KLHL15/CDKN1A/MCL1/ATF3	6
MD98	miRNA	binding	MIR551B	MIR551B	6/138	156/14185	0.00419666252119646	0.035658266262905	0.0256329839544752	ZBTB10/NUFIP2/ARL6IP1/NOLC1/CHORDC1/IER3	6
MD103	miRNA	binding	MIR3173	MIR3173	4/20	187/14185	0.000120116413590619	0.0222774368868667	0.0174337521074041	COX6C/YWHAE/HNRNPA1L2/HNRNPA1	4
MD103	miRNA	binding	MIR597	MIR597	3/20	85/14185	0.000219917479808998	0.0293589835545012	0.02297558933794	TMED10/HMGN2/YWHAE	3
MD103	miRNA	binding	MIR4457	MIR4457	3/20	108/14185	0.000445262894073825	0.0396283975725704	0.0310121699907559	TMED10/HMGN2/HNRNPA1	3
MD114	miRNA	binding	MIR551B	MIR551B	10/149	156/14185	5.7197070858196e-06	0.000589569807307558	0.000432567321308138	SAT1/ARL6IP1/AMD1/ZBTB10/CHORDC1/NUFIP2/SRSF2/IER3/NOLC1/HNRNPU	10
MD114	miRNA	binding	MIR186	MIR186	27/149	1161/14185	6.89881670106766e-05	0.00310520862502544	0.00227829132425276	RSRC2/SRSF3/MYLIP/SAT1/TUBB4B/AMD1/ARL4D/CYCS/PNRC1/TCP1/CHORDC1/NUFIP2/SRSF2/GLUL/MYC/TSC22D2/ARL5B/HNRNPU/EIF1/PPP1R15B/DNAJB4/HSP90AB1/HSP90AA1/JUND/BTG2/MCL1/RHOB	27
MD114	miRNA	binding	MIR6507	MIR6507	10/149	233/14185	0.00017551829734248	0.00569030607641257	0.00417497712126421	MAP1LC3B/MYLIP/ARL6IP1/ZBTB10/GTF2B/NUFIP2/MYC/HSPA1B/BTG2/RHOB	10
MD114	miRNA	binding	MIR570	MIR570	9/149	245/14185	0.00113150844894964	0.0187335162184051	0.01374477937784	MYLIP/ARL6IP1/NUFIP2/SRSF2/TSC22D2/KLHL15/HSPA1B/KLF10/CDKN1A	9
MD114	miRNA	binding	MIR361	MIR361	10/149	298/14185	0.00120408840480635	0.0192080769338156	0.0140929645374578	SRSF3/ZBTB10/CYCS/CHORDC1/UBALD2/ARF4/KLHL15/HSPA1B/HSP90AA1/H3F3B	10
MD114	miRNA	binding	MIR744	MIR744	16/149	652/14185	0.00137214949609284	0.0206593294917349	0.0151577484252006	POLR2A/EIF4A2/C6orf62/SAT1/IER5/NUFIP2/GLUL/MYC/TOB2/FAM53C/KLHL15/IFRD1/DNAJB4/HSPA1B/HSPD1/MAFF	16
MD114	miRNA	binding	MIR597	MIR597	5/149	85/14185	0.00199787783321767	0.0262466303579576	0.0192571506318401	TFRC/PPP1R10/HNRNPU/HSPA5/DUSP1	5
MD114	miRNA	binding	MIR5003	MIR5003	7/149	197/14185	0.00478927753088117	0.0443642727671576	0.032550063444246	HSPA2/TNFRSF10D/THBS1/HSP90AB1/HSPD1/H3F3B/BTG2	7
MD114	miRNA	binding	MIR5585	MIR5585	6/149	150/14185	0.00503464979220942	0.0449762048104041	0.0329990379363059	IER5/AMD1/TSC22D2/ERRFI1/DDX3X/IER2	6
MD130	miRNA	binding	MIR1254-1	MIR1254-1	3/10	131/14185	8.8097926287862e-05	0.0325962327265089	0.0268003165233601	PDE4C/KIF6/KCNK6	3
MD159	miRNA	binding	MIR548L	MIR548L	5/59	172/14185	0.000729450147415847	0.0271222827539165	0.0251991869107293	ERH/YWHAE/SEM1/ATP5G3/XRCC6	5
MD166	miRNA	binding	MIR4742	MIR4742	12/223	209/14185	0.000117536016416854	0.01569105819165	0.0142156718803121	CTPS1/RMI1/QSER1/DEK/CALM3/PRR11/C9orf40/HMGN2/HMGB1/CENPN/SMC2/ZWINT	12
MD170	miRNA	binding	MIR4457	MIR4457	3/10	108/14185	4.95434995271847e-05	0.00416165396028352	0.00352888786105912	HNRNPA1/RPL9/EEF1A1	3
MD170	miRNA	binding	MIR186	MIR186	5/10	1161/14185	0.000646925126788705	0.0271708553251256	0.0230396141645802	RPL5/RPL4/HNRNPA1/RPL9/EEF1A1	5
MD179	miRNA	binding	MIR3942	MIR3942	7/17	210/14185	2.41904990501442e-09	1.97152567258675e-07	1.85248295357683e-07	BRWD1/NBPF15/NBPF12/NBPF11/NBPF1/NBPF10/NBPF14	7
MD194	miRNA	binding	MIR186	MIR186	22/111	1161/14185	8.09570485444775e-05	0.0048420025224697	0.00378205359616306	PTP4A1/DNAJB4/PNRC1/HMGCS1/JUND/SPTY2D1/CYCS/MAT2A/MYC/HSP90AB1/TCP1/PPP1R15B/BTG2/SAT1/MYLIP/SRSF3/AMD1/EIF1/RHOB/TUBB4B/HSP90AA1/MCL1	22
MD194	miRNA	binding	MIR6507	MIR6507	8/111	233/14185	0.000485326522372632	0.0156300028743596	0.012208483639711	GTF2B/SGK1/HSPA1B/MYC/BTG2/ARL6IP1/MYLIP/RHOB	8
MD194	miRNA	binding	MIR744	MIR744	14/111	652/14185	0.000555493872592101	0.017442507599392	0.0136242181383115	MEX3C/POLR2A/DNAJB4/HSPA1B/FAM53C/C6orf62/IFRD1/MYC/SAT1/TUBA1A/IER5/EIF4A2/HSPD1/MAFF	14
MD194	miRNA	binding	MIR548AH	MIR548AH	13/111	594/14185	0.000741933199600885	0.0202580021456242	0.0158233808244399	PTP4A1/GTF2B/BZW1/PNRC1/HSPA1B/CKS2/PPP1R15B/BTG2/MYLIP/EIF4A2/RHOB/HSPA8/IER2	13
MD194	miRNA	binding	MIR10B	MIR10B	10/111	404/14185	0.00125332578087827	0.0266807057447643	0.0208401087446533	POLR2A/SLC2A3/HSPA1B/H3F3B/PPP1R15B/CDKN1A/EIF1/KLF4/HLA-E/TRA2B	10
MD194	miRNA	binding	MIR4796	MIR4796	8/111	310/14185	0.0029960504884915	0.0422813417252283	0.0330256541132356	PTP4A1/BZW1/CITED2/BTG2/MYLIP/EIF4A2/AMD1/HSPA8	8
MD194	miRNA	binding	MIR570	MIR570	7/111	245/14185	0.00311896751799844	0.0435269244734004	0.0339985699037958	SGK1/HSPA1B/CDKN2AIP/CDKN1A/ARL6IP1/MYLIP/CALM1	7
MD198	miRNA	binding	MIR744	MIR744	9/55	652/14185	0.000826703459340082	0.0496658001342003	0.0471254441599528	RACK1/PTMA/PABPC1/ACTG1/RPLP1/RPL10A/RPS6/RPL4/RPL3	9
MD208	miRNA	binding	MIR4457	MIR4457	4/33	108/14185	0.00010969661126795	0.0205406904599236	0.0178112655664013	HMGN2/HNRNPA1/RPL9/EEF1A1	4
MD211	miRNA	binding	MIR186	MIR186	7/10	1161/14185	2.32717744896823e-06	0.00118453332152483	0.000918622677224303	SMARCA5/ARID5B/DEK/YWHAE/ZNF426/HIF1A/HMGB1	7
MD226	miRNA	binding	MIR590	MIR590	8/56	445/14185	0.000333640596746393	0.0165145794677886	0.0128195715414227	RNF11/ARL5B/YWHAZ/PAPD7/SKP1/KLHL15/PPP1R15B/BTG2	8
MD226	miRNA	binding	MIR1299	MIR1299	4/56	89/14185	0.000414592470110261	0.0174282390213017	0.0135288069193875	TFRC/KLHL15/ATP1B3/ZFP36	4
MD226	miRNA	binding	MIR186	MIR186	12/56	1161/14185	0.00162301041113184	0.0354253233968199	0.0274991844963026	ARL5B/ATP2A2/SRSF6/SLC25A33/HMGCS1/CYCS/LDHA/SPTY2D1/ATP1B3/MYC/PPP1R15B/BTG2	12
MD226	miRNA	binding	MIR6747	MIR6747	8/56	609/14185	0.00253530886345252	0.0456824532182037	0.0354613617840357	SYAP1/AKIRIN1/RNF11/TOB2/TFRC/SLC25A33/CYCS/SPTY2D1	8
MD226	miRNA	binding	MIR605	MIR605	5/56	241/14185	0.00256233119844639	0.0456824532182037	0.0354613617840357	AKIRIN1/IVNS1ABP/KLHL15/BTG2/ZFP36	5
