cluster	db	category	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD13	TF	binding	ZFP64	ZFP64	13/16	18194/56227	8.17794598713738e-05	0.00848689061331813	0.0074223229076241	ASXL2/HLX/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C16orf72/TOB1	13
MD13	TF	binding	TFDP1	TFDP1	8/16	5964/56227	9.34420314611933e-05	0.00872748573847546	0.00763273856988274	RPP30/MRPL44/KLF10/HNRNPH3/ZFP36L2/HERPUD1/TMEM57/GADD45A	8
MD13	TF	binding	ZNF37A	ZNF37A	15/16	26408/56227	0.000106686831991404	0.0087393304504531	0.00764309752006267	ASXL2/RPP30/HLX/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C11orf96/C16orf72/TOB1	15
MD13	TF	binding	SP4	SP4	11/16	14440/56227	0.00036759564388453	0.0171667165694075	0.0150133799818103	ASXL2/HLX/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/TMEM57/GADD45A/C16orf72	11
MD13	TF	binding	E2F6	E2F6	11/16	14654/56227	0.00042253360252246	0.0179384720343626	0.0156883289740396	HLX/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/HERPUD1/GADD45A/C16orf72/TOB1	11
MD13	TF	binding	KLF3	KLF3	11/16	15782/56227	0.000846873433449282	0.0329574911184012	0.0288234115945896	ASXL2/HLX/KLF10/ZFP36L2/HES1/FBXL19-AS1/NABP1/TMEM57/GADD45A/C16orf72/TOB1	11
MD13	TF	binding	ZNF100	ZNF100	12/16	19283/56227	0.00105774533852812	0.0366677531004616	0.0320682704902042	ASXL2/HLX/KLF10/HNRNPH3/ZFP36L2/HES1/FBXL19-AS1/NABP1/GADD45A/C11orf96/C16orf72/TOB1	12
MD13	TF	binding	ZNF260	ZNF260	13/16	22739/56227	0.00105998857999193	0.0366677531004616	0.0320682704902042	RPP30/HLX/KLF10/HNRNPH3/HES1/FBXL19-AS1/NABP1/HERPUD1/TMEM57/GADD45A/C11orf96/C16orf72/TOB1	13
MD13	TF	binding	EGR1	EGR1	11/16	16912/56227	0.00160155908697659	0.0453289753707919	0.0396430574639181	ASXL2/HLX/KLF10/ZFP36L2/HES1/FBXL19-AS1/NABP1/TMEM57/GADD45A/C16orf72/TOB1	11
MD14	TF	binding	ZNF521	ZNF521	13/21	10957/56227	2.41612872471832e-05	0.0122376919906983	0.0116864331474533	HEXIM1/RNF103/GADD45B/ARL4D/THBS1/KLF11/MYC/FTL/DNAJB11/CALR/XBP1/HSPA5/HSP90B1	13
MD14	TF	binding	ZNF253	ZNF253	7/21	2829/56227	5.04088422323982e-05	0.0148652843626364	0.0141956630428252	IFRD1/CCDC107/GADD45B/THBS1/CALR/XBP1/HSPA5	7
MD14	TF	binding	KLF8	KLF8	16/21	18461/56227	5.86980626362739e-05	0.0148652843626364	0.0141956630428252	HEXIM1/IFRD1/CCDC107/ZNF844/RNF103/GADD45B/ARL4D/THBS1/KLF11/GLA/HBP1/MYC/FTL/DNAJB11/XBP1/HSP90B1	16
MD14	TF	binding	KLF15	KLF15	16/21	20410/56227	0.000230346926409398	0.0395458415986842	0.037764460361813	HEXIM1/IFRD1/CCDC107/ZNF844/RNF103/GADD45B/ARL4D/THBS1/KLF11/HBP1/MYC/FTL/DNAJB11/CALR/XBP1/HSP90B1	16
MD14	TF	binding	KLF7	KLF7	16/21	20445/56227	0.000235712129920377	0.0395458415986842	0.037764460361813	HEXIM1/IFRD1/CCDC107/ZNF844/RNF103/GADD45B/ARL4D/THBS1/KLF11/HBP1/MYC/FTL/DNAJB11/XBP1/HSPA5/HSP90B1	16
MD14	TF	binding	ZNF778	ZNF778	6/21	2573/56227	0.000273268401965241	0.0395458415986842	0.037764460361813	GADD45B/GLA/FTL/CALR/XBP1/HSP90B1	6
MD15	TF	binding	NRF1	NRF1	16/27	8899/56227	3.41926558150066e-07	0.000367571050011321	0.000343366248921224	RPL18/DDX3Y/KLF2/DDX3X/H3F3B/ZNF260/SRSF7/BRD2/YBX3/SOD2/TAF7/UBB/UBBP4/MORF4L2/BAG3/SERTAD1	16
MD15	TF	binding	ZNF740	ZNF740	19/27	16609/56227	1.3880400820681e-05	0.00373035772055803	0.00348471115340255	DDX3Y/SLC2A3/KLF2/H2AFZ/DDX3X/S100A13/CYCS/H3F3B/SRSF7/ZFAND5/BRD2/YBX3/SLC38A2/RP11-326I11.3/UBBP4/MORF4L2/BAG3/GEM/SERTAD1	19
MD15	TF	binding	EGR1	EGR1	18/27	16912/56227	9.4230044092709e-05	0.014471042485666	0.013518114596157	RPL18/DDX3Y/SLC2A3/KLF2/H2AFZ/DDX3X/S100A13/ZFAND5/BRD2/BTG1/YBX3/SLC38A2/RP11-326I11.3/UBBP4/MORF4L2/BAG3/GEM/SERTAD1	18
MD15	TF	binding	ZBTB11	ZBTB11	18/27	17398/56227	0.000141709921676528	0.0190371229271509	0.0177835155667094	KLF2/H2AFZ/DDX3X/S100A13/ZNF260/SRSF7/ZFAND5/BRD2/BTG1/YBX3/SLC38A2/ARL5B/RP11-326I11.3/SOD2/UBBP4/SRSF3/BAG3/SERTAD1	18
MD15	TF	binding	KLF12	KLF12	23/27	28155/56227	0.000159380564041263	0.0190371229271509	0.0177835155667094	RPL18/DDX3Y/SLC2A3/KLF2/H2AFZ/DDX3X/S100A13/CYCS/ZNF260/SRSF7/ZFAND5/BRD2/BTG1/YBX3/SLC38A2/ARL5B/RP11-326I11.3/SOD2/UBB/SRSF3/MORF4L2/BAG3/SERTAD1	23
MD15	TF	binding	DEAF1	DEAF1	10/27	5691/56227	0.000185926622384014	0.0199871119062815	0.0186709471320368	RPL18/KLF2/H2AFZ/SRSF7/YBX3/SOD2/TAF7/UBB/GEM/SERTAD1	10
MD15	TF	binding	SP3	SP3	20/27	21889/56227	0.000224980125992939	0.0219866941311282	0.0205388555212693	RPL18/DDX3Y/SLC2A3/KLF2/H2AFZ/DDX3X/S100A13/CYCS/SRSF7/ZFAND5/BRD2/SLC38A2/ARL5B/RP11-326I11.3/SOD2/UBB/UBBP4/MORF4L2/BAG3/SERTAD1	20
MD16	TF	binding	KLF15	KLF15	50/57	20410/56227	1.16666836351947e-15	6.31311506323811e-13	5.34569177391985e-13	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/RHOB/UBC/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	50
MD16	TF	binding	KLF7	KLF7	50/57	20445/56227	1.2627624524335e-15	6.31311506323811e-13	5.34569177391985e-13	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	50
MD16	TF	binding	KLF8	KLF8	48/57	18461/56227	1.61048853654033e-15	6.31311506323811e-13	5.34569177391985e-13	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/EIF1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	48
MD16	TF	binding	SP5	SP5	46/57	16757/56227	2.63495303035043e-15	7.74676190923026e-13	6.55964622818817e-13	IER5/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/EIF1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	46
MD16	TF	binding	ZNF580	ZNF580	39/57	13584/56227	2.10598832576114e-12	4.9532845421902e-10	4.19424201298956e-10	IER5/CTD-3252C9.4/MAFF/HSPE1/HSPB1/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/KLF4/DNAJA1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/PNRC1/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1	39
MD16	TF	binding	KLF12	KLF12	53/57	28155/56227	3.1118408050986e-12	6.09920797799325e-10	5.16456386249697e-10	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/UBC/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	53
MD16	TF	binding	WT1	WT1	39/57	14754/56227	3.27728007218146e-11	4.81760170610675e-09	4.07935124774166e-09	IER5/CTD-3252C9.4/MAFF/HSPB1/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/RHOB/BTG2/CSRNP1/DUSP1/DNAJB1/HSPA1A/HSP90AB1/HSPD1/HSPA8/PNRC1/JUND/SOCS3/JUNB/IER2/JUN/FOSB/EGR1/FOS/ZFP36	39
MD16	TF	binding	EGR1	EGR1	41/57	16912/56227	8.93119701570777e-11	1.16700974338581e-08	9.88176886182403e-09	IER5/MAFF/HSPE1/HSPB1/CYR61/PPP1R15B/NFIL3/ZFP36L1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPA8/PNRC1/NFKBIZ/JUND/SOCS3/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	41
MD16	TF	binding	SP3	SP3	44/57	21889/56227	4.52686668388018e-09	4.43632935020257e-07	3.75650516048303e-07	TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/UBC/BTG2/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSP90AA1/PPP1R15A/PNRC1/JUND/SOCS3/JUNB/IER2/JUN/FOSB/EGR1/FOS/ZFP36	44
MD16	TF	binding	HIC1	HIC1	36/57	15550/56227	2.38143732523195e-08	1.92421222545548e-06	1.6293454755468e-06	IER5/CTD-3252C9.4/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/NFIL3/ZFP36L1/CHORDC1/IER3/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/KLF4/EIF1/RHOB/BTG2/CSRNP1/HSP90AB1/HSPD1/HSP90AA1/PNRC1/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/FOS	36
MD16	TF	binding	ZNF714	ZNF714	25/57	7650/56227	2.45435232838709e-08	1.92421222545548e-06	1.6293454755468e-06	TCEAL9/CTD-3252C9.4/MAFF/HSPE1/TCP1/MRPL18/PPP1R15B/ZFP36L1/IER3/HNRNPU/HLA-E/KLF4/RHOB/CSRNP1/DUSP1/HSPH1/HSPD1/HSPA8/HSP90AA1/PNRC1/SOCS3/JUNB/IER2/EGR1/FOS	25
MD16	TF	binding	KLF5	KLF5	48/57	27419/56227	2.78098522819035e-08	2.0440241427199e-06	1.73079738543952e-06	TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	48
MD16	TF	binding	ZNF148	ZNF148	49/57	29504/56227	9.69890622248247e-08	5.43138748459018e-06	4.59908034409444e-06	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/UBC/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	49
MD16	TF	binding	KLF4	KLF4	48/57	28551/56227	1.37669787814714e-07	7.35907593045926e-06	6.23136934319232e-06	TCEAL9/CTD-3252C9.4/MAFF/HSPB1/ID3/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PNRC1/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	48
MD16	TF	binding	ZNF70	ZNF70	19/57	5085/56227	3.09819746425898e-07	1.58412183389937e-05	1.34137061839313e-05	IER5/HSPB1/PPP1R15B/ZFP36L1/DDX5/HNRNPU/NFKBIA/DNAJB4/HSP90AB1/HSPA8/HSP90AA2P/PPP1R15A/JUND/JUNB/IER2/MCL1/FOSB/EGR1/FOS	19
MD16	TF	binding	ZNF66	ZNF66	25/57	8769/56227	3.69879042681457e-07	1.75686931221902e-05	1.48764623107697e-05	MAFF/ID3/CYR61/NFIL3/ZFP36L1/IER3/NR4A1/HNRNPU/NAMPT/IRF1/KLF4/EIF1/BTG2/CSRNP1/HSPH1/DNAJB1/HSP90AB1/JUND/SOCS3/CCNL1/JUNB/MCL1/JUN/FOS/ZFP36	25
MD16	TF	binding	E2F6	E2F6	33/57	14654/56227	3.7348412249554e-07	1.75686931221902e-05	1.48764623107697e-05	TCEAL9/HSPE1/ID3/CYR61/TCP1/MRPL18/NFIL3/ZFP36L1/IER3/ATF3/HNRNPU/NAMPT/IRF1/NFKBIA/KLF4/DNAJA1/EIF1/UBC/CSRNP1/DNAJB1/HSP90AB1/HSPA8/HSP90AA1/PNRC1/JUND/SOCS3/CCNL1/IER2/MCL1/JUN/EGR1/FOS/ZFP36	33
MD16	TF	binding	ZBTB11	ZBTB11	36/57	17398/56227	5.37444630742785e-07	2.43090340674429e-05	2.05839117685293e-05	IER5/CTD-3252C9.4/MAFF/HSPE1/ID3/TCP1/MRPL18/NFIL3/ZFP36L1/DDX5/NR4A1/HNRNPU/IRF1/NFKBIA/KLF4/DNAJA1/EIF1/BTG2/CSRNP1/DUSP1/HSPH1/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PNRC1/JUND/SOCS3/JUNB/IER2/MCL1/FOSB/EGR1/FOS/ZFP36	36
MD16	TF	binding	ZNF37A	ZNF37A	45/57	26408/56227	7.58680629404424e-07	3.18645864349858e-05	2.69816494517513e-05	TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/NFIL3/ZFP36L1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/KLF4/EIF1/RHOB/UBC/BTG2/CSRNP1/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/PPP1R15A/PNRC1/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/EGR1/FOS/ZFP36	45
MD16	TF	binding	SALL4	SALL4	45/57	26890/56227	1.42282534838134e-06	5.76980210240159e-05	4.88563622348004e-05	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/ATF3/HNRNPU/IRF1/NFKBIA/KLF4/DNAJA1/EIF1/RHOB/UBC/CSRNP1/DUSP1/HSPH1/HSPA1A/HSP90AB1/HSPD1/HSPA8/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/JUN/FOSB/EGR1/FOS/ZFP36	45
MD16	TF	binding	KLF11	KLF11	33/57	15722/56227	2.10927134550549e-06	8.00162291069181e-05	6.77545226773581e-05	TCEAL9/CTD-3252C9.4/MAFF/HSPB1/CYR61/MRPL18/IER3/DDX5/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/BTG2/HSPH1/DNAJB1/HSP90AB1/HSPD1/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/JUNB/IER2/JUN/FOSB/EGR1/FOS/ZFP36	33
MD16	TF	binding	PATZ1	PATZ1	55/57	40581/56227	2.18388173440405e-06	8.01487364416823e-05	6.78667245558821e-05	IER5/TCEAL9/CTD-3252C9.4/MAFF/HSPE1/HSPB1/ID3/CYR61/TCP1/MRPL18/PPP1R15B/NFIL3/ZFP36L1/CHORDC1/IER3/DDX5/EIF4A3/NR4A1/HNRNPU/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/UBC/BTG2/CSRNP1/DUSP1/DNAJB4/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPD1/HSPA8/HSP90AA2P/HSP90AA1/PPP1R15A/PNRC1/NFKBIZ/JUND/SOCS3/CCNL1/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	55
MD16	TF	binding	ZNF740	ZNF740	34/57	16609/56227	2.24907168586353e-06	8.01487364416823e-05	6.78667245558821e-05	TCEAL9/CTD-3252C9.4/MAFF/ID3/CYR61/PPP1R15B/NFIL3/ZFP36L1/DDX5/EIF4A3/NR4A1/HNRNPU/IRF1/NFKBIA/KLF4/DNAJA1/BTG2/CSRNP1/DUSP1/HSPH1/HSPA1A/HSP90AB1/HSPA8/HSP90AA1/PNRC1/JUND/SOCS3/JUNB/IER2/MCL1/JUN/FOSB/EGR1/ZFP36	34
MD16	TF	binding	ZNF100	ZNF100	37/57	19283/56227	2.33606395877994e-06	8.08003298683886e-05	6.84184676472392e-05	IER5/TCEAL9/CTD-3252C9.4/HSPE1/ID3/CYR61/PPP1R15B/ZFP36L1/DDX5/NR4A1/NAMPT/IRF1/NFKBIA/HLA-E/KLF4/DNAJA1/EIF1/RHOB/UBC/DUSP1/HSPH1/DNAJB1/HSPA1A/HSPA8/HSP90AA1/PPP1R15A/PNRC1/JUND/SOCS3/JUNB/IER2/MCL1/JUN/FOSB/EGR1/FOS/ZFP36	37
