cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD16	hsa04915	Estrogen signaling pathway	7/37	139/7846	3.109492609495e-06	7.27621270621831e-05	4.84426217058169e-05	HSPA1A/HSPA1B/HSP90AB1/HSPA8/HSP90AA1/JUN/FOS	7
MD16	hsa05134	Legionellosis	5/37	57/7846	6.17783448519482e-06	0.000109201108964479	7.27024926978988e-05	NFKBIA/HSPA1A/HSPA1B/HSPD1/HSPA8	5
MD16	hsa04010	MAPK signaling pathway	9/37	295/7846	6.5333996816355e-06	0.000109201108964479	7.27024926978988e-05	HSPB1/NR4A1/DUSP1/HSPA1A/HSPA1B/HSPA8/JUND/JUN/FOS	9
MD16	hsa04668	TNF signaling pathway	6/37	114/7846	1.32770526044949e-05	0.000194176894340737	0.000129276564833239	IRF1/NFKBIA/SOCS3/JUNB/JUN/FOS	6
MD16	hsa03040	Spliceosome	6/37	135/7846	3.48128238988571e-05	0.000452566710685143	0.000301303972925781	DDX5/EIF4A3/HNRNPU/HSPA1A/HSPA1B/HSPA8	6
MD16	hsa05162	Measles	6/37	140/7846	4.27433243665959e-05	0.000500096895089171	0.000332948000329273	NFKBIA/HSPA1A/HSPA1B/HSPA8/JUN/FOS	6
MD16	hsa04659	Th17 cell differentiation	5/37	105/7846	0.000120966012083539	0.00128663849216127	0.000856601425280561	NFKBIA/HSP90AB1/HSP90AA1/JUN/FOS	5
MD16	hsa05418	Fluid shear stress and atherosclerosis	5/37	140/7846	0.00046360213994083	0.00436918530637815	0.0029088593132882	DUSP1/HSP90AB1/HSP90AA1/JUN/FOS	5
MD16	hsa05166	Human T-cell leukemia virus 1 infection	6/37	218/7846	0.000485465034042017	0.00436918530637815	0.0029088593132882	NFKBIA/HLA-E/JUN/EGR1/FOS/ZFP36	6
MD16	hsa04621	NOD-like receptor signaling pathway	5/37	180/7846	0.00144437933146624	0.0120708844129678	0.00803639628033846	NAMPT/NFKBIA/HSP90AB1/HSP90AA1/JUN	5
MD16	hsa05145	Toxoplasmosis	4/37	110/7846	0.00169158789865862	0.0128049092341441	0.00852508576992052	NFKBIA/HSPA1A/HSPA1B/HSPA8	4
MD16	hsa05167	Kaposi sarcoma-associated herpesvirus infection	5/37	188/7846	0.00175109869868638	0.0128049092341441	0.00852508576992052	NFKBIA/HLA-E/JUN/FOS/ZFP36	5
MD16	hsa04213	Longevity regulating pathway - multiple species	3/37	64/7846	0.0033005997064199	0.0227158920971252	0.0151234909148652	HSPA1A/HSPA1B/HSPA8	3
MD16	hsa04210	Apoptosis	4/37	138/7846	0.00385789946298962	0.0250763465094325	0.0166950035240486	NFKBIA/MCL1/JUN/FOS	4
MD16	hsa05031	Amphetamine addiction	3/37	69/7846	0.00408410461325544	0.0251494863026782	0.0167436975834295	JUN/FOSB/FOS	3
MD16	hsa04917	Prolactin signaling pathway	3/37	72/7846	0.00460410503045653	0.0266645595044696	0.0177523832958232	IRF1/SOCS3/FOS	3
MD16	hsa05140	Leishmaniasis	3/37	73/7846	0.00478594657772531	0.0266645595044696	0.0177523832958232	NFKBIA/JUN/FOS	3
MD16	hsa05133	Pertussis	3/37	76/7846	0.00535741465191083	0.0284917051942531	0.0189688365665742	IRF1/JUN/FOS	3
MD16	hsa04662	B cell receptor signaling pathway	3/37	81/7846	0.00639801841451893	0.0325464414999441	0.0216683461178216	NFKBIA/JUN/FOS	3
MD16	hsa04658	Th1 and Th2 cell differentiation	3/37	90/7846	0.00855778023414529	0.0412825917659681	0.027484586510856	NFKBIA/JUN/FOS	3
MD16	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/37	91/7846	0.00882106661665986	0.0412825917659681	0.027484586510856	NFKBIA/JUN/FOS	3
MD16	hsa05215	Prostate cancer	3/37	99/7846	0.0110993429237239	0.0488038384252679	0.0324919841967596	NFKBIA/HSP90AB1/HSP90AA1	3
MD16	hsa05142	Chagas disease (American trypanosomiasis)	3/37	103/7846	0.012354816863241	0.0488038384252679	0.0324919841967596	NFKBIA/JUN/FOS	3
MD16	hsa04620	Toll-like receptor signaling pathway	3/37	104/7846	0.0126809588974193	0.0488038384252679	0.0324919841967596	NFKBIA/JUN/FOS	3
MD16	hsa04660	T cell receptor signaling pathway	3/37	105/7846	0.013012035494061	0.0488038384252679	0.0324919841967596	NFKBIA/JUN/FOS	3
MD16	hsa04625	C-type lectin receptor signaling pathway	3/37	106/7846	0.0133480583727228	0.0488038384252679	0.0324919841967596	IRF1/NFKBIA/JUN	3
MD16	hsa04928	Parathyroid hormone synthesis, secretion and action	3/37	106/7846	0.0133480583727228	0.0488038384252679	0.0324919841967596	JUND/EGR1/FOS	3
MD25	hsa03010	Ribosome	6/23	150/7846	3.40932259984754e-06	0.00023524325938948	0.000197381834728016	RSL24D1/RPS4Y1/MRPS21/RPL35/RPL12/RPS7	6
MD25	hsa00190	Oxidative phosphorylation	4/23	132/7846	0.000528805016913697	0.0156056237367659	0.0130939634709707	COX4I1/NDUFS5/COX6C/ATP5L	4
MD25	hsa05012	Parkinson disease	4/23	141/7846	0.000678505379859389	0.0156056237367659	0.0130939634709707	COX4I1/NDUFS5/COX6C/PARK7	4
MD25	hsa05010	Alzheimer disease	4/23	170/7846	0.00136508824174734	0.0235477721701416	0.0197578561305536	COX4I1/NDUFS5/COX6C/CALM2	4
MD25	hsa04540	Gap junction	3/23	88/7846	0.0020528446312033	0.0245721855678346	0.0206173944505096	TUBA1A/TUBB/TUBA1B	3
MD25	hsa05016	Huntington disease	4/23	192/7846	0.00213671178850736	0.0245721855678346	0.0206173944505096	SOD1/COX4I1/NDUFS5/COX6C	4
MD25	hsa04714	Thermogenesis	4/23	230/7846	0.004107462872782	0.0404878483174226	0.0339714974440617	COX4I1/NDUFS5/COX6C/ATP5L	4
MD26	hsa05100	Bacterial invasion of epithelial cells	4/33	75/7846	0.000255464099311364	0.0270208462190925	0.0222874222545539	ARPC5/RHOA/ACTB/ACTG1	4
MD26	hsa04921	Oxytocin signaling pathway	5/33	153/7846	0.000403296212225261	0.0270208462190925	0.0222874222545539	RHOA/GNAS/ACTB/ACTG1/CALM1	5
MD26	hsa05110	Vibrio cholerae infection	3/33	50/7846	0.00116141295961361	0.0358265857803394	0.0295506009971378	GNAS/ACTB/ACTG1	3
MD26	hsa05135	Yersinia infection	4/33	122/7846	0.00160661614144952	0.0358265857803394	0.0295506009971378	ACTR2/RHOA/ACTB/ACTG1	4
MD26	hsa04611	Platelet activation	4/33	125/7846	0.00175706026815628	0.0358265857803394	0.0295506009971378	RHOA/GNAS/ACTB/ACTG1	4
MD26	hsa04015	Rap1 signaling pathway	5/33	212/7846	0.00175910254766173	0.0358265857803394	0.0295506009971378	RHOA/GNAS/ACTB/ACTG1/CALM1	5
MD26	hsa04810	Regulation of actin cytoskeleton	5/33	215/7846	0.00187153806315206	0.0358265857803394	0.0295506009971378	ARPC5/RHOA/TMSB4X/ACTB/ACTG1	5
MD26	hsa04714	Thermogenesis	5/33	230/7846	0.00251479694158276	0.0376897517433253	0.0310873836060421	GNAS/ACTB/ACTG1/COX7A2L/ATP5B	5
MD26	hsa05418	Fluid shear stress and atherosclerosis	4/33	140/7846	0.00265885635668966	0.0376897517433253	0.0310873836060421	RHOA/ACTB/ACTG1/CALM1	4
MD26	hsa05131	Shigellosis	5/33	236/7846	0.00281266804054666	0.0376897517433253	0.0310873836060421	ARPC5/CAPNS1/RHOA/ACTB/ACTG1	5
MD26	hsa04520	Adherens junction	3/33	71/7846	0.00318952648395093	0.038854231713584	0.0320478737621863	RHOA/ACTB/ACTG1	3
MD26	hsa04971	Gastric acid secretion	3/33	75/7846	0.00372545588850551	0.0416009240883116	0.0343134094993929	GNAS/ACTB/CALM1	3
MD26	hsa05132	Salmonella infection	3/33	78/7846	0.00416146271109749	0.042895077175928	0.0353808570579139	ARPC5/ACTB/ACTG1	3
MD26	hsa04530	Tight junction	4/33	169/7846	0.00522167350573913	0.0499788749835031	0.0412237382032037	ACTR2/RHOA/ACTB/ACTG1	4
MD27	hsa03010	Ribosome	46/57	150/7846	7.09422902494543e-72	2.27015328798254e-70	2.27015328798254e-70	RPL24/RPL27/RPL36/RPL26/RPL30/RPL13/RPL32/RPS15A/RPL7/RPS24/RPL13A/RPL19/RPL38/RPL35A/RPS5/RPS18/RPS3A/RPL6/RPLP2/RPL10A/RPL8/RPS27A/RPS4X/RPL37A/RPL15/RPL27A/RPLP0/RPS16/RPL31/RPS12/RPL23/RPL34/RPS23/RPS3/RPS17/RPL11/RPS20/RPL22/RPL9/RPL4/RPL5/RPS6/RPL3/RPLP1/RPS11/RPL14	46
MD32	hsa04974	Protein digestion and absorption	5/13	95/7846	2.79049654886311e-07	1.17200855052251e-05	9.10583084365857e-06	SLC1A5/COL5A2/COL3A1/COL1A2/COL1A1	5
MD32	hsa04933	AGE-RAGE signaling pathway in diabetic complications	4/13	102/7846	1.75945700024362e-05	0.00036948597005116	0.000287069300039748	COL3A1/COL1A2/COL1A1/MMP2	4
MD32	hsa04926	Relaxin signaling pathway	4/13	131/7846	4.7225849663466e-05	0.000661161895288524	0.000513684680549981	COL3A1/COL1A2/COL1A1/MMP2	4
MD32	hsa05205	Proteoglycans in cancer	4/13	206/7846	0.000273944302747449	0.00287641517884821	0.00223480878557129	FZD1/COL1A2/COL1A1/MMP2	4
MD32	hsa05146	Amoebiasis	3/13	102/7846	0.000555007552255485	0.00466206343894607	0.00362215455156211	COL3A1/COL1A2/COL1A1	3
MD32	hsa04611	Platelet activation	3/13	125/7846	0.00100465965944159	0.00703261761609116	0.00546393849871744	COL3A1/COL1A2/COL1A1	3
MD32	hsa04550	Signaling pathways regulating pluripotency of stem cells	3/13	141/7846	0.00142385128787127	0.0085431077272276	0.00663750224421192	IL6ST/FZD1/LIFR	3
MD33	hsa04726	Serotonergic synapse	3/6	113/7846	5.63769382206116e-05	0.00412210556811348	0.00240033023003248	GNAI1/PRKCB/MAOA	3
MD33	hsa04728	Dopaminergic synapse	3/6	131/7846	8.77043737896485e-05	0.00412210556811348	0.00240033023003248	GNAI1/PRKCB/MAOA	3
MD33	hsa04015	Rap1 signaling pathway	3/6	212/7846	0.000366285000455503	0.0114769300142724	0.00668309474515303	GNAI1/ANGPT1/PRKCB	3
MD36	hsa00190	Oxidative phosphorylation	12/29	132/7846	1.26179443971981e-14	9.84199662981453e-13	8.63333037703029e-13	MT-ND6/MT-ATP8/MT-CO2/MT-ND3/MT-CO3/MT-CO1/MT-ND1/MT-ND2/MT-ND5/MT-ND4/MT-ATP6/MT-CYB	12
MD36	hsa05012	Parkinson disease	12/29	141/7846	2.82801278940523e-14	1.10292498786804e-12	9.67478059533369e-13	MT-ND6/MT-ATP8/MT-CO2/MT-ND3/MT-CO3/MT-CO1/MT-ND1/MT-ND2/MT-ND5/MT-ND4/MT-ATP6/MT-CYB	12
MD36	hsa04714	Thermogenesis	12/29	230/7846	1.01141415294818e-11	2.62967679766526e-10	2.3067340330397e-10	MT-ND6/MT-ATP8/MT-CO2/MT-ND3/MT-CO3/MT-CO1/MT-ND1/MT-ND2/MT-ND5/MT-ND4/MT-ATP6/MT-CYB	12
MD36	hsa04723	Retrograde endocannabinoid signaling	6/29	147/7846	1.29981103617521e-05	0.000253463152054165	0.000222336098293127	MT-ND6/MT-ND3/MT-ND1/MT-ND2/MT-ND5/MT-ND4	6
MD36	hsa05010	Alzheimer disease	6/29	170/7846	2.97469817722275e-05	0.000464052915646749	0.00040706396109364	MT-ATP8/MT-CO2/MT-CO3/MT-CO1/MT-ATP6/MT-CYB	6
MD36	hsa05016	Huntington disease	6/29	192/7846	5.89857620463812e-05	0.000766814906602955	0.000672644654914873	MT-ATP8/MT-CO2/MT-CO3/MT-CO1/MT-ATP6/MT-CYB	6
MD36	hsa01100	Metabolic pathways	15/29	1488/7846	7.26548675133859e-05	0.000809582809434871	0.000710160359153396	SUCLG1/GANAB/GLS/MT-ND6/MT-ATP8/MT-CO2/MT-ND3/MT-CO3/MT-CO1/MT-ND1/MT-ND2/MT-ND5/MT-ND4/MT-ATP6/MT-CYB	15
MD36	hsa04260	Cardiac muscle contraction	4/29	85/7846	0.000247850659106648	0.00241654392628981	0.00211977537393843	MT-CO2/MT-CO3/MT-CO1/MT-CYB	4
MD36	hsa04932	Non-alcoholic fatty liver disease (NAFLD)	4/29	150/7846	0.00210096167648785	0.0182083345295614	0.015972223271545	MT-CO2/MT-CO3/MT-CO1/MT-CYB	4
MD39	hsa05010	Alzheimer disease	3/13	170/7846	0.00243574429889866	0.0497712909459724	0.0202078925645302	CALM3/UQCRQ/CALM2	3
MD39	hsa04810	Regulation of actin cytoskeleton	3/13	215/7846	0.00473581579351181	0.0497712909459724	0.0202078925645302	TMSB4X/MYL12B/MYL12A	3
MD40	hsa04540	Gap junction	5/12	88/7846	1.17845203650571e-07	2.59259448031256e-06	1.9847613246412e-06	TUBB2A/TUBB/TUBB4B/TUBA1B/TUBA1A	5
MD40	hsa04145	Phagosome	5/12	148/7846	1.5892403100215e-06	1.74816434102365e-05	1.33830762949179e-05	TUBB2A/TUBB/TUBB4B/TUBA1B/TUBA1A	5
MD40	hsa05130	Pathogenic Escherichia coli infection	5/12	200/7846	7.01033888617076e-06	5.14091518319189e-05	3.93562884837657e-05	TUBB2A/TUBB/TUBB4B/TUBA1B/TUBA1A	5
MD40	hsa04530	Tight junction	3/12	169/7846	0.00187180538557827	0.0102949296206805	0.00788128583401376	TUBA1B/TUBA1A/MYL6	3
MD42	hsa05416	Viral myocarditis	4/12	57/7846	1.18668492637431e-06	6.17076161714644e-05	3.87234028606355e-05	FYN/HLA-C/HLA-A/HLA-B	4
MD42	hsa04612	Antigen processing and presentation	4/12	68/7846	2.42460156592112e-06	6.30396407139491e-05	3.95592887071341e-05	CTSL/HLA-C/HLA-A/HLA-B	4
MD42	hsa05330	Allograft rejection	3/12	35/7846	1.74072706899871e-05	0.000244446211459801	0.000153397420146839	HLA-C/HLA-A/HLA-B	3
MD42	hsa05332	Graft-versus-host disease	3/12	37/7846	2.06297093882925e-05	0.000244446211459801	0.000153397420146839	HLA-C/HLA-A/HLA-B	3
MD42	hsa04650	Natural killer cell mediated cytotoxicity	4/12	125/7846	2.75328217145353e-05	0.000244446211459801	0.000153397420146839	FYN/HLA-C/HLA-A/HLA-B	4
MD42	hsa04940	Type I diabetes mellitus	3/12	41/7846	2.82053320915155e-05	0.000244446211459801	0.000153397420146839	HLA-C/HLA-A/HLA-B	3
MD42	hsa05320	Autoimmune thyroid disease	3/12	50/7846	5.14586571112562e-05	0.000347723737099452	0.000218207203442976	HLA-C/HLA-A/HLA-B	3
MD42	hsa04145	Phagosome	4/12	148/7846	5.34959595537618e-05	0.000347723737099452	0.000218207203442976	CTSL/HLA-C/HLA-A/HLA-B	4
MD42	hsa04218	Cellular senescence	4/12	160/7846	7.25761753107981e-05	0.000419329012906834	0.000263141688261373	ZFP36L2/HLA-C/HLA-A/HLA-B	4
MD42	hsa04142	Lysosome	3/12	123/7846	0.000745942389271255	0.00387890042421052	0.00243412779656936	SORT1/CTSL/LAPTM4A	3
MD42	hsa04514	Cell adhesion molecules (CAMs)	3/12	144/7846	0.00117962792640925	0.00557642292484372	0.00349937470992217	HLA-C/HLA-A/HLA-B	3
MD42	hsa05167	Kaposi sarcoma-associated herpesvirus infection	3/12	188/7846	0.00253923343307697	0.0110033448766669	0.00690493301977071	HLA-C/HLA-A/HLA-B	3
MD42	hsa05169	Epstein-Barr virus infection	3/12	199/7846	0.00298557569961436	0.0115708457917503	0.00726105707579471	HLA-C/HLA-A/HLA-B	3
MD42	hsa05203	Viral carcinogenesis	3/12	202/7846	0.00311522771316354	0.0115708457917503	0.00726105707579471	HLA-C/HLA-A/HLA-B	3
MD42	hsa05170	Human immunodeficiency virus 1 infection	3/12	212/7846	0.00357254963492768	0.012384838734416	0.00777186236370232	HLA-C/HLA-A/HLA-B	3
MD42	hsa05166	Human T-cell leukemia virus 1 infection	3/12	218/7846	0.00386586679912736	0.0125640670971639	0.00788433360348344	HLA-C/HLA-A/HLA-B	3
MD42	hsa05163	Human cytomegalovirus infection	3/12	224/7846	0.00417367347765522	0.0127665306375336	0.00801138562274377	HLA-C/HLA-A/HLA-B	3
MD42	hsa04144	Endocytosis	3/12	247/7846	0.00549194259155647	0.0158656119311631	0.00995615323615501	HLA-C/HLA-A/HLA-B	3
MD42	hsa05165	Human papillomavirus infection	3/12	332/7846	0.012423529579937	0.0340012388503539	0.021336809804878	HLA-C/HLA-A/HLA-B	3
MD45	hsa04512	ECM-receptor interaction	6/57	88/7846	3.84539764590921e-05	0.00569118851594563	0.00526212309440207	SDC4/COL4A1/COL4A4/LAMA1/ITGA6/NPNT	6
MD45	hsa04974	Protein digestion and absorption	5/57	95/7846	0.000596113997373954	0.0441124358056726	0.0407867471887442	COL4A1/COL4A4/KCNE3/SLC1A5/COL3A1	5
MD49	hsa04114	Oocyte meiosis	4/12	125/7846	2.75328217145353e-05	0.000550656434290706	0.000463710681507963	BUB1/SPDYA/STAG3/SMC1B	4
MD51	hsa05161	Hepatitis B	8/39	164/7846	1.08884519337032e-06	5.21266259776433e-05	3.35084779285774e-05	EGR2/DDX3X/CYCS/NFKBIA/ATF4/JUN/FOS/EGR3	8
MD51	hsa04010	MAPK signaling pathway	10/39	295/7846	1.16996543852051e-06	5.21266259776433e-05	3.35084779285774e-05	JUND/DUSP5/NR4A1/HSPA1A/HSPA1B/ATF4/DUSP1/GADD45B/JUN/FOS	10
MD51	hsa04141	Protein processing in endoplasmic reticulum	8/39	166/7846	1.19373952620557e-06	5.21266259776433e-05	3.35084779285774e-05	HSPA1A/HSPA1B/HSPA5/XBP1/HERPUD1/ATF4/DNAJB1/PPP1R15A	8
MD51	hsa04210	Apoptosis	7/39	138/7846	4.29843804791065e-06	0.000140773846069074	9.04934325875927e-05	CYCS/NFKBIA/ATF4/GADD45B/JUN/MCL1/FOS	7
MD51	hsa04380	Osteoclast differentiation	6/39	127/7846	3.36483831234063e-05	0.000881587637833244	0.000566709610499474	JUND/JUNB/NFKBIA/JUN/FOS/FOSB	6
MD51	hsa05162	Measles	6/39	140/7846	5.82533192008404e-05	0.00127186413588502	0.000817590444924076	HSPA1A/HSPA1B/CYCS/NFKBIA/JUN/FOS	6
MD51	hsa05166	Human T-cell leukemia virus 1 infection	7/39	218/7846	8.37169714808414e-05	0.00151523020581882	0.000974033077264007	EGR2/NFKBIA/ATF4/JUN/FOS/EGR1/ZFP36	7
MD51	hsa04657	IL-17 signaling pathway	5/39	94/7846	9.25331423400806e-05	0.00151523020581882	0.000974033077264007	JUND/NFKBIA/JUN/FOS/FOSB	5
MD51	hsa05134	Legionellosis	4/39	57/7846	0.000170398783687304	0.00248024896255965	0.00159437458420869	HSPA1A/HSPA1B/CYCS/NFKBIA	4
MD51	hsa04668	TNF signaling pathway	5/39	114/7846	0.000230191134211548	0.00301550385817127	0.0019384516565183	JUNB/NFKBIA/ATF4/JUN/FOS	5
MD51	hsa05031	Amphetamine addiction	4/39	69/7846	0.00035730196802847	0.00425514161924814	0.00273532607103135	ATF4/JUN/FOS/FOSB	4
MD51	hsa05203	Viral carcinogenesis	6/39	202/7846	0.000433977593987875	0.00473758873436763	0.00304545679991491	EGR2/DDX3X/NFKBIA/ATF4/JUN/EGR3	6
MD51	hsa03040	Spliceosome	5/39	135/7846	0.000503844596153748	0.0050772032381647	0.00326377066334412	DDX5/HSPA1A/HSPA1B/SRSF7/EIF4A3	5
MD51	hsa04915	Estrogen signaling pathway	5/39	139/7846	0.000575918880577196	0.00538895523968662	0.00346417371775757	HSPA1A/HSPA1B/ATF4/JUN/FOS	5
MD51	hsa05020	Prion diseases	3/39	35/7846	0.000665814222319595	0.00581477754159113	0.00373790440600474	HSPA1A/HSPA5/EGR1	3
MD51	hsa05210	Colorectal cancer	4/39	88/7846	0.000900681851565386	0.0073743326596916	0.00474043079771256	CYCS/GADD45B/JUN/FOS	4
MD51	hsa05030	Cocaine addiction	3/39	49/7846	0.00178635630164065	0.0124081432818968	0.00797630745320805	ATF4/JUN/FOSB	3
MD51	hsa04625	C-type lectin receptor signaling pathway	4/39	106/7846	0.00179965436913007	0.0124081432818968	0.00797630745320805	EGR2/NFKBIA/JUN/EGR3	4
MD51	hsa04928	Parathyroid hormone synthesis, secretion and action	4/39	106/7846	0.00179965436913007	0.0124081432818968	0.00797630745320805	JUND/ATF4/FOS/EGR1	4
MD51	hsa05202	Transcriptional misregulation in cancer	5/39	184/7846	0.00202515449410412	0.0128624022602565	0.0082683180459664	ID2/NFKBIZ/DDX5/H3F3B/GADD45B	5
MD51	hsa05145	Toxoplasmosis	4/39	110/7846	0.00206191181271287	0.0128624022602565	0.0082683180459664	HSPA1A/HSPA1B/CYCS/NFKBIA	4
MD51	hsa05167	Kaposi sarcoma-associated herpesvirus infection	5/39	188/7846	0.00222528621012895	0.013250567887586	0.00851784195264669	CYCS/NFKBIA/JUN/FOS/ZFP36	5
MD51	hsa04926	Relaxin signaling pathway	4/39	131/7846	0.00388363670089175	0.0221198438181226	0.014219264808757	NFKBIA/ATF4/JUN/FOS	4
MD51	hsa04612	Antigen processing and presentation	3/39	68/7846	0.00455321382978555	0.0248529588209128	0.0159761888764405	HSPA1A/HSPA1B/HSPA5	3
MD51	hsa05140	Leishmaniasis	3/39	73/7846	0.00555501075831982	0.0291082563735959	0.0187116151859194	NFKBIA/JUN/FOS	3
MD51	hsa04932	Non-alcoholic fatty liver disease (NAFLD)	4/39	150/7846	0.00627752602583027	0.0316290734378371	0.0203320680998551	XBP1/CYCS/ATF4/JUN	4
MD51	hsa04662	B cell receptor signaling pathway	3/39	81/7846	0.00741505069947489	0.0359767274678226	0.0231268637800386	NFKBIA/JUN/FOS	3
MD51	hsa04658	Th1 and Th2 cell differentiation	3/39	90/7846	0.0099015428263098	0.0460951830436667	0.0296312948452659	NFKBIA/JUN/FOS	3
MD51	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/39	91/7846	0.0102042771623384	0.0460951830436667	0.0296312948452659	NFKBIA/JUN/FOS	3
MD51	hsa04912	GnRH signaling pathway	3/39	93/7846	0.0108258624750174	0.0470955544159475	0.0302743620190904	ATF4/JUN/EGR1	3
MD51	hsa05222	Small cell lung cancer	3/39	94/7846	0.0111447495182777	0.0470955544159475	0.0302743620190904	CYCS/NFKBIA/GADD45B	3
MD53	hsa04145	Phagosome	4/11	148/7846	3.61937198058482e-05	0.000988582825130706	0.000448892098098566	RAB5B/SEC61G/ACTB/ACTG1	4
MD53	hsa05110	Vibrio cholerae infection	3/11	50/7846	3.87679539266943e-05	0.000988582825130706	0.000448892098098566	SEC61G/ACTB/ACTG1	3
MD53	hsa04714	Thermogenesis	3/11	230/7846	0.00344611694608831	0.0322798274245265	0.0146575067768748	ATP5G3/ACTB/ACTG1	3
MD54	hsa00190	Oxidative phosphorylation	3/5	132/7846	4.54184486777638e-05	0.000545021384133165	0.000143426680035043	NDUFS5/ATP5I/NDUFA1	3
MD54	hsa04714	Thermogenesis	3/5	230/7846	0.000238051144232787	0.00142830686539672	0.00037587022773598	NDUFS5/ATP5I/NDUFA1	3
MD55	hsa03010	Ribosome	5/16	150/7846	8.80521357724695e-06	0.000387429397398866	0.000315133959606733	RPL23A/RPS29/UBA52/RPL18/RPS25	5
MD55	hsa00190	Oxidative phosphorylation	4/16	132/7846	0.000119085801079096	0.00261988762374012	0.00213100907194172	ATP5B/UQCRHL/UQCRH/ATP5L	4
MD55	hsa04714	Thermogenesis	4/16	230/7846	0.000991699102068831	0.0145449201636762	0.0118307963053825	ATP5B/UQCRHL/UQCRH/ATP5L	4
MD55	hsa05012	Parkinson disease	3/16	141/7846	0.00267998925057901	0.0294798817563692	0.0239788511893912	ATP5B/UQCRHL/UQCRH	3
MD55	hsa05010	Alzheimer disease	3/16	170/7846	0.00454686797845576	0.0400124382104107	0.0325460023721044	ATP5B/UQCRHL/UQCRH	3
MD55	hsa05016	Huntington disease	3/16	192/7846	0.00638614912108145	0.046831760221264	0.0380928193187315	ATP5B/UQCRHL/UQCRH	3
MD56	hsa03010	Ribosome	61/74	150/7846	1.05454309148773e-97	4.32362667509971e-96	4.32362667509971e-96	RPL15/RPS10/RPS28/RPL41/RPL37/RPL10/RPL39/RPL24/RPS19/RPL29/RPS5/RPS2/RPS16/RPL35A/RPL32/RPLP1/RPLP2/RPL38/RPL30/RPS7/RPS15A/RPS21/RPL21/RPL27/RPS11/RPL6/RPL12/RPL7A/RPL26/RPL14/RPL36/RPL7/RPS27A/RPL19/RPLP0/RPS24/RPL13/RPL22/RPL4/RPL27A/RPL31/RPS4X/RPS20/RPL13A/RPL8/RPS23/RPL23/RPS3A/RPS18/RPL34/RPS12/RPL11/RPS6/RPL10A/RPS17/RPL5/RPS3/RPL3/RPL37A/RPL9/RPL35	61
MD59	hsa04974	Protein digestion and absorption	7/44	95/7846	8.11654391040013e-07	7.95421303219212e-05	6.92042164992011e-05	ELN/COL14A1/COL5A1/COL5A2/COL3A1/COL1A2/COL1A1	7
MD59	hsa04350	TGF-beta signaling pathway	6/44	94/7846	1.23168658010386e-05	0.000603526424250893	0.000525087436781121	BMP7/LTBP1/FBN1/THSD4/ACVR2A/NEO1	6
