	nCell	nUMI	validCell	cellRatio	filter
RP11-465B22.3	39	67	2235	0.0174496644295302	TRUE
RP11-54O7.18	0	0	2235	0	FALSE
RNF223	12	31	2235	0.00536912751677852	FALSE
C1orf159	2	3	2235	0.000894854586129754	FALSE
LINC01342	0	0	2235	0	FALSE
MIR200B	0	0	2235	0	FALSE
MIR200A	0	0	2235	0	FALSE
MIR429	0	0	2235	0	FALSE
RP11-465B22.8	0	0	2235	0	FALSE
TTLL10-AS1	1	1	2235	0.000447427293064877	FALSE
TTLL10	25	38	2235	0.0111856823266219	TRUE
TNFRSF18	2	3	2235	0.000894854586129754	FALSE
TNFRSF4	1	1	2235	0.000447427293064877	FALSE
SDF4	458	977	2235	0.204921700223714	TRUE
B3GALT6	131	200	2235	0.0586129753914989	TRUE
C1QTNF12	4	4	2235	0.00178970917225951	FALSE
RP5-902P8.12	2	3	2235	0.000894854586129754	FALSE
UBE2J2	67	92	2235	0.0299776286353468	TRUE
LINC01786	4	5	2235	0.00178970917225951	FALSE
SCNN1D	5	5	2235	0.00223713646532438	FALSE
ACAP3	35	51	2235	0.0156599552572707	TRUE
MIR6726	0	0	2235	0	FALSE
PUSL1	3	4	2235	0.00134228187919463	FALSE
INTS11	79	120	2235	0.0353467561521253	TRUE
MIR6727	0	0	2235	0	FALSE
RP5-890O3.9	14	15	2235	0.00626398210290828	FALSE
CPTP	5	10	2235	0.00223713646532438	FALSE
TAS1R3	2	2	2235	0.000894854586129754	FALSE
DVL1	93	171	2235	0.0416107382550336	TRUE
MIR6808	0	0	2235	0	FALSE
MXRA8	507	817	2235	0.226845637583893	TRUE
AURKAIP1	412	715	2235	0.184340044742729	TRUE
NDUFB4P8	1	1	2235	0.000447427293064877	FALSE
CCNL2	665	1369	2235	0.297539149888143	TRUE
RP4-758J18.2	37	54	2235	0.0165548098434004	TRUE
MRPL20	849	1905	2235	0.379865771812081	TRUE
RN7SL657P	0	0	2235	0	FALSE
RP4-758J18.13	35	59	2235	0.0156599552572707	TRUE
ANKRD65	46	83	2235	0.0205816554809843	TRUE
RP4-758J18.7	0	0	2235	0	FALSE
TMEM88B	0	0	2235	0	FALSE
LINC01770	1	1	2235	0.000447427293064877	FALSE
VWA1	51	97	2235	0.0228187919463087	TRUE
ATAD3C	23	32	2235	0.0102908277404922	TRUE
ATAD3B	30	36	2235	0.0134228187919463	TRUE
ATAD3A	42	67	2235	0.0187919463087248	TRUE
TMEM240	5	6	2235	0.00223713646532438	FALSE
SSU72	1620	8241	2235	0.724832214765101	TRUE
RP5-832C2.5	163	408	2235	0.0729306487695749	TRUE
RP11-345P4.11	0	0	2235	0	FALSE
FNDC10	0	0	2235	0	FALSE
RP11-345P4.9	207	558	2235	0.0926174496644295	TRUE
MIB2	75	149	2235	0.0335570469798658	TRUE
MMP23B	9	9	2235	0.00402684563758389	FALSE
CDK11B	832	2342	2235	0.372259507829978	TRUE
RP11-345P4.10	6	10	2235	0.00268456375838926	FALSE
SLC35E2B	567	857	2235	0.253691275167785	TRUE
RP11-345P4.6	19	30	2235	0.00850111856823266	FALSE
MMP23A	2	2	2235	0.000894854586129754	FALSE
CDK11A	9	13	2235	0.00402684563758389	FALSE
RP1-283E3.8	8	10	2235	0.00357941834451902	FALSE
RP1-283E3.4	29	44	2235	0.0129753914988814	TRUE
SLC35E2	65	131	2235	0.029082774049217	TRUE
NADK	290	548	2235	0.129753914988814	TRUE
GNB1	1749	10029	2235	0.78255033557047	TRUE
RP1-140A9.1	1	4	2235	0.000447427293064877	FALSE
CALML6	1	1	2235	0.000447427293064877	FALSE
TMEM52	5	6	2235	0.00223713646532438	FALSE
CFAP74	62	75	2235	0.0277404921700224	TRUE
RP11-547D24.1	39	60	2235	0.0174496644295302	TRUE
GABRD	104	183	2235	0.0465324384787472	TRUE
RP11-547D24.3	0	0	2235	0	FALSE
PRKCZ	88	152	2235	0.0393736017897092	TRUE
RP5-892K4.1	23	29	2235	0.0102908277404922	TRUE
PRKCZ-AS1	14	27	2235	0.00626398210290828	FALSE
FAAP20	82	194	2235	0.0366890380313199	TRUE
RP11-181G12.4	0	0	2235	0	FALSE
SKI	743	1845	2235	0.332438478747204	TRUE
MORN1	50	87	2235	0.0223713646532438	TRUE
RP4-713A8.1	0	0	2235	0	FALSE
RP4-740C4.5	27	56	2235	0.0120805369127517	TRUE
RP4-740C4.7	24	30	2235	0.010738255033557	TRUE
RER1	368	661	2235	0.164653243847875	TRUE
PEX10	166	691	2235	0.0742729306487696	TRUE
PLCH2	12	13	2235	0.00536912751677852	FALSE
RP3-395M20.2	1	1	2235	0.000447427293064877	FALSE
RP3-395M20.3	0	0	2235	0	FALSE
PANK4	52	120	2235	0.0232662192393736	TRUE
HES5	1	2	2235	0.000447427293064877	FALSE
RP3-395M20.12	7	10	2235	0.00313199105145414	FALSE
RP3-395M20.8	134	248	2235	0.0599552572706935	TRUE
TNFRSF14	83	139	2235	0.0371364653243848	TRUE
RP3-395M20.7	18	23	2235	0.00805369127516779	FALSE
RP3-395M20.9	49	82	2235	0.021923937360179	TRUE
FAM213B	47	68	2235	0.0210290827740492	TRUE
MMEL1	12	18	2235	0.00536912751677852	FALSE
RP13-436F16.1	27	98	2235	0.0120805369127517	TRUE
TTC34	30	45	2235	0.0134228187919463	TRUE
ABC14-1188822O7.1	1	1	2235	0.000447427293064877	FALSE
RP11-740P5.2	0	0	2235	0	FALSE
RP11-740P5.3	0	0	2235	0	FALSE
ACTRT2	0	0	2235	0	FALSE
LINC00982	25	97	2235	0.0111856823266219	TRUE
PRDM16	115	201	2235	0.0514541387024608	TRUE
MIR4251	0	0	2235	0	FALSE
RP1-163G9.2	0	0	2235	0	FALSE
RP11-193J6.1	21	26	2235	0.00939597315436242	FALSE
RP11-22L13.1	18	39	2235	0.00805369127516779	FALSE
ARHGEF16	4	5	2235	0.00178970917225951	FALSE
RP11-168F9.2	6	11	2235	0.00268456375838926	FALSE
MEGF6	19	38	2235	0.00850111856823266	FALSE
MIR551A	0	0	2235	0	FALSE
RP11-46F15.2	1	1	2235	0.000447427293064877	FALSE
TPRG1L	844	1876	2235	0.377628635346756	TRUE
WRAP73	47	69	2235	0.0210290827740492	TRUE
TP73	5	26	2235	0.00223713646532438	FALSE
RP5-1092A11.5	0	0	2235	0	FALSE
RP5-1092A11.2	0	0	2235	0	FALSE
CCDC27	23	29	2235	0.0102908277404922	TRUE
SMIM1	8	16	2235	0.00357941834451902	FALSE
LRRC47	687	1279	2235	0.30738255033557	TRUE
RN7SL574P	39	76	2235	0.0174496644295302	TRUE
RP1-286D6.5	16	24	2235	0.00715883668903803	FALSE
CEP104	539	1366	2235	0.241163310961969	TRUE
DFFB	111	154	2235	0.0496644295302013	TRUE
C1orf174	358	500	2235	0.160178970917226	TRUE
LINC01134	29	44	2235	0.0129753914988814	TRUE
LINC01346	6	9	2235	0.00268456375838926	FALSE
LINC01345	1	1	2235	0.000447427293064877	FALSE
EEF1DP6	66	158	2235	0.0295302013422819	TRUE
LINC01777	1	2	2235	0.000447427293064877	FALSE
RP1-37J18.1	0	0	2235	0	FALSE
LINC01646	0	5	2235	0	FALSE
AJAP1	49	109	2235	0.021923937360179	TRUE
RP11-542C10.1	2	2	2235	0.000894854586129754	FALSE
RP1-58B11.1	0	0	2235	0	FALSE
RP3-491M17.1	0	0	2235	0	FALSE
RP11-154H17.1	4	4	2235	0.00178970917225951	FALSE
MIR4417	0	0	2235	0	FALSE
MIR4689	0	0	2235	0	FALSE
NPHP4	241	581	2235	0.107829977628635	TRUE
KCNAB2	21	35	2235	0.00939597315436242	FALSE
CHD5	4	8	2235	0.00178970917225951	FALSE
RPL22	2205	59403	2235	0.986577181208054	TRUE
RP1-120G22.11	1	1	2235	0.000447427293064877	FALSE
RNF207	50	130	2235	0.0223713646532438	TRUE
ICMT	891	5746	2235	0.398657718120805	TRUE
LINC00337	5	6	2235	0.00223713646532438	FALSE
HES3	0	0	2235	0	FALSE
GPR153	178	246	2235	0.0796420581655481	TRUE
ACOT7	117	249	2235	0.0523489932885906	TRUE
RP1-202O8.3	54	204	2235	0.0241610738255034	TRUE
HES2	40	172	2235	0.0178970917225951	TRUE
ESPN	34	45	2235	0.0152125279642058	TRUE
MIR4252	0	0	2235	0	FALSE
RP1-202O8.2	0	0	2235	0	FALSE
TNFRSF25	43	62	2235	0.0192393736017897	TRUE
PLEKHG5	16	21	2235	0.00715883668903803	FALSE
NOL9	892	3513	2235	0.39910514541387	TRUE
RNU6-731P	0	0	2235	0	FALSE
RP11-58A11.2	5	11	2235	0.00223713646532438	FALSE
TAS1R1	2	3	2235	0.000894854586129754	FALSE
ZBTB48	86	237	2235	0.0384787472035794	TRUE
KLHL21	347	633	2235	0.155257270693512	TRUE
PHF13	717	1652	2235	0.320805369127517	TRUE
THAP3	104	144	2235	0.0465324384787472	TRUE
DNAJC11	226	586	2235	0.101118568232662	TRUE
LINC01672	8	9	2235	0.00357941834451902	FALSE
RP11-312B8.1	3	4	2235	0.00134228187919463	FALSE
CAMTA1	817	3258	2235	0.365548098434004	TRUE
RP11-312B8.2	3	5	2235	0.00134228187919463	FALSE
RP11-334N17.1	0	0	2235	0	FALSE
RNU1-8P	4	5	2235	0.00178970917225951	FALSE
CAMTA1-IT1	0	0	2235	0	FALSE
RP3-453P22.2	0	0	2235	0	FALSE
RP4-549F15.1	0	0	2235	0	FALSE
RP11-338N10.1	6	13	2235	0.00268456375838926	FALSE
RP11-338N10.2	2	3	2235	0.000894854586129754	FALSE
RP11-338N10.3	24	36	2235	0.010738255033557	TRUE
VAMP3	1563	13043	2235	0.699328859060403	TRUE
RP3-467L1.6	12	18	2235	0.00536912751677852	FALSE
PER3	201	427	2235	0.0899328859060403	TRUE
RP3-467L1.4	4	8	2235	0.00178970917225951	FALSE
UTS2	44	94	2235	0.0196868008948546	TRUE
TNFRSF9	38	97	2235	0.0170022371364653	TRUE
RP5-892F13.2	0	0	2235	0	FALSE
PARK7	2162	46908	2235	0.967337807606264	TRUE
ERRFI1	1514	11489	2235	0.677404921700224	TRUE
RP11-431K24.1	14	19	2235	0.00626398210290828	FALSE
CTA-215D11.4	4	8	2235	0.00178970917225951	FALSE
RP11-431K24.2	1	1	2235	0.000447427293064877	FALSE
LINC01714	4	6	2235	0.00178970917225951	FALSE
RNU1-7P	0	0	2235	0	FALSE
RP11-431K24.4	0	0	2235	0	FALSE
RNU6-991P	0	0	2235	0	FALSE
SLC45A1	26	31	2235	0.0116331096196868	TRUE
RERE	1683	8890	2235	0.753020134228188	TRUE
RP5-1115A15.1	6	13	2235	0.00268456375838926	FALSE
RP5-1115A15.2	4	6	2235	0.00178970917225951	FALSE
RPL7P11	1	3	2235	0.000447427293064877	FALSE
RPL7P7	47	132	2235	0.0210290827740492	TRUE
RP4-633I8.3	0	0	2235	0	FALSE
RP4-633I8.4	36	52	2235	0.0161073825503356	TRUE
RPL23AP19	0	0	2235	0	FALSE
ENO1	1762	10074	2235	0.788366890380313	TRUE
MIR6728	0	0	2235	0	FALSE
ENO1-IT1	46	66	2235	0.0205816554809843	TRUE
ENO1-AS1	12	14	2235	0.00536912751677852	FALSE
RNU6-304P	0	0	2235	0	FALSE
HMGN2P17	2	3	2235	0.000894854586129754	FALSE
RP3-477M7.5	2	3	2235	0.000894854586129754	FALSE
RP3-477M7.6	0	0	2235	0	FALSE
CA6	2	4	2235	0.000894854586129754	FALSE
RN7SL451P	3	6	2235	0.00134228187919463	FALSE
SLC2A7	2	2	2235	0.000894854586129754	FALSE
SLC2A5	32	57	2235	0.0143176733780761	TRUE
GPR157	62	102	2235	0.0277404921700224	TRUE
MIR34AHG	14	29	2235	0.00626398210290828	FALSE
MIR34A	0	0	2235	0	FALSE
LINC01759	4	4	2235	0.00178970917225951	FALSE
RP3-510D11.4	0	1	2235	0	FALSE
H6PD	1393	7763	2235	0.623266219239374	TRUE
SPSB1	123	188	2235	0.0550335570469799	TRUE
RNA5SP40	1	1	2235	0.000447427293064877	FALSE
RP13-392I16.1	1	1	2235	0.000447427293064877	FALSE
SLC25A33	492	986	2235	0.220134228187919	TRUE
RP13-15M17.1	3	3	2235	0.00134228187919463	FALSE
TMEM201	42	54	2235	0.0187919463087248	TRUE
PIK3CD	288	665	2235	0.128859060402685	TRUE
PIK3CD-AS1	1	1	2235	0.000447427293064877	FALSE
RP11-558F24.2	0	1	2235	0	FALSE
PIK3CD-AS2	31	66	2235	0.0138702460850112	TRUE
CLSTN1	1229	3788	2235	0.549888143176734	TRUE
MZT1P1	0	0	2235	0	FALSE
RP11-84A14.7	1	1	2235	0.000447427293064877	FALSE
CTNNBIP1	217	299	2235	0.0970917225950783	TRUE
RP11-84A14.5	3	8	2235	0.00134228187919463	FALSE
LZIC	735	1791	2235	0.328859060402685	TRUE
RP11-84A14.4	1	1	2235	0.000447427293064877	FALSE
NMNAT1	247	387	2235	0.110514541387025	TRUE
RN7SKP269	3	5	2235	0.00134228187919463	FALSE
RP11-84A14.6	1	1	2235	0.000447427293064877	FALSE
MIR5697	8	10	2235	0.00357941834451902	FALSE
RP11-807G9.2	0	0	2235	0	FALSE
RBP7	43	96	2235	0.0192393736017897	TRUE
UBE4B	1100	2870	2235	0.492170022371365	TRUE
RP11-496H15.2	1	1	2235	0.000447427293064877	FALSE
PGAM1P11	1	4	2235	0.000447427293064877	FALSE
RNU6-828P	0	0	2235	0	FALSE
KIF1B	1248	5446	2235	0.558389261744966	TRUE
MIR1273D	3	3	2235	0.00134228187919463	FALSE
RNU6-37P	94	145	2235	0.0420581655480984	TRUE
RN7SL731P	0	0	2235	0	FALSE
PGD	814	1941	2235	0.36420581655481	TRUE
RP4-736L20.3	0	0	2235	0	FALSE
APITD1-CORT	0	0	2235	0	FALSE
CENPS	128	243	2235	0.0572706935123043	TRUE
CORT	0	0	2235	0	FALSE
DFFA	1324	5029	2235	0.592393736017897	TRUE
RP5-1113E3.3	19	22	2235	0.00850111856823266	FALSE
PEX14	22	39	2235	0.00984340044742729	FALSE
RN7SL614P	3	3	2235	0.00134228187919463	FALSE
CASZ1	104	172	2235	0.0465324384787472	TRUE
RP4-734G22.3	6	6	2235	0.00268456375838926	FALSE
HSPE1P24	1	1	2235	0.000447427293064877	FALSE
C1orf127	2	4	2235	0.000894854586129754	FALSE
CFL1P6	7	14	2235	0.00313199105145414	FALSE
TARDBP	1601	8540	2235	0.716331096196868	TRUE
RP4-635E18.9	0	0	2235	0	FALSE
MASP2	17	18	2235	0.00760626398210291	FALSE
RP4-635E18.8	8	12	2235	0.00357941834451902	FALSE
SRM	92	134	2235	0.0411633109619687	TRUE
EXOSC10	743	1622	2235	0.332438478747204	TRUE
RP4-635E18.7	9	12	2235	0.00402684563758389	FALSE
RP4-635E18.6	0	0	2235	0	FALSE
MTOR	592	1384	2235	0.264876957494407	TRUE
MTOR-AS1	0	1	2235	0	FALSE
RNU6-537P	0	0	2235	0	FALSE
ANGPTL7	8	19	2235	0.00357941834451902	FALSE
RNU6-291P	0	0	2235	0	FALSE
RPL39P6	0	0	2235	0	FALSE
UBIAD1	274	467	2235	0.122595078299776	TRUE
UBE2V2P3	1	2	2235	0.000447427293064877	FALSE
MTCYBP45	1	2	2235	0.000447427293064877	FALSE
DISP3	3	3	2235	0.00134228187919463	FALSE
LINC01647	1	2	2235	0.000447427293064877	FALSE
FBXO2	63	112	2235	0.0281879194630872	TRUE
FBXO44	59	65	2235	0.0263982102908277	TRUE
FBXO6	67	79	2235	0.0299776286353468	TRUE
MAD2L2	132	214	2235	0.0590604026845638	TRUE
DRAXIN	59	154	2235	0.0263982102908277	TRUE
AGTRAP	76	102	2235	0.0340044742729307	TRUE
C1orf167	24	37	2235	0.010738255033557	TRUE
RP11-56N19.5	1	1	2235	0.000447427293064877	FALSE
MTHFR	570	1628	2235	0.25503355704698	TRUE
CLCN6	248	449	2235	0.110961968680089	TRUE
NPPA-AS1	15	16	2235	0.00671140939597315	FALSE
NPPA-AS1_1	0	0	2235	0	FALSE
NPPA-AS1_2	0	0	2235	0	FALSE
NPPA	5	5	2235	0.00223713646532438	FALSE
NPPA-AS1_3	0	0	2235	0	FALSE
NPPB	0	0	2235	0	FALSE
RP5-934G17.6	6	6	2235	0.00268456375838926	FALSE
RNU5E-1	7	8	2235	0.00313199105145414	FALSE
RNU5E-4P	1	1	2235	0.000447427293064877	FALSE
KIAA2013	372	610	2235	0.166442953020134	TRUE
PLOD1	1051	2877	2235	0.470246085011186	TRUE
MFN2	947	2123	2235	0.423713646532438	TRUE
RP5-1077B9.5	32	55	2235	0.0143176733780761	TRUE
MIIP	11	14	2235	0.00492170022371365	FALSE
MIR6729	0	0	2235	0	FALSE
RN7SL649P	0	0	2235	0	FALSE
TNFRSF8	6	12	2235	0.00268456375838926	FALSE
RNU6-777P	1	2	2235	0.000447427293064877	FALSE
RPL23AP89	4	5	2235	0.00178970917225951	FALSE
MIR7846	0	0	2235	0	FALSE
TNFRSF1B	996	7065	2235	0.445637583892617	TRUE
MIR4632	0	0	2235	0	FALSE
RPL10P17	0	1	2235	0	FALSE
VPS13D	780	1888	2235	0.348993288590604	TRUE
SNORA59A	1	2	2235	0.000447427293064877	FALSE
RP5-888M10.2	0	0	2235	0	FALSE
DHRS3	694	1810	2235	0.310514541387025	TRUE
RNU6ATAC18P	3	3	2235	0.00134228187919463	FALSE
MIR6730	0	0	2235	0	FALSE
RP11-474O21.5	2	2	2235	0.000894854586129754	FALSE
AADACL4	7	20	2235	0.00313199105145414	FALSE
RP11-474O21.2	0	0	2235	0	FALSE
AADACL3	2	3	2235	0.000894854586129754	FALSE
C1orf158	27	70	2235	0.0120805369127517	TRUE
PRAMEF12	2	3	2235	0.000894854586129754	FALSE
PRAMEF1	3	8	2235	0.00134228187919463	FALSE
LINC01784	0	0	2235	0	FALSE
PRAMEF11	2	3	2235	0.000894854586129754	FALSE
PRAMEF30P	0	0	2235	0	FALSE
HNRNPCL1	1	2	2235	0.000447427293064877	FALSE
PRAMEF2	3	4	2235	0.00134228187919463	FALSE
PRAMEF4	1	2	2235	0.000447427293064877	FALSE
PRAMEF10	1	2	2235	0.000447427293064877	FALSE
PRAMEF7	1	1	2235	0.000447427293064877	FALSE
RNU6-1072P	0	0	2235	0	FALSE
PRAMEF29P	0	0	2235	0	FALSE
PRAMEF6	0	0	2235	0	FALSE
PRAMEF28P	0	0	2235	0	FALSE
PRAMEF27	1	2	2235	0.000447427293064877	FALSE
HNRNPCL3	0	3	2235	0	FALSE
PRAMEF25	1	2	2235	0.000447427293064877	FALSE
PRAMEF34P	0	0	2235	0	FALSE
PRAMEF35P	0	0	2235	0	FALSE
HNRNPCL2	2	2	2235	0.000894854586129754	FALSE
PRAMEF36P	0	0	2235	0	FALSE
RP13-221M14.2	0	0	2235	0	FALSE
PRAMEF26	0	0	2235	0	FALSE
HNRNPCL4	0	0	2235	0	FALSE
PRAMEF9	2	3	2235	0.000894854586129754	FALSE
PRAMEF13	1	1	2235	0.000447427293064877	FALSE
PRAMEF18	1	1	2235	0.000447427293064877	FALSE
PRAMEF31P	0	0	2235	0	FALSE
PRAMEF5	0	0	2235	0	FALSE
PRAMEF32P	1	1	2235	0.000447427293064877	FALSE
RNU6-771P	0	0	2235	0	FALSE
PRAMEF8	1	1	2235	0.000447427293064877	FALSE
PRAMEF33	0	0	2235	0	FALSE
PRAMEF15	0	1	2235	0	FALSE
RP11-219C24.10	0	0	2235	0	FALSE
PRAMEF14	9	14	2235	0.00402684563758389	FALSE
PRAMEF19	0	1	2235	0	FALSE
PRAMEF17	0	0	2235	0	FALSE
PRAMEF20	1	1	2235	0.000447427293064877	FALSE
LRRC38	0	0	2235	0	FALSE
RP4-597A16.2	0	0	2235	0	FALSE
BRWD1P1	1	3	2235	0.000447427293064877	FALSE
PDPN	606	1474	2235	0.271140939597315	TRUE
RNA5SP41	0	0	2235	0	FALSE
CTA-520D8.2	1	1	2235	0.000447427293064877	FALSE
PRDM2	1282	5458	2235	0.573601789709172	TRUE
KAZN	424	961	2235	0.189709172259508	TRUE
RNU6-1265P	0	0	2235	0	FALSE
RP11-344F13.1	0	0	2235	0	FALSE
RP4-704D23.1	0	1	2235	0	FALSE
TBCAP2	3	5	2235	0.00134228187919463	FALSE
TMEM51-AS1	175	305	2235	0.0782997762863535	TRUE
TMEM51	509	983	2235	0.227740492170022	TRUE
C1orf195	0	0	2235	0	FALSE
RP1-21O18.3	7	10	2235	0.00313199105145414	FALSE
RP5-903E17.2	8	9	2235	0.00357941834451902	FALSE
FHAD1	136	336	2235	0.0608501118568233	TRUE
RP3-467K16.2	1	1	2235	0.000447427293064877	FALSE
RP3-467K16.7	6	7	2235	0.00268456375838926	FALSE
RP3-467K16.4	12	20	2235	0.00536912751677852	FALSE
EFHD2	137	276	2235	0.0612975391498881	TRUE
CTRC	304	12942	2235	0.136017897091723	TRUE
CELA2A	19	44	2235	0.00850111856823266	FALSE
CELA2B	3	5	2235	0.00134228187919463	FALSE
CASP9	260	458	2235	0.116331096196868	TRUE
DNAJC16	363	682	2235	0.16241610738255	TRUE
RP4-680D5.8	18	29	2235	0.00805369127516779	FALSE
AGMAT	74	158	2235	0.0331096196868009	TRUE
RP4-680D5.2	4	4	2235	0.00178970917225951	FALSE
CHCHD2P6	2	2	2235	0.000894854586129754	FALSE
RNU7-179P	3	4	2235	0.00134228187919463	FALSE
CD24P1	3	5	2235	0.00134228187919463	FALSE
DDI2	701	2268	2235	0.313646532438479	TRUE
RSC1A1	0	0	2235	0	FALSE
RP4-680D5.9	0	0	2235	0	FALSE
PLEKHM2	102	177	2235	0.0456375838926174	TRUE
RP11-288I21.1	0	0	2235	0	FALSE
SLC25A34	22	26	2235	0.00984340044742729	FALSE
RP11-169K16.4	0	0	2235	0	FALSE
TMEM82	7	10	2235	0.00313199105145414	FALSE
FBLIM1	740	2187	2235	0.331096196868009	TRUE
RPL12P14	11	22	2235	0.00492170022371365	FALSE
UQCRHL	368	593	2235	0.164653243847875	TRUE
RP11-169K16.8	4	7	2235	0.00178970917225951	FALSE
FLJ37453	71	94	2235	0.0317673378076063	TRUE
SPEN	1854	17358	2235	0.829530201342282	TRUE
RP1-134O19.3	0	0	2235	0	FALSE
ZBTB17	22	46	2235	0.00984340044742729	FALSE
RP11-5P18.1	3	3	2235	0.00134228187919463	FALSE
RP11-5P18.3	0	0	2235	0	FALSE
RP11-5P18.11	0	0	2235	0	FALSE
TBC1D3P6	0	0	2235	0	FALSE
C1orf64	14	21	2235	0.00626398210290828	FALSE
RP11-5P18.5	0	0	2235	0	FALSE
HSPB7	7	8	2235	0.00313199105145414	FALSE
CLCNKA	2	2	2235	0.000894854586129754	FALSE
RP11-5P18.10	0	0	2235	0	FALSE
CLCNKB	17	26	2235	0.00760626398210291	FALSE
FAM131C	3	4	2235	0.00134228187919463	FALSE
EPHA2	94	165	2235	0.0420581655480984	TRUE
RP11-276H7.2	4	4	2235	0.00178970917225951	FALSE
RP11-276H7.3	22	33	2235	0.00984340044742729	FALSE
ARHGEF19-AS1	0	0	2235	0	FALSE
ARHGEF19	54	73	2235	0.0241610738255034	TRUE
ANO7L1	2	4	2235	0.000894854586129754	FALSE
RSG1	7	9	2235	0.00313199105145414	FALSE
MT1XP1	13	19	2235	0.0058165548098434	FALSE
FBXO42	773	2895	2235	0.34586129753915	TRUE
SZRD1	666	2240	2235	0.297986577181208	TRUE
RP11-430L17.1	1	6	2235	0.000447427293064877	FALSE
SPATA21	27	35	2235	0.0120805369127517	TRUE
NECAP2	779	1651	2235	0.348545861297539	TRUE
LINC01772	46	96	2235	0.0205816554809843	TRUE
CROCCP3	54	71	2235	0.0241610738255034	TRUE
RNU1-1	56	80	2235	0.0250559284116331	TRUE
RP4-798A10.7	7	14	2235	0.00313199105145414	FALSE
RP4-798A10.4	7	14	2235	0.00313199105145414	FALSE
LINC01783	5	5	2235	0.00223713646532438	FALSE
